"","time","post","share","like","love","haha","sad","wow","angry"
"1","2018-06-16T07:49:07+0000","大家的花媽，我的菊姊

我在大四時認識菊姊。還記得那時她才出獄不久，我們一群年輕人跟她走完街頭（忘了抗議什麼了），溜進公園路冰店吃冰。

後來，我有幸與菊姐兩度同事，1999年在高雄市府時期，菊姊是社會局長，我是新聞處長、副秘書長；2004年謝院長組閣，菊姐是勞委會主委，我是新聞局長。當年在高雄，我們還住樓上樓下，常常抱我3歲的兒子。

為了宣傳623晚會，菊姊特地抽空拍攝影片。暖心的菊姊也在拍攝空檔，特別關心我的家人，當我拿起兒子剃光頭的近照給菊姊看時，還驚呼「哇，長這麼高了！」

謝謝菊姐。623是我參選市長團結出發的第一場，也是菊姐北上的第一場，大家一起來吧！

#623全國首場造勢晚會
日期：6月23日（六）
時間：18:30-21:00
地點：民進黨中央前（善導寺捷運站6號出口）",46,555,12,1,0,0,1
"2","2018-06-16T05:02:26+0000","今午不克前往台中，聲明如下：

我完全支持喜樂島聯盟所推動的「獨立公投，正名入聯」的理想與主張！

本來也已準備親赴台中參加，但近日台北市政問題層出不窮，需提對策；選務浩繁龐雜，分身乏術，尤其，6/23第一場演講活動「只許成功，不許失敗」，需全力貫注籌備動員。

因此，不克前往台中，委由督導台北選戰的蘇治芬委員（前縣長）赴會代為致意，特此向主辦單位表達歉意，並祝福喜樂島的願景早日實現！",5,303,3,0,1,1,1
"3","2018-06-16T02:01:00+0000","努力了一年三個月，台灣漫畫國寶大師鄭問故宮大展，終於在國家最高博物館殿堂故<U+5BAB>博物院展出。我認為，這是全球漫畫界大事，更是故宮轉型，向全世界宣告漫畫作為一種國家藝術的大事！

法國羅浮宮2003年曾邀各國漫畫家創作「羅浮宮」，並視漫畫為「第九藝術」；此次鄭問展則是將「漫畫以國寶形式」進入故宮，讓漫畫藝術為世人所肯定，就如策展的好友鍾孟舜豪情萬丈地說「這是世界第一次！」

很開心也很感動，在現場與蔡英文 Tsai Ing-wen總統、動漫好友分享這份榮耀，感謝鄭麗君部長、故宮林正儀院長「阿沙力」的全力籌辦，當然，鄭夫人、植羽、孟舜等人的堅心努力，才是「千年ㄧ問」的大功臣。

我和思瑤、運鵬被稱有「牽紅線」的小小功能。不過，我在想，這應該算是跨界的創意整合吧！

過去我曾把腥臭的魚粉倉庫改造成駁二藝術特區 The Pier-2 Art Center；將民主歷史結合玻璃藝術，規劃世界最美的高雄捷運 美麗島站；不久前，我提出半沉浸的客家主題捷運站，今天，國寶漫畫進入故宮展覽，這些都是來自跨領域整合的思維，對接激盪出火花，就會豐富多彩。

我已先睹為快了！您，今天開始直到九月，一定要到故宮欣賞「千年一問  鄭問紀念展」。",15,850,15,5,0,0,6
"4","2018-06-14T13:01:00+0000","最近整理出來過去不少打棒球、籃球，踢足球的老照片，還有一張2002年到日本看世界盃足球賽的照片。

今晚 #世足賽 開踢，辦公室同仁竟有 #塞爾提克隊陰影，一直阻止我談足球，但我從小就是喜歡 #巴西 啊，巴西隊加油！

#才一說完助理馬上去買運彩...",51,2256,22,119,1,4,9
"5","2018-06-14T10:49:27+0000","昨天前往濱江市場拜票，因為行程安排結束後不得不趕場，有人覺得沒留下來吃滷肉飯很可惜，但其實，我已經吃素快兩個月了。

今早造訪雙連謙和市場已是中午時分，但這家古早味豆花攤，每來必吃！美食不獨享，我也多次帶了立院同仁、議員，跟助理們一起吃，好吃才是王道啦！

#滷肉飯好吃但現在吃素
#姚文智翻台北",31,1617,25,13,0,0,4
"6","2018-06-13T09:00:00+0000","濱江、榮星市場一帶是台北農產品往來暢貨的重要地帶，又加上端午節即將到來，市場人來人往好不熱鬧。

常言，台北最美麗的風景就是人。感謝在地攤商強烈的熱情，沿途拜票，一會送粽祝「#包中」、一會又送大蒜要「#凍蒜」、一會拎鳳梨助「#旺來」，加油聲不斷，實在無比感心、溫暖。

6/23晚上我們將在民進黨中央前，舉辦首場大型造勢晚會，大夥都卯足拚勁，努力宣傳！期待市民能看見我們對台北的市政願景與看法，讓台北更美好。",94,2736,42,12,0,1,7
"7","2018-06-11T09:00:00+0000","今早出席了 #雲雀盃精神康復社區聯合運動會，與康復之家的朋友一起同樂，又是跳大會操又是帶球上籃，實在是有點喘呀！但能看到大家開懷的笑容，非常滿足！

這項由精神復健機構輪流主辦的運動會已舉辦多年，使精神康復者在有趣的遊戲和運動中，逐步復健，也藉此讓互相切磋，讓大家更有信心，交到更多的朋友。

雲雀盃字面上的涵義有晴朗日子帶來溫暖、希望之意，讓每一位參與運動會的朋友，都能感受到新生希望的溫暖。

未來市府也應給予更多協助，民間與市府共同合作擴大，社會大眾也能更了解精神康復者需求，一同追求幸福的好生活。",25,1715,24,19,0,1,4
"8","2018-06-11T04:53:39+0000","為留住國寶漫畫家鄭問的珍貴遺世之作，去年5月，在肯特導演告知下，我趕緊邀集故宮院長林正儀、鄭問之子鄭植羽、台北市漫畫工會鍾孟舜理事長等人，在「重新定義國寶」精神下，協調故宮展出「亞洲至寶」鄭問「千年一問」之作。

當時原以為，協調需要一些時日，沒想到，林院長欣然接受，文化部隨後也應允協助主辦，也因此促成了這樁美事。一年後，鄭問展即將在6月16日於故宮開幕。

鄭問畫作聞名東亞，在全球漫畫界佔有一席之地。本週起，包括日本名漫畫家川口開治等200多位全球漫畫家，將齊聚故宮。這是一樁融合藝術、美學、漫畫、國寶、外交的文化大事，歡迎喜歡漫畫、藝術、歷史文化的你／妳，大家一起共襄盛舉。

鄭問故宮大展臉書粉絲專頁
https://www.facebook.com/chenuen2018/",24,897,25,4,0,0,2
"9","2018-06-09T07:11:39+0000","一早，就接獲中山、士林今早部分住戶停電的訊息，我立刻向台電了解原因，原來是變電所斷路器開關跳脫。不過，半個月餘雙北地區就跳電了11次，確實太過誇張。

台電向我解釋，最近幾起「停電原因包括電力電纜、開關變壓器等設備劣化因素約三成，動物樹木碰觸、車輛碰撞、管線施工、強風雷害等外力占七成。目前，全台高壓電纜包括架空與地下超過1萬條，線路總長約37萬公里，此外，尚有開關設備147萬具以及變壓器138萬具等，任何環節都可能導致局部用戶停電」。

挖哩咧！到底在說什麼？
到底怎麼改善？夏天已到，會不會再跳電？

台電說，「6月底前會向經濟部提報配電系統強化計畫」、「會用大數據控管跳電風險」云云<U+22EF>

無論如何，能源政策另外討論，大數據運用也請你加快，但台北每天的日常，我要求台電：
1.加強巡檢
2.全面系統性盤點，老舊設備加速汰換
3.台電復電標準，應以ㄧ小時之內為原則

請台電務必上緊發條，提供人民穩定供電之所需。

http://newtalk.tw/news/view/2018-06-09/12725",42,467,5,9,0,14,5
"10","2018-06-08T00:05:00+0000","戰鼓聲起，力拚勝選！

戰鼓聲響起，我與27位市議員參選人的聯合座談活動正式開跑，昨夜首站來到謝維洲（維骨力）議員服務處。謝維洲服務處號稱天下第一處，駐日代表 謝長廷、僑委會副委員長高建智、行政院秘書長卓榮泰、立法委員 莊瑞雄-雄有戰力，到謝維洲議員，全都是從北區服務出身，許多從政的好友也都在這裡歷練過，對我而言這裏有著一份特殊的情感。

未來，將陸續與所有市議員參選人以各種不同的形式活動與市民朋友互動，除了這27場活動外，我與所有議員參選人、市黨部、中央黨部一起合作，623將在中央黨部北平東路前舉辦大型造勢晚會，當天將會有「中央重量級」貴賓出席，希望好友們攜家帶眷站出來，一起翻轉台北，展現民進黨團結氣勢，終結特定人士見縫插針的不實謠言。

623是選舉倒數五個月，也可說是翻轉台北五個月天，一人約十人、十人拉百人，大家一起站出來，展現團結氣勢、整裝待發，相信1124就能共同創造翻轉台北的一天！

#姚文智翻台北
#623市長議員聯合造勢晚會",81,2695,42,31,0,4,9
