"","V1","V2","V3","Yao_JanFeblink$."
"t_time","2018-01-31 18:16","「姚姚配」搶攻台北市長？ 丁守中酸：民進黨請選到底"," 已表態參選台北市長的民進黨立委姚文智昨在臉書上宣布，國會觀察基金會董事長姚立明願意擔任他的競選總幹事，今將當面邀請姚立明，看看明天能否上班，姚文智搭配姚立明，更被戲稱是「姚姚來了，殺很大」。 對於「姚姚配」，國民黨擬台北市長參選人、前立委丁守中表示，聽說姚文智獲得姚立明先生力挺後士氣大振，不但再度表態會參選台北市長，並稱有把握「把丁守中打成第3名」。 丁守中還酸說，請姚文智不要自嗨，既然說要參選到底，就要說到做到。 丁守中表示，民進黨已經被柯文哲綁架，身為執政黨，竟然在首都提不出市長候選人，已經被柯P看扁了，連市民都在看笑話。所以我真的希望包括姚文智在內的民進黨朋友，拿出骨氣參選，更要說到做到。 丁守中表示，參選市長一路走來，唯一鎖定目標就是在年底打敗柯文哲，拚台北驕傲！所以也請姚立委有點志氣，還沒選就立志爭第2名，難怪柯P根本不把民進黨放在眼裡啊。對於政壇「姚姚配」，前立委丁守中則是酸說，請姚文智不要自嗨，既然說要參選到底，就要說到做到。圖／擷取自丁守中臉書分享  facebook     ","https://udn.com/news/story/10958/2960601"
"t_time1","2018-01-31 13:39","姚立明助陣 姚文智：盼明天上班"," 姚文智。 聯合報系資料照分享  facebook     表態參選台北市長的民進黨立委姚文智今天表示，下午將與曾任台北市長柯文哲競選總幹事的姚立明同台，希望當面邀請準備擔任姚文智總幹事的姚立明，看看明天能否上班。 身兼民主進步黨發言人的民進黨立委吳思瑤表示，中央黨部目前優先處理需要初選的縣市或直轄市，台北市一定是最後一波提名，內部尚未討論，在評估機制尚未啟動前，一樣鼓勵黨內同志如立委姚文智盡量爭取選民支持﹐如果以上次台北市長提名的經驗，估計要等到農曆春節過後約4、5月。 姚文智昨天宣布，姚立明願意擔任他的競選總幹事。姚文智上午受訪時表示，姚立明昨天在節目上，突然宣布願意擔任他的競選總幹事，他也很意外，之前上節目或其他場合，有遇過姚立明、也聊過。姚文智認為，姚立明是鼓勵他。 姚立明認為姚文智應該參選到底，姚文智說，本來就有參選到底決心，這個階段爭取民進黨提名，還有一段時間要努力，循黨的機制跟黨的高層共同溝通，這是努力的方向。 姚立明認為姚文智應該不惜脫黨、表現參選到底的決心，姚文智說，這是姚立明的期待，下午兩人上節目將同台，有約好下節目之後談一下，會針對「他的期待、我的節奏」，還有整個選舉的布局要怎麼進行，做初步溝通。 姚文智說，台北市長這場選舉很重要的是，誰能實現台灣價值？民進黨對首都有沒有責任？選舉是否能勝出？姚立明在這三方面都做了評估，民進黨如果提名，是不是會造成綠營分裂，評估是不會，國民黨現在是丁守中，他有信心有機會把國民黨打成第三名。 姚文智說，下午就會請姚立明開始擔任總幹事的工作，看姚立明能不能明天就來上班。 已表態參選台北市長有姚文智、國民黨前立委丁守中、行政院前發言人鄭麗文等。","https://udn.com/news/story/10958/2959717"
"t_time2","2018-01-31 11:58","柯文哲前競選總幹事姚立明相挺 姚文智：內部政變"," 台北市長柯文哲2014年市長選舉競選總幹事、國會觀察基金會董事長姚立明，表態要力挺有意參選台北市長的民進黨立委姚文智；姚文智今早接受電台訪問說，他過去也擔任柯文哲後援會會長，如今姚立明也無法接受柯的作風離開柯陣營，有點像「內部政變」。 姚文智受訪說，姚立明過去在他選立委時也幫他助選過，4個月前和姚立明聚餐談台北的情勢時，姚立明已開始鼓勵他，但昨天真的很意外，沒預期姚立明會說出若他競選到底，就當他競選總幹事。 姚文智表示，姚立明這次不願再幫柯文哲的最大原因是柯文哲不太適任台北市長，姚立明不能接受柯文哲處理事情的作風，包含大巨蛋、「台灣價值」等事件。由於姚立明是柯文哲過去選舉的總幹事，而他是柯的後援會會長，整件事有點像「內部政變」 針對最後是否可能會脫黨參選到底，姚文智解釋，現階段他要爭取黨內支持，脫黨參選是選項，但要等情勢比較確定才會討論，但遭媒體寫成不惜脫黨，用詞太強烈。 姚文智說，首都提名人選是執政黨責任，他對民進黨的感情很深，投入民主運動到現在，一直跟著黨的價值走，「我以民進黨員為榮」，畢生志業要努力實現，還是不要輕易談脫不脫黨。 有關國民黨台北市長人選很可能最後是前立委丁守中，姚文智表示，丁在選舉的爆發力比較不足，但藍綠都派人選將與柯文哲形成3比3比3的三足鼎立，後續要看選舉議題、對柯文哲市政的檢驗來獲取支持，藍綠會對柯的4年政績做檢驗，外界就會清楚柯是否適合連任。立委姚文智今早接受電台訪問說，他過去也擔任柯文哲後援會會長，如今姚立明也無法接受柯的作風離開柯陣營，有點像「內部政變」。圖／報系資料照分享  facebook   ","https://udn.com/news/story/10958/2959612"
"t_time3","2018-01-29 21:21","放話不爽柯文哲 姚文智不惜脫黨參選"," 表態要參選台北市長的立委姚文智今錄東森新聞「看誰說實話」，接受主播徐湘華快問快答的挑戰，透露對現任市長柯文哲的不滿，他表示3年前他選擇禮讓柯文哲，不過現在的他對柯的政績和言行實在看不下去，下定決心要參選，更放話：「如果黨中央再度選擇和柯文哲合作，那麼我寧可脫黨參選，因為民進黨多數支持者和我一樣，已經受不了柯文哲。」 另外蔣萬安退出台北市長選戰，被問及是否讓他鬆了口氣，他回「不會，只是沒這麼有趣」，原因是他認為蔣萬安有蔣家話題，可炒熱選戰氣氛，至於其他兩位參選人丁守中和鄭麗文，他也認真分析兩人戰力：「就像打水漂一樣，他努力20幾年，第五次挑戰，但民調其實頗高，別小看他。」並認為鄭麗文太晚宣布參選，期盼她加油。姚文智(左)接受東森主播主播徐湘華快問快答的挑戰。圖／東森提供分享  facebook   ","https://udn.com/news/story/10958/2956713"
"t_time4","2018-01-29 00:00","強制車險／這筆帳怎麼算 喬不攏"," 不想當全民健保的提款機，立法院財委會一度通過強制汽車責任險法修正案，限縮強制車險的醫療給付，明訂不含全民健保給付項目，但最後在衛福部強力反對下，至今仍未完成三讀。 強制車險每人死殘給付200萬元、醫療給付20萬元，根據保發中心資料，強制車險實施以來，到去年第3季止，賠付金額已逾2,401億元，受惠人次有422萬多人，對車禍受害者及其家屬生活提供及時的保障，其功勞不言而喻。 不過，強制車險與全民健保之間的帳該如何算，卻一直紛擾不已。 2014年12月，為徹底解決兩種保險間的糾葛，立委丁守中等人提案要求「刪除」強制車險的醫療給付，以免強制車險被當成全民健保的提款機，只要車禍產生醫療費用，健保就來代位求償，跟車禍沒關的醫療費用，也來要錢。 為免影響車禍受害人的權益，最後財委會通過強制汽車責任保險法修正案，採折衷作法，「限縮」醫療費用給付，將不含全民健保給付，當時估算，如此一來強制車險的保費將可調降7%，投保車輛將受惠。 但衛福部堅持反對，衛福部認為，汽車交通事故的醫療費用償付責任，宜由使用汽車交通工具者自行分擔，若均轉嫁給健保給付，將造成全民（包括未使用汽車交通工具者）共同分擔，並不合理。 後來也有立委再提出相同的強制汽車責任保險法修正案，立法院也為此召開公聽會，但修正案至今仍未完成立法程序。 去年底全民健保法修正通過第95條規定，可能加大強制車險賠付金額，也讓金管會跳起來，力求翻案。 保險學者及保險業者多主張，最公平的作法就是依肇事責任比例，來釐清全民健保與強制車險之間的帳，但健保學者則擔心，健保已經沒什麼錢了。 ","https://udn.com/news/story/7239/2955214"
"t_time5","2018-01-28 23:45","北市選戰 藍綠矛頭都對準柯文哲"," 台北市長選戰，藍綠矛頭都對準柯文哲（左）。市長柯文哲現在在歐洲出訪。 圖／北市府提供分享  facebook    台北市長選舉，民進黨是否自推人選？前副總統呂秀蓮昨說，相信民進黨一定會有人出來選，如果黨中央還執迷不悟，就是「自毀黨魂」。表態參選台北市長的國民黨前立委丁守中、行政院前發言人鄭麗文昨共同出席活動，兩人共同目標就是在年底換掉台北市長柯文哲。 北市選戰，前立委丁守中（右二）、行政院前發言人鄭麗文（右）都表態爭取藍軍提名。 記者邱瓊玉／攝影分享  facebook    對於藍綠矛頭都對準柯文哲，北市府發言人劉奕霆昨表示，無論外界情況如何，持續做好市政，才是連任最好的準備。 總統蔡英文日前曾提出「台灣價值」，卻遭柯文哲反問，甚至還和民進黨立委段宜康隔空嗆聲「人狗互咬」，引發綠營支持者強烈不滿。 呂秀蓮昨表示，柯文哲在政壇崛起以來，可以說是獨領風騷，但越來越多人認為他的基本理念、核心價值，甚至於對台灣的認同，好像和民進黨有很大的差距。 呂秀蓮說，柯文哲應該要很坦誠講清楚，不要再講些五四三，一天到晚製造語言上的泡沫，台北市民有權利要求柯文哲講清楚，這3年來到底做了哪些事情？ 是否可能參選台北市長，出馬挑戰柯文哲？呂秀蓮說，成功不必在我，但民進黨絕對要推重量級人士。首都是一國之都，絕對不能淪陷，尤其是兩岸關係激盪當中，台北市就像山海關，她很擔心山海關失守，還有人要引清兵入關，那就很麻煩了。 前副總統呂秀蓮（左二）昨天參加「寒冬送暖關懷獨居中低老人愛心活動」。 記者黃義書／攝影分享  facebook    民進黨台北市黨部主委黃承國說，民進黨是否要自提人選，一切都還未定。 鄭麗文昨表示，目前國民黨內只有她和丁守中有很清楚的使命感和意願要來參選台北市長，這種願意把重責大任扛起來的心情和態度，是國民黨勝選的基礎和起點，希望大家全力以赴，初選辦完後會團結一致對外。 ","https://udn.com/news/story/10958/2955072"
"t_time6","2018-01-28 15:59","丁守中、鄭麗文同台 強調年底將換掉柯P","  年底台北市長選舉，包括前立委丁守中、前行政院發言人鄭麗文都表態爭取國民黨提名，今兩人受邀出席市議會秦慧珠的寒冬送暖活動，只見兩人把握機會，頻頻握手拜票，爭取支持，鄭麗文致詞時，更再三強調要在年底換掉台北市長柯文哲。儘管兩人是黨內初選的對手，不過丁、鄭同台並未顯得尷尬，兩人互動頻頻，有說有笑。 丁守中表示，之前很多場合都曾和鄭麗文同台，今天是因為秦慧珠舉辦寒冬送暖，一起共襄盛舉。 對於前副總統呂秀蓮不排除代表民進黨選台北市長，丁守中說，政黨間良性競爭，很好啊，選出最好的人幫台北市服務，這是台北市民之福。 鄭麗文表示，大家可以看得到目前國民黨內，只有丁委員和我有很清楚的使命感和意願要來參加台北市長選舉，我們也很勤跑，這種願意把重責大任扛起來的心情和態度，是國民黨勝選的基礎和起點，所以很希望大家都全力以赴，把初選辦完後一致對外。 外傳前台北縣長周錫瑋若新北市長初選不利，將可能轉戰台北市長選舉，丁守中則說，沒有聽過過，台北市有台北市的選民結構、市政需求，不是跨來跨去可以的，也沒有聽過他想來選。 鄭麗文表示，過去確實有聽過幾個市議員在講，不過相信周錫瑋有自己的評估，畢竟這樣子重大的選舉，是要讓覺得有一定的認真、嚴肅和責任感，而不是向市議員可以隨便更換選區，這個困難度還挺高的。 鄭麗文說，還是希望新北市早一天初選勝利，盡快產生人選，藍營目前氣勢低迷，更需要團結，還是要以大局為重。年底台北市長選舉，包括前立委丁守中、前行政院發言人鄭麗文都表態爭取國民黨提名，今兩人受邀出席市議會秦慧珠的寒冬送暖活動，只見兩人把握機會，頻頻握手拜票，爭取支持。記者邱瓊玉／攝影分享  facebook   年底台北市長選舉，包括前立委丁守中、前行政院發言人鄭麗文都表態爭取國民黨提名，今兩人受邀出席市議會秦慧珠的寒冬送暖活動，只見兩人把握機會，頻頻握手拜票，爭取支持。記者邱瓊玉／攝影分享  facebook   年底台北市長選舉，包括前立委丁守中、前行政院發言人鄭麗文都表態爭取國民黨提名，今兩人受邀出席市議會秦慧珠的寒冬送暖活動，只見兩人把握機會，頻頻握手拜票，爭取支持。記者邱瓊玉／攝影分享  facebook   ","https://udn.com/news/story/10958/2954525"
"t_time7","2018-01-28 15:19","鄧家基幫周錫瑋站台 陳景峻：幫老長官打氣很好啊","  國民黨新北市長選情白熱化，前台北縣長周錫瑋今天正式宣布參選新北市長，包括前台北縣副縣長李鴻源與蔡家福、前環保局長鄧家基等人都到場力挺。不過尷尬的是，台北市副市長陳景峻也有意代表民進黨參選新北市，「同事」也就是台北市副市長鄧家基卻選擇幫「敵營」站台，顯然有點尷尬。 對此，陳景峻大氣的說，覺得很好啊，朋友歸朋友，政治歸政治，不要看得這麼要緊，總不能因為從政，而把一些朋友得罪光了，鄧家基幫老長官撐撐場，加油打氣，這是合乎人情。 台北市議員秦慧珠今天下午舉辦寒冬送暖活動，包括陳景峻、前立委丁守中、前行政院發言人鄭麗文等人均出席。 不料鄭麗文卻在上台致詞時，突然爆料指陳景峻沒有要選新北市長，自己先幫他宣布，讓坐在台下的陳景峻一時鐵青了臉，直喊「誤會」，儘管鄭麗文隨後再度上台「澄清」，不過場面依舊有點尷尬。 陳景峻表示，是鄭麗文聽錯了，導致有誤會，主要是在和鄭麗文聊天時，對方提到新北市要加油，順便問一下新北市的情勢；自己則是回答新北市要徵召，現在天王高來高去的，實在很爛，我也是天王，高來高去的，看了實在很糟糕。 陳景峻說，不料鄭麗文把徵召，誤會成不選了，不過剛剛已有澄清，沒有關係。台北市議員秦慧珠今天下午舉辦寒冬送暖活動，包括陳景峻、前立委丁守中、前行政院發言人鄭麗文等人均出席，留下難得同框的畫面。記者邱瓊玉／攝影分享  facebook   ","https://udn.com/news/story/10958/2954474"
"t_time8","2018-01-28 13:19","綠政治文化 「年輕世代要自己打天下」"," 民進黨參選新北市長人選，民進黨將目光轉向大老。回顧過去大小選舉，民進黨推出中生代、新生代，擊敗藍營對手的成功案例不少。民進黨人士指出，鼓勵年輕人打天下，勇於拚選舉替自己也替黨開疆闢土，是民進黨的重要政治文化。 民進黨人士說，每個時期都有勇敢替黨征戰的年輕人，林佳龍2005年首次參選台中市長落敗，持續蹲點，2014年終於讓台中變綠地。鄭文燦2009年、2012年分別在桃園縣長與立委選舉敗選，繼續深耕，成功當選桃園市長。林智堅是新生代，但他不畏戰，攻下藍營優勢區新竹市。蕭美琴在花蓮多年，成功翻轉後山當選立委。 上屆立委選舉，吳思瑤接受徵召，打敗國民黨立委丁守中。她說，有別於國民黨，民進黨的傳統是，年輕世代要去打天下，哪裡需要人，就會有人願意挺身而出。 吳思瑤說，當初黨徵召她挑戰丁守中，外界視為不可能的任務，她勇敢承擔，這是一種政治訓練過程，也是勇氣的展現，若只打穩贏的仗，會失去考驗年輕世代勇氣的機會，年輕人也難以證明自己。 基隆向來藍大於綠，民進黨上次推出年輕市議員蔡適應，打敗郝龍斌，當選立委。蔡適應說，民進黨的文化就是鼓勵年輕人參政，只要有意願、有實力，且願意在地方耕耘，黨部都會給予很大的空間與奧援。 ","https://udn.com/news/story/10958/2954316"
"t_time9","2018-01-28 12:04","新北老將出征？ 綠忘了過去善用年輕人擊垮藍","  民進黨新北市長人選，黨內將目光轉向大老級人物；不過，回顧過去大小選舉，民進黨啟用中生代、新生代，擊敗藍營對手的成功案例不少。黨內人士指出，鼓勵年輕人「打天下」，勇於拚選舉替自己也替黨開疆闢土，是民進黨的重要政治文化。 「每個時期都有勇敢替黨征戰的年輕人。」黨內人士表示，林佳龍2005年首次參選台中市長落敗，但持續蹲點，「十年磨一劍」2014前終於讓台中變綠地。鄭文燦2009年、2012年分別在桃園縣長與立委選舉敗選，但繼續深耕，成功當選桃園市長。林智堅是黨內新生代，但他不畏戰，攻下藍營優勢區新竹市。蕭美琴在花蓮深耕多年，成功「翻轉後山」當選立委。 上屆立委選舉，吳思瑤接受黨內徵召，打敗國民黨資深立委丁守中，當選北投。她說，有別於國民黨，民進黨的傳統是，「年輕世代要去打天下」，哪裡需要人，就會有人願意挺身而出。 吳思瑤說，當初黨徵召她挑戰丁守中，外界視為不可能的任務，但她勇敢承擔，「這是一種政治訓練過程，也是勇氣的展現」，若只打「穩贏」的仗，會失去考驗年輕世代勇氣的機會，年輕人也難以證明自己。 基隆向來藍大於綠，民進黨上次推出年輕市議員蔡適應，打敗藍營資深政治人物郝龍斌，當選立委。蔡適應說，民進黨的文化就是鼓勵年輕人參政，只要有意願、有實力且願意在地方耕耘，黨中央都會給予很大的空間與奧援。 他表示，民進黨向來有公正的徵召、民調等初選機制，會讓年輕世代願意替黨也替自己打拚。上屆基隆市長選舉民進黨提名林右昌，立委提名他，大膽啟用年輕一代，就是給年輕人機會的成功案例。民進黨主席蔡英文為尋求連任的黨籍縣市長打氣。圖／聯合報系資料照分享  facebook   ","https://udn.com/news/story/10958/2954237"
