,name,time,post,share,like,love,haha,sad,wow,angry,sentiment,Candidate
1,Ko,2018-06-15,"去年的全球治安排行榜，台北市拿下全球第3名。

讓台北市成為一座安全的城市，警察同仁的功勞最大。

跟其他縣市比起來，台北市的警察還要應付一年幾百場陳情抗議與街頭運動，相當辛苦。所以前幾年，我們刪減27項冗事，讓基層員警可以回歸本業。同時，我們推動「全面小E化」，包括執勤簿冊電子化、巡邏箱電子化，成立科技偵查隊等，讓警察辦事更有效率。

前幾天頒金吾獎給優秀警察時，我發現同仁們的一個小巧思，就能讓這個城市變得更好。比方<U+8AAC>刑警大隊偵查佐吳義盛發現遺失手機案件居高不下，就建了一個「拾得手機整合資訊平台」，上線不到一年，就幫民眾找到了超過兩千支搞丟的手機；大安分局組長劉誌雄在大同分局服務時，規劃了民生西路調撥車道，有效的改善環河北路到迪化街一帶的交通瓶頸。

這就是我所說的「a的n次方」理論，a大於1，a的n次方等於無限大，每個人都進步一點，合起來就可以為整座城市帶來巨大的改變。

今天是警察節，在此為每一位犧牲奉獻的警察同仁致敬，也要感謝每一位在背後的支持的警眷，你們是最堅強的後盾。

#感謝人民保母",492,26989,797,25,5,97,11,0.7391304348,柯文哲
2,Ko,2018-06-14,如何解決此問題，本人的做法是將資料讀進來轉成 ,1543,25747,800,147,4,54,12,0.7407407407,柯文哲
3,Ko,2018-06-13,"木柵焚化廠煙囪上的長頸鹿已經豎立24年了，很多人還以為那是動物園的地標。

不過，長年的風吹日曬，長頸鹿的圖案已經斑駁掉漆。焚化爐使用了一段時間，市民對空汙的標準也不斷提高，焚化廠的設備也需要整修升級。

這次整修，包括廢氣處理系統、電力電氣設備升級，不只廢氣排放濃度下降，還可以增加廢熱發電，增加年售電600萬度，並且恢復垃圾處理能力到每天一千公噸以上。

同時，煙囪也會換上全新的塗裝，是更具台北生態意象的台灣藍鵲、榕樹、杜鵑花，而且是台灣在地畫家陳一銘、林家蔚的著作，跟過去相比，更能融入木柵周遭的生態景觀。

在這裡，感謝長頸鹿煙囪24年來為處理台北市垃圾的付出，也期待今年10月新煙囪的出現。

#台灣藍鵲
#不會再念錯了
#宜居永續台北城",1463,40313,1120,157,1403,306,106,0.4736842105,柯文哲
4,Ko,2018-06-12,如何解決此問題，本人的做法是將資料讀進來轉成 ,148,12180,196,20,2,77,7,0.875,柯文哲
5,Ko,2018-06-11,"一開始聽到格鬥，以為跟電影裡面的武打明星一樣只是練練拳頭而已。後來才知道，這項專業的競技即將變成2028年的奧運項目，而且在全世界已經流行很久。

世大運結束後，我們要延續運動風氣，讓臺北成為一座具有運動風格的城市。跟其他運動相比，綜合格鬥雖然大家比較陌生，但我這個五十幾歲的阿北打個幾下都覺得熱血沸騰，我相信這個熱情是可以跨越年齡層的。

今年7月在和平籃球館，會有一場國際級的綜合格鬥競技賽事，歡迎大家一起來體會這項運動的熱血與刺激。

#阿北沒有練過

---
猛龍過江職業技擊爭霸賽
時間：7/7-7/8
地點：和平籃球館
購票連結：https://rfc.kktix.cc/events/rfc-f4sd24",446,14777,239,643,1,149,16,0.5263157895,柯文哲
6,Ko,2018-06-08,"這次議會總質詢結束了，感謝各位議員的指教與吳議長的主持。面對批評，需要改進就改一改。面對問題，解決問題，永遠比藍綠口水戰重要。

總質詢時，北農議題受到議員高度關注，也引起媒體的高度討論，從春節後休市菜價波動、送剩菜風波、到近期魚翅宴與洋酒，各種傳言、風波不斷。

這個國家不應該是這個樣子。我認為外界的指控還是要有證據，因此我主張「公開透明、公司治理」，也會請代表北市府的董監事負起監督責任，讓事實說話，一切攤在陽光下供外界檢驗。

吳總經理雖然政治歷練仍需磨練，但她在個人操守、來自產地的經驗，對台灣農業發展的熱情值得肯定。

我從政治素人一路做到現在才算穩住陣腳。同樣期許她能穩住，在政治角力場上，發揮專業，在各種利益衝突中，維持產銷平衡。

臺北市政府之於北農有兩個角色，董事會23席董事中，其中的5席董事包含董事長，以及臺北市政府市場處是它的管理機關。

從官股董事的身份而言，外界對總經理的質疑，官股董監事該查就查清楚。有問題回歸董事會處理。到目前為止，尚未發現不法情事，我們會繼續釐清相關爭議。

從市場拍賣機制而言，在臺灣本地農產品的優先性、價格的合理化及產銷上的平衡，北農目前整體表現還不錯，繼續努力。

該怎麼做就怎麼做。北農是供應臺北市市民新鮮蔬果與臺灣農業發展的平台，不該是藍綠對抗的舞台。",455,20155,369,114,10,22,71,0.5681818182,柯文哲
7,Ko,2018-06-08,"上禮拜我在臉書談還債，有人質疑是不是因為沒有建設才有錢還，這對今天的來吃便當的工務局彭振聲局長很不公平，因為臺北市看得見的大小改變，從北門廣場到建成圓環，從文山區防洪工程到環南市場改建，都跟他有關係。

我們都叫他老彭，今天中午十二點，一起來吃便當，讓老彭來告訴大家，有哪些改變真的成真。

#柯Ｐ便當會
#看得見的改變
工務話台北",1291,41411,1932,1422,10,68,67,0.25,柯文哲
8,Ko,2018-06-07,"最近，很多人關心國中小加裝冷氣的議題。

事實上，一個政策應該要有通盤的考量和長期的規劃，所以要抗暑，裝冷氣只是最後的手段。

節能減碳、綠色環保是政策的基本原則，這幾年我們在每一間學校的屋頂設置植栽和小田園，加裝走廊噴霧和屋頂灑水，教室也有排氣風扇、遮陽板。

此外，市府也已經和建築師公會簽約，委託他們對北市236間學校作體檢，有充分的資料，我們才能進一步作節能減碳的整體規劃。明年我們也已經編列各級學校隔熱綠屋頂的預算，其他的陸續規劃中。

至於冷氣不是說裝就裝，必須先更新學校的電力設備。所以第一步，我們要全面改善校園的電力系統，導入智慧能源管理系統，先從節電做起，最後才是安裝冷氣。

冷氣的採購策略方面，我們要買服務，不是買硬體。電費方面，會採取使用者付費，中低收入戶的學生則由市府支付。

面對酷熱議題，不可能只有裝個冷氣就解決，而是要做整體科學規劃，包括綠校園（太陽能板、綠化植栽、節能減碳）、智慧校園（智慧電網、契約容量數位管理）、降溫設施設備（如綠牆、灑水降溫系統）及各種通風設備等。

換句話說，雖然大家的焦點好像只放在冷氣之上，但實際上，我們還是希望透過整體的降溫對策，一次就把校園內的智慧電網、智慧綠建築，以及校園節能減碳的計畫給做好。",3792,74195,1994,63,9,317,28,0.8571428571,柯文哲
9,Ko,2018-06-06,"我太太很有個性，她本來就是一個獨立的人，所以提告跟寫臉書也不需要我同意。

這件事情要從去年世大運結束後說起，從那時候開始，一直有關於我的不實新聞出來，每天晚上的政論節目再來討論這些假新聞。抹黑抹紅整整快要一年了，要回應，也不知如何回應，不回應，變成是默認。

舉例來說，世大運閉幕時的黑衣人，沒收場內觀眾的臺獨旗幟，但場內維安是憲兵和國安局負責的，這些都不是臺北市長直接管轄的，結果政論節目持續罵了一個多月。之後國安局發了一篇新聞稿，說明場內維安的憲兵是國安局指揮的，和北市府警察局無關，但之前罵成這樣，一篇小小的聲明根本沒人看。

還有節目拿張照片，把黃向<U+7FA3>議員的哥哥黃向成當成辛旗（胡錦濤的助理），影射我去中國大陸做什麼賣臺事業，其實當時我還在臺大醫院當醫生，實在沒時間也沒能力搞什麼兩岸事務。甚至還有節目拿出一張5百萬的小吃店收據，指控我們選舉帳目不清，最後才說那個是道具，根本提不出任何證據。

最誇張的是，有節目說「郭（郭台銘）柯配」要參選2020年總統副總統，我到目前為止沒有跟郭台銘見過面，怎麼會有這種新聞？

面對假新聞、真指控，我們也有發聲明澄清，但人家根本不理會，繼續在節目上說謊造謠。這次講到我們家的財務，不小心被陳佩琪看到，只能算電視臺運氣不好，因為我們家的錢都是她在管的，所以她會跳出來，連很久沒開的臉書都重啟了。

我知道她很生氣，這幾年當市長，我學到「生氣時不要做決定」，所以我會再跟她溝通。

當然如果她最後做了什麼決定，我會完全的尊重她。",3595,121823,4940,2866,51,150,42,0.2857142857,柯文哲
10,Ko,2018-06-03,"如果要選擇2017年最能代表臺北作為一個多元開放城市的象徵，我會選開齋節。

去年開齋節，5萬名穆斯林齊聚臺北車站周邊慶祝這個回教慶典，很難想像有哪個非回教國家能夠接納這樣的大型穆斯林慶典活動。我常說自由的基礎是容忍，從容忍到尊重、接受，最後成為生活中的一部分，民主自由已經在臺灣落地生根。

這些穆斯林朋友離鄉背井，為臺灣的發展付出心力，很多大大小小的公共工程，如果沒有他們的幫助，恐怕沒辦法完成。此外，他們也協助很多臺灣家庭照顧行動不便、長期患病的長輩。穆斯林朋友們對臺灣的貢獻，值得我們用心相待。

如果我們的城市可以更友善，讓這群穆斯林朋友可以跟家鄉的親友分享「臺北經驗」，也是一種城市行銷。所以臺北市政府持續推動「友善穆斯林」的政策，今年的開齋節，我們也首次加入「穆斯林嘉年華」的概念，有各國穆斯林的特色市集，還有很多精彩的表演節目。

6月17日，歡迎大家一起來大安森林公園交朋友！

台北旅遊網
#臺北開齋節
#進步價值光榮城市

---
讓我跟熊讚Bravo告訴你什麼是「開齋節」
https://imgur.com/a/vAjjhO6",2371,24992,892,98,1,43,18,0.7619047619,柯文哲
