id,Media,title,year,month,day,content
1,Apple,蔡壁如角色同金溥聰？柯P：style不同,2018,5,31,台北市長柯文哲早早宣布競選連任。日前國民黨北市議員吳世正才質疑市府觀傳局提案要求局處拍影片宣傳市政、還可邀柯文哲入鏡，批評整個市府形同柯的競選總部；本周民進黨宣布自提人選參選台北市長，今民進黨籍市議員洪健益也爆料，柯於本周一晚邀包含台大醫生的一群友人進市府與柯對談，柯還在席間宣傳施政，遭疑行政不中立。柯今未否認邀友入府，但強調會有標準。市議員阮昭雄今質詢也關心行政中立的問題，問柯是否會由蔡壁如物色競選總幹事？柯說「我要自己找，怎麼會透過她」，蔡應該不會進競選總部。柯還說，不想設競選總部，「因為太花錢了，市政做好就是最好的廣告」。阮昭雄回應，不設才可怕，是否由蔡壁如擔任地下競選總幹事？柯文哲表示，「她沒能力做這件事，這我很清楚」。阮昭雄引用前市長馬英九與金溥聰的「馬金關係」比喻柯文哲與蔡壁如。阮說，蔡壁如之於柯，相當於金溥聰之於馬。柯文哲回，兩個人（金、蔡）的style（風格）不一樣，所以他才將辦公室主任換成他的同學，還強調與同學交情至今已44年，遠超過與蔡共事的時間。（郭美瑜／台北
2,Apple,【台北選戰】姚文智民調落後　民進黨：全黨幫忙沒棄保問題,2018,5,31,年底台北市長選戰，民進黨確定徵召綠委姚文智參選，對戰台北市長柯文哲、國民黨參選人丁守中，但姚文智近日媒體民調始終在第三名，外界推測，姚文智恐被棄保。民進黨秘書長洪耀福今指出，姚文智會第一，沒有棄保的問題，全黨都會幫忙，「選假的只有國民黨，換掉人選也只有國民黨會，我們不會。」洪耀福說，上一次台北市長選戰，民進黨在野，因此要集結所有在野力量，打倒國民黨，在策略上也很成功，而現在執政之後就要承擔更多的責任，柯是盟友不是自己人，但姚若當選就是自己人，未來中央跟地方在推動政策上就會更得心應手。至於姚文智目前民調落後，洪耀福說，民進黨擅長在逆勢中打選戰，從來沒有任何一場選戰是「撿便宜來的」，民民調就是慢慢來，支持者現在還沒有歸隊，姚本身有創意、對北市了解，也有年輕隊伍，姚最後會第一，要相信姚有這樣的戰力和策略，且全黨都會幫忙。藍營批民進黨自提人是打假球，姚恐被棄保，洪耀福說，「選假的只有國民黨，我們不會，換掉人選也只有國民黨會，我們不會，」姚文智會第一，沒有棄保問題。洪耀福更批國民黨北市長參選人丁守中是「悲劇性人物」，洪耀福說，丁一路都看不起姚，但丁連綠委吳思瑤都打不贏，還在用那種驕傲的心態，完全沒有從上次立委選戰的失敗中深切反省，丁會重蹈悲劇命運，不是因為八字，而是個性。至於年底選戰如何定調？洪耀福說，「改革和反改革力量終須一戰，」在這樣的對峙中，狹路相逢勇者勝，就是要勇敢對決、不可迴避。新北選戰扮演六都領頭羊的角色，因為新北市是國民黨執政，打贏新北的意義不同，而北市因為選民教育程度較高，非常適合理性辯論政策，讓執政理念越變越清晰。（余祥／台北
3,Apple,不與柯P商量　好友爆：陳佩琪準備告三立,2018,5,31,（新增：柯文哲回應）三立新聞台某政論節目來賓日前在節目中指出，台北市長柯文哲名下多了二千萬元新台幣，質疑是不明來源財產。這段談話，讓掌管柯家財務的市長夫人陳佩琪相當不滿、揚言提告。後來柯文哲出面打圓場，稱要再和妻子討論此事。台北電台節目「公民總主筆」主持人、陳佩琪好友朱蕙蓉今天在臉書發文，強調陳告訴她提告一事只是「禮貌性告知阿伯(柯文哲)」，在那些誣蔑柯家財產申報不實的電視台與名嘴道歉之前，絕不寬貸。《蘋果》今聯繫朱蕙蓉。朱表示，自己有獲得陳佩琪授權，這件事情(家中財務)完全由陳珮琪一人處理，當然由她全權負責，陳佩琪也希望捍衛自己的清白。近期陳佩琪也已和多位律師碰面，討論訴訟事宜。朱在臉書指出，當初訪問柯文哲結束後，她就跟柯說「(您)背後的女性不該被忽略」，因此向柯表達希望訪問陳佩琪，當時柯也坦言「你真的聰明，她才是我們家的大砲…她的電話…週x她可能可以，我跟她說」。朱蕙蓉解釋，這段話是想告訴大家，在柯文哲眼裡誰才是老大。朱還透露，柯文哲長這麼大了，連柯爸爸每年給的壓歲錢紅包都沒看過，均由陳佩琪直接接收。25年來，柯文哲家裡每一分錢都是陳佩琪經手。以往柯文哲擔任醫師的時候，財產申報收據留底都由陳佩琪處理；柯文哲當台北市長三年，監察院的財產申報也是陳佩琪親手寫的，當然建立收據留底「家規」更是舉世無雙，無人能及，「這在選前MG149已經讓所有要說嘴的人看著瞠目結舌啞口無言，草草了事」。對於最近事件，朱說，在沒有實際證據下，名嘴又接二連三在媒體大放厥詞，尖酸刻薄煞有其事，指控柯文哲財產來源不明等；「士可殺不可辱」，陳佩琪的自主性這下展現可是達到最高點，絕不再妥協、直接在多處多人的臉書留言「三立不道歉，將提告」。朱在臉書發文末尾也向柯文哲喊話：「市長阿北，您家的佩琪老婆，曾經為了捍衛您的清白與正直，獨自跳出來開記者會護夫的景況歷歷在目，您忘了嗎？如今，請您不要又忘記唷，她早已是成年個體，這次，她不是要跟您商量是不是要捍衛自己的清白與正直，能不能提告、要不要提告……她只是要告知您一聲而已唷」。朱最後特別強調，她說「很重要，要說三次 ─ 只是告知、告知、告知」。今晚在台北市議會備詢結束後，媒體追問市長柯文哲對太太陳佩琪將提告一事有何看法？柯微笑僅答「回去再討論」。(陳思豪、林媛玲/台北報導)發稿：17:00更新：18:15
4,Apple,吳音寧赴魚翅宴遭批　柯Ｐ又幫忙緩頰 ,2018,5,31,有台北市議員參選人今在臉書爆料指，近來香蕉價格大跌、農民欲哭無淚，但北農總經理吳音寧5月11日卻在高雄吃魚翅。今吳音寧到市議會接受備詢時表示，她是到高雄產地視察，受產地之邀到餐廳用餐，並不知道會被帶到哪個餐廳、菜色會如何，但基於個人理念她並沒有吃魚翅。市長柯文哲在議場也聲援吳，他說，有規定市府餐廳點菜不會點魚翅，但人家請客就比較麻煩，不可能事先審人家的菜單。柯文哲還說，他因為吃飯吃很快，常吃完都不曉得那是魚翅，不過台北市府有規定宴客不能點魚翅。（林媛玲／台北
5,Apple,【更新】訪李登輝盼支持丁守中？　藍駁斥：不可能請鬼拿藥單,2018,5,31,(新增：丁守中辦公室回應)媒體報導，國民黨資深幹部拜會前總統李登輝，爭取支持台北市長參選人丁守中，國民黨文傳會主委李明賢今表示，國民黨中央或丁守中幕僚，均未聯繫李登輝，李年歲已高，不適合參與選舉，且李先前曾公開稱讚台北市長柯文哲是「不錯人選」，國民黨不會做此想像與期待。黨內人士私下表示，不可能請李支持丁，此舉根本是「請鬼拿藥單」，無稽之談。丁守中辦公室發言人詹為元則回應說，「天方夜譚、子虛烏有」，沒聽說丁接觸過李登輝，報導完全不是事實。《上報》報導，國民黨確定由丁守中參選台北市長，藍營基層支持者陸續歸隊，丁守中聲勢大起，國民黨為重新拿回台北市長之位，日前更有黨內資深幹部赴翠山莊拜會李登輝，希望李可以發揮影響力，幫幫丁守中。不過，李登輝顯然對於曾被黨內視為連戰人馬的丁守中「興趣缺缺」，僅向昔日舊屬們淡淡表示，他對丁守中「沒有什麼印象」，對丁，他並不願意多談。?李明賢下午受訪時表示，國民黨沒有請李登輝出來幫忙，「不敢勞動大駕」，丁會依照既定的節奏，拜會黨內人士整合，並提出相關願景與政見。國民黨也澄清，若有李登輝前部屬拜會李，應是談到台北市長選舉，但非銜命爭取李登輝支持丁，媒體不要過度揣測。黨內人士也說，拜會李的資深幹部與目前國民黨系統與丁守中幕僚，完全無關。?國民黨人士說，黨中央或丁守中拜會藍軍的重量級人士、前市長等會加分，但拜會李登輝可能變「扣分」，李這些年跟藍軍已毫無瓜葛。（王家俊／台北
6,Apple,呂秀蓮對民進黨說Bye Bye　丁守中：吸引中間選民的票,2018,5,31,前副總統呂秀蓮昨透過幕僚發聲明，與民進黨說Bye Bye，前總統陳水扁判斷，呂秀蓮很可能會成為獨立參選人。國民黨台北市長參選人丁守中上午接受Hit Fm聯播網《蔻蔻早餐》節目專訪表示，呂可以拿到一部分支持者的票，加上近拔管案，是很實在的言論。主持人周玉蔻問，「你認為呂副在評論管案，是可以吸取淺藍的票嗎？」丁說，呂副早期對台灣民主價值的堅持，會拿到一部份綠營以及中間選民的票，他也認為，「對大家都有影響」。?丁守中也說，台北市長柯文哲「當然是綠營的」，他認為柯，「見人說人話，此一時彼一時」，毫無核心價值，這也是為什麼民進黨某部份深綠人士認為，「他(柯文哲)最有可能出賣台灣」。是否會擔心柯文哲曾說「兩岸一家親」，會吸取某部份藍營的票呢？丁表示不會擔心，因為他認為柯就是帶著多重面具的人，「當他說出2020會支持蔡英文連任，藍營的就不會支持他了。」?周玉蔻詢問，前陣子有消息指出，國民黨新北市長參選人侯友宜不會與柯文哲切割，這難道不會影響丁守中的選情嗎？丁也認為，這完全不必擔心，侯當初只是因應媒體的一句話，他也認為有好的政策當然要互相合作。?談到市政方面，台北最棘手的大巨蛋，丁守中說，要繼續蓋下去，「法律問題歸法律」，他認為若是基於安全考量，應該限制進場的人流人數。而柯文哲近日推出1280元捷運雙北吃到飽，讓許多民眾感到很開心，這也會是柯文哲最有力的政見之一，但丁認為「1280還是太貴了」，假如他上任後，會在仔細精算，絕對比1280還來得划算。?柯文哲取消老人年金1500元，引發許多老人不滿，是否恢復？丁說，老人年金全台都有，就連柯的父母在新竹，都領4000元，而台北是財政狀況最好的，他認為這是對老人的基本尊重，他表示只要他一當選，立刻恢復老人年金。?周玉蔻問，「會不會繼續舉辦雙城論壇？」丁說，不只雙城論壇，台北應該要辦多城論壇。但是否會和柯文哲一樣說出「兩岸一家親」？丁表示，他不會說出和柯一樣的話，但他認為中國是台灣最大的市場，也是貿易最大的投資地，因此他不會與中國變成敵對關係。?周玉蔻問，「國台辦如果支持台北市長柯文哲，如發生什麼『棄丁保柯』，你擔不擔心？」丁守中回應，「我一點不擔心，老共在我們選舉裡面，它從來不是正面的力量，有什麼好擔心的。」至於立委蔣萬安是否擔任總幹事，丁手中說，蔣萬安忙得要命，自己也有市政問題要處理。（王家俊／台北
7,Apple,如果有一天，「天網」在台灣全面實施??,2018,5,31,黃榮文／大學兼任教授?2017年有一部改拍自反烏托邦小說《The Circle》的同名電影，台灣譯成《直播風暴》。內容描述女主角梅兒因好朋友介紹進入一家先進的網路科技企業《環網》(The Circle)公司，擔任客服人員，賣命工作。因緣際會下，她加入了公司的攝影機實驗，全天候直播自己的生活點滴(除了三分鐘的如廁時間外)，公開一切隱私，全世界註冊了該公司帳號並連線上網者皆能以智慧型裝置即時觀看她的一舉一動。隨著追蹤的粉絲數越來越多，曝光率增加，網路人氣攀升，在公司的地位水漲船高，受到有私心與野心的老闆大力重視，梅兒開始變得高傲，好朋友因而與她疏遠，男朋友也因為無法忍受毫無隱私的生活，選擇離她而去，隱世獨居。有一次梅兒更在無意間直播了她父母的床第生活，導致父母因羞愧而退出她的直播網絡，但她對名氣與權力的追求仍不停歇，甚至建議公司老闆，遊說政府強制所有公民應註冊公司帳號。所持的理由十分冠冕堂皇，諸如可以防制犯罪、協尋失蹤人口、進行投票意願的大數據分析、減低交通事故等等，甚至於成功將該高科技產品賣到若干其他國家，環網上線。果然，在一次有數億觀眾的全球現場直播中，梅兒成功地利用《環網》科技在短時間內抓到了一位隱匿的女逃犯；即時追蹤的粉絲一陣瘋狂，進一步鼓譟要她找出失蹤的前男友，自私的老闆也加入慫恿的行列，最終卻導致她的前男友在駕車逃避環網無所遁形的追蹤時，在所有人直播目睹下墜河身亡。此事令梅兒痛不欲生，開始反思自己的一切行徑，並在一位具有同樣反思能力的同事協助下，對該老闆進行反制。以上情節，大家是否覺得似曾相識，喚起對最近某一發生在你我周遭事件的聯想？沒錯，就是不久前的新聞，「台北市副市長林欽榮日前宣布，北市將在三年內投入超過10億新台幣，將全市路燈改造為智慧路燈，並將建置車牌、人臉辨識功能，以防範治安死角、協尋失蹤人口，甚至分析集會遊行、交通安全等。」如此具有高度爭議性的政策，如果沒有柯文哲市長的授權，林欽榮向天借膽，竟敢擅自做主？更何況，在2015年初柯文哲便曾打算在台北市廣設監視器，進行車輛違停舉發，以減輕警察勤務負擔，還說出「想不通的人就是腦子裡裝大便」的幹話；最後，該構想在輿論指責與法律專家的大力阻擋下終究未全面實施。幸好，再一次因為龐大的社會輿論壓力，林欽榮在不到一天時間便收回了推動人臉辨識路燈的政策宣示。更具體地說，應該是柯文哲收回了該政策宣示！民主國家進行此種「全民監控」的行徑只能暗地裡做，就如前中央情報局(CIA)僱員史諾頓驚爆美國國家安全局(NSA) 監控全球電腦網路，而被美國政府追緝事件—因為民主國家有所謂「輿論壓力」這東西，因此只好偷偷摸摸進行；極權國家可就不管這一套，說幹就幹，例如號稱全球最大的影像監控網絡—中國「天網」，能即時辨識所有路上的車輛種類、顏色，以及行人的年齡、性別、衣著等等，甚至可以根據臉上的特徵，查詢資料庫找出是否被警方通緝，並立即在畫面上顯現出來。中國「天網」可不僅用於抓捕犯罪者，更用於監控異議人士。諾貝爾和平獎得主劉曉波病逝後，頭七當晚許多廣東公民在海邊舉行公祭，之後有許多人被捕，其中就有數人便是警方透過人臉識別系統發現他們的行蹤。現在中國的飯店、商場、劇院、巴士、地鐵、計程車等都布滿了鏡頭(未來會有更多)，部份更配合「天網」的人臉識別，拍下違反交通規則的過路行人民眾，或自動對違規司機開罰單，甚至有些中學還安裝了監視器，監控學生的情緒。中國此種鋪天蓋地的監視系統業已建置完竣，其架設時程與柯文哲市長2015年初提出「廣設監視器進行車輛違停舉發」構想更早或相近。國內建構監控系統所需的監視器，大都是Made in China；就算柯市長不是直接串連中國高層，亦應間接經由監視器廠商得知中國正進行「天網」的建置，卻毫不避諱地同步提出構想，令人十分不解。筆者只能推論，柯文哲和習近平都有相同的「朕想到的，都是對的，做就對了」的威權性格。進一步聯想到，如果有一天，「天網」在台灣全面建置，監控了你我的生活??，不由得一陣冷意自背脊升起，不寒而慄。其實筆者並不反對柯文哲的「廣設監視器進行車輛違停舉發」以及「將全市路燈改造為智慧路燈，並將建置車牌、人臉辨識功能」等構想，但前提是:請在北市府各辦公處室、廊道，以及柯市長家中各房間、前後院先行安裝，並上網直播，讓所有市民都能即時監看市府公務員有沒有溜班、摸魚或違法瀆職，柯市長夫婦或柯媽媽有沒有像吳淑珍夫人一樣在家中接見企業家??等這一切通過全民檢驗，試用可行後再全市建置，以發揮其最大功能，全體市民必將額手稱慶。進一步，中央政府若有意跟進，請先在總統府及五院通通建置，並讓全國百姓《環網》直播或公開透明監看，之後再在全國建置，相信老百姓就沒有所謂「被監視的感覺」了。這就是《直播風暴》中女主角梅兒對奸詐狡猾、野心勃勃的公司老闆的反制手段:將攝影機置於他的胸前進行即時直播，令他及公司的一切作為無所遁形??但如果在台灣建置的叫做「天網」，那前述內容中應該不再稱為「總統府」及「五院」了，而是換以其他「地方政府」的稱謂；而對於「輿論壓力」，習近平更只會回一句「朕知道了」，便不再鳥你。難道這是台灣人民所追求的未來生活型態？
8,Apple,杭之專欄：從台北選局看藍綠白的未來,2018,5,31,杭之／政論家、國安會前副秘書長民進黨中執會前天通過徵召立委姚文智參選下屆台北市長。紛嚷相當時間的首都選戰格局總算初步定下來。柯文哲確實是政壇少見的怪咖。以一政治素人乘太陽花運動「白色風潮」而起，讓當時在野且前景看好的民進黨不與爭鋒，並促成當年政治版圖震盪重組的效應。4年前這效應的背後，以及4年來柯與綠營基層間的愛恨情仇，演變到要不要再度禮讓的紛嚷，其實都隱隱有著台灣社會政治形勢變化的影子。4年前民進黨之所以禮讓，當然是因為有一股新興的「氣勢」。4年來，柯文哲爭議不斷，但聲勢仍居高不下，當然也是因為那股「氣」隱隱還在，他也認為這股「氣」在自己這邊。所以，在民進黨決定自己提名後，柯文哲打出「超越藍綠」訴求，試著跨出全國性結盟的腳步，喊出「比藍綠更重要的是黑白，比統獨更重要的是思維」。這些話，除了是現實政治操作外，也還聞得到柯認為天命在茲，想要掌握「白色力量」的企圖。最近有一個民調，有四分之三的民眾認同1996年總統直選以來藍綠惡鬥比較多，對國民兩黨的好感度都只有四分之一，對執政黨持負向的近半，對國民黨持負向的也超過4成。你們惡鬥，我不爽。客觀形勢讓柯有機會顧盼自雄，但現實形勢未必那麼樂觀。同一份民調，只有26.7％的受訪者支持柯市長結合白色力量組黨，不支持的趨半，達43.6％。這是很有趣的結果，是一時的氛圍還是大趨勢，值得關心台灣政治發展的人觀察。從1970年代民主胎動到1980年代反對黨成立以降，台灣經歷3次政黨輪替，老大的國民黨和新興的民進黨都經歷過花開花落。將近半世紀的變遷發展，台灣的民主歷程波濤洶湧，但在潛流下，公民社會力量的成長創造了台灣社會最大的資產。就是這個資產，孕育了太陽花，有別於黨外運動、野百合學運等前一代追求的民主，這是更加錯綜複雜而多變的政治型態。在前一代，追求去威權、自由化、民主化，關注著選舉、議會、政黨等。新世紀伊始，剛好第一次政黨輪替，正如在實施「西敏寺制」民主之老牌西方國家所發生的，一些「後西敏寺制式」民主之要素、形式，出現在我們的政治生活中。媒體、網際網路、全球公民社會、非暴力公民抵抗、公益訴訟和非政府組織等等，一系列自下而上的權力監督機制向整個政治秩序的周邊和下方擴展，在民主政治生活中起著作用。政治學家 John Keane 將這種正在出現之新型的「後代議」政治形式稱之為「監督式民主」，其核心意涵是：對各種決策者進行公共審查和公共監控。如 John Keane 所論，儘管這新的發展趨勢也遇到許多反趨勢，如「影視作主」（videocracy）和「電子民粹主義」（telepopulism）氾濫帶來的危險，但這種新型態民主形式的到來是一個不可逆的趨勢，這種民主形式立基於健全之公民社會，織造一張複雜的監督網絡，不斷在質疑、制約權力。任何要有力存活的政黨或組織，是否能踏在浪頭引領趨勢，恐怕不只是弄新趨勢之潮，更重要的，它能引領更好組織實踐社會生活的政治形式嗎？老大的國民黨能再生嗎？已過而立之年的民進黨氣力衰否？顧盼自雄的柯 P 能開創新局嗎？江流石不轉，大浪淘沙呀！
9,Apple,蘋中信：從台北選局看藍綠白的未來（杭之）,2018,5,31,民進黨中執會前天通過徵召立委姚文智參選下屆台北市長。紛嚷相當時間的首都選戰格局總算初步定下來。柯文哲確實是政壇少見的怪咖。以一政治素人乘太陽花運動「白色風潮」而起，讓當時在野且前景看好的民進黨不與爭鋒，並促成當年政治版圖震盪重組的效應。4年前這效應的背後，以及4年來柯與綠營基層間的愛恨情仇，演變到要不要再度禮讓的紛嚷，其實都隱隱有著台灣社會政治形勢變化的影子。
10,Apple,辣蘋果：堂堂溪水出前村（余艾苔）,2018,5,31,丁守中苦守寒窯18年，今年終於輪到他代表國民黨參選台北市長；至於姚文智，雖然不像丁一樣，在戲棚下蹲那麼久，但他8年來，也是民進黨內近來少見堅持要選台北市長的人。
