,Media,title,year,month,day,content
140,Apple,柯文哲人氣旺 贏賴神、小英 最新民調 總統聲望跌至35.33％,2018,1,1,"【崔慈悌／台北報導】

台灣民意基金會昨天公布民調，蔡英文總統聲望持續下滑，與行政 院長賴清德、台北市長柯文哲相比，小英已是敬陪末座；賴揆支持度 也下滑逾1成，三人中無論人氣還是好感度，柯文哲都高居第1，基金 會董事長游盈隆表示，柯P形同「民意小巨人」，而蔡英文不再是個 受人民愛戴的總統。

蔡英文去年520上任後民調直直落，今年9月進行內閣改組，閣揆由 賴清德接棒，蔡的民調一度上升達16.6個百分點，不過在轉型正義等 多項政策引發爭議後，蔡的民調再度呈現下滑。根據台灣民意基金會 昨天公布的民調結果，35.9％民眾贊同蔡英文的國家領導方式，但有 高達46.6％的人不贊同，與11月相較，贊同的民眾下滑2.7個百分點 ，不贊同者上升6.8個百分點。

游盈隆指出，以2017全年總平均數來看，蔡英文聲望平均值是35. 33％，相對於歷屆總統執政第1年聲望平均51.65％，顯示蔡英文已不 再是個受人民愛戴的總統，「這無疑是個難以吞嚥的數字」。

至於賴清德施政滿意度，則有7％非常滿意、40.4％還算滿意，27 .8％不太滿意、10.8％非常不滿意，與上月相比，滿意減少12.3個百 分點、不滿意增加11.4個百分點。

游盈隆指出，跟上個月相比，滿意與不滿意之間的落差達32.5個百 分點，「這是顯著、難以置信的轉變」，分析原因恐是內閣輪番「放 火」、功德說等因素造成。

若以感情溫度計測量結果來看，蔡英文僅46.94度，落後排名第2的 賴清德7.3度，比柯P落後12.59度；以好感度來看，柯P54.4％高居第 1，賴揆43.6％屈居第2，蔡英文以31..8％敬陪末座；從反感度來看 ，蔡以34.1％獨占鰲頭，賴清德以22％位居第二，台北市長柯文哲以 14.7％則是第3。

游盈隆指出，柯文哲的人氣熱度，雖相較於9月台北世大運時的66 .75度遜色不少，但仍是所有高人氣政治人物之冠，在台灣形同「民 意小巨人」，也反映出民進黨和蔡總統執政的困境及危機。

此次民調訪問期間是去年12月25及26日，以全國為範圍的20歲以上 成年人，有效樣本1085人，抽樣誤差在95％信心水準下約正負2.98個 百分點。

 "
215,Apple,柯P民調居冠 形同民意小巨人,2018,1,1,"【崔慈悌／台北報導】

台灣民意基金會昨（31）日公布民調，蔡英文總統聲望持續下滑， 與行政院長賴清德、台北市長柯文哲相比，小英已是敬陪末座；賴揆 支持度也下滑逾1成，3人中，無論人氣還是好感度，柯文哲都高居第 1。基金會董事長游盈隆表示，柯P形同「民意小巨人」，而蔡英文不 再是個受人民愛戴的總統。

蔡英文去年520上任後民調直直落，今年9月進行內閣改組，閣揆由 賴清德接棒，蔡的民調一度上升達16.6個百分點，不過在轉型正義等 多項政策引發爭議後，蔡的民調再度呈現下滑。

根據台灣民意基金會昨天公布的民調結果，35.9％民眾贊同蔡英文 的國家領導方式，但有高達46.6％的人不贊同，與11月相較，贊同民 眾下滑2.7個百分點，不贊同者上升6.8個百分點。

游盈隆指出，以2017全年總平均數來看，蔡英文聲望平均值是35. 33％，相對歷屆總統執政第1年聲望平均51.65％，顯示蔡英文已不再 是個受人民愛戴的總統，「這無疑是個難以吞嚥的數字」。

至於賴清德施政滿意度，則有7％非常滿意、40.4％還算滿意，27 .8％不太滿意、10.8％非常不滿意，與上月相比，滿意減少12.3個百 分點、不滿意增加11.4個百分點。

游盈隆指出，跟上個月相比，滿意與不滿意的落差達32.5個百分點 ，「這是顯著、難以置信的轉變」，分析原因恐是內閣輪番「放火」 、功德說等因素造成。

若以感情溫度計測量結果來看，蔡英文僅46.94度，落後排名第2的 賴清德7.3度，比柯P落後12.59度；以好感度來看，柯P的54.4％高居 第1，賴揆43.6％屈居第2，蔡英文以31.8％敬陪末座；從反感度來看 ，蔡以34.1％獨佔鰲頭，賴清德以22％位居第2，台北市長柯文哲以 14.7％則是第3。

游盈隆指出，柯文哲的人氣熱度雖較9月台北世大運時的66.75度遜 色不少，但仍是所有高人氣政治人物之冠，在台灣形同「民意小巨人 」，也反映出民進黨和蔡總統執政的困境及危機。

此次民調訪問期間是去年12月25及26日，以全國為範圍的20歲以上 成年人，有效樣本1,085人，抽樣誤差在95％信心水準下約正負2.98 個百分點。

 "
290,Apple,蔡英文2017全年聲望 滑至35.33% 執政500多天 民眾感情溫度輸習近平、柯文哲、賴清德,2018,1,1,"【記者林永富／台北報導】

蔡英文總統執政500多天，台灣人對蔡英文的感覺及評價如何？根 據親綠智庫台灣民意基金會最新民調顯示，從政治人物感情溫度計的 測量結果得知，曾經紅極一時的蔡英文之民眾感情溫度只有46.94度 ，還輸給中共領導人習近平的51.52度，台北市長柯文哲59.53度、行 政院長賴清德54.24度，都贏過民眾對蔡英文的反應。

台灣民意基金會12月31日公布2017年終民調顯示，蔡英文在2017全 年平均聲望為35.33%，相較於第一年執政的平均值51.65%呈現大幅下 滑。12月的聲望調查顯示，有3成6贊同蔡英文的國家領導方式，另高 達4成7不贊同；觀察近3個月變化趨勢，今年9月蔡英文因更換閣揆， 聲望暴增16.6%，之後連續3個月共下滑10.5%，不贊同蔡英文國家領 導方式的人竄升10.6%。

針對兩岸領導人的好感度進行民調，台灣民意基金會調查結果發現 ，台灣人對蔡英文總統的感情溫度46.94度（2017年12月調查）只比 馬英九41.64度（2016年5月調查）高5度，但比習近平51.52度（201 7年11月調查）低將近5度。台灣民意基金會董事長游盈隆表示，如果 將台灣人對這3人的感覺做比較，習近平竟是3人中溫度最高的。

反感度 蔡獨占鰲頭

在比較蔡英文與行政院長賴清德及台北市長柯文哲3人時，蔡英文 敬陪末座，落後居次的行政院長賴清德7.3度，落後第一的台北市長 柯文哲達12.59度。游盈隆表示「這是一個相當寒冷的溫度，根本上 屬於負面反感的一邊」。如果和去年5月蔡總統剛上任時相比（69.0 4度），可以發現蔡此刻所獲得的人氣，已完全無法和去年上任時相 提並論。

如果從好感度來看，柯文哲以54.4%高居第一，賴清德以43.6%屈居 第二，蔡英文以31.8%敬陪末座。如果從反感度來看，蔡英文以34.1 %獨占鰲頭，賴清德以22%位居第二，柯文哲以14.7%居第三。

游盈隆表示，經驗證據顯示，柯文哲在今日台灣已經是一個民意小 巨人，他受歡迎的程度已遠遠超過民進黨籍的現任總統與閣揆。這也 間接反映出民進黨與蔡英文今日執政的困境與危機。

軍機繞台 6成不滿蔡

對於中共機艦擾台次數暴增，民調顯示，有高達7成3的人表示無法 接受，中共軍機繞台頻繁已引起絕大多數台灣民眾的不滿。至於蔡英 文對中共軍機繞台的處理方式，則有高達6成1的人表示不滿意。

 "
574,Apple,「吾黨所宗」不再跳針 總統府升旗 小英唱完國歌,2018,1,2,"【崔慈悌／台北報導】

總統府昨天舉行元旦升旗，典禮沿襲去年採音樂會形式進行，邀請 世大運金牌選手及中華男足隊與國軍弟兄共同領唱國歌，蔡英文總統 也微開口輕聲唱完，不過現場及周邊並不平靜，獨派、原住民、勞團 等多個民間團體前往抗議，所幸並未造成嚴重衝突。

中華民國107年元旦總統府升旗音樂會活動昨天清晨5時至8時在總 統府前廣場舉行，現場4時30分起開放民眾入場，許多民眾參加完跨 年活動就直接趕來，4點不到，周邊就湧進人潮。

今年活動由中華民國工業區廠商聯合總會主辦，以「幸福共好」為 企畫主軸，府前南北廣場也首度加入結合公益的「共好市集」，民眾 只要持社福團體捐款收據，即可兌換商品或早餐一份，儘管攤位一早 就擠滿了人，但許多人未攜帶收據無法兌換，準備的4000份餐盒直到 活動結束仍剩下3000多份。

「總統好」柯P糗舉手

台北市長柯文哲一早5時50分抵達現場，媒體詢問柯P民調問題，柯 文哲笑著回應「不要害我啦！」

總統蔡英文、副總統陳建仁在6時20分左右步出總統府，與行政院 長賴清德、立法院長蘇嘉全、司法院長許宗力及柯文哲等人共同參與 升旗活動，蔡英文一進場先與高齡百歲的台獨大老史明握手寒暄，並 和賴清德握手。

有趣的是，在蔡英文進場，司儀高喊「總統好」時，柯文哲的手竟 然想舉起，驚覺不對才又趕緊放下，大會在世大運金牌選手、中華男 足隊與國軍楷模領唱下，全場民眾齊唱國歌，蔡英文也全程微開口跟 著唱，不像去年跳過「吾黨所宗」4個字。

獨派原民勞團 現場陳抗

不過正當會場唱完國歌時，獨派的基進黨成員突然拿出「台灣獨立 旗」欲表達訴求，立即被維安人員搶走，人也遭警方架離，基進黨青 年幹部王映心發表聲明，對蔡英文政府容不下台獨的訴求，表達嚴重 的不滿與譴責。

原住民團體也在現場欲舉起標語，但遭制止。勞工團體則是在場外 抗議，戴著面具扮演蔡英文發表kuso版元旦文告，諷刺蔡未兌現加薪 、降低工時等選前的承諾，並模仿蔡英文語氣，強調「我們會因為過 勞而更偉大」。

今年活動邀請到台灣年輕創作樂團「木眼鏡樂團」、「孩子王樂團 」、「放客兄弟」，以不同的曲風展現能量。三大高校北一、建中、 中山樂儀旗隊，也首度同台接力演出，活動相當精彩。

 "
645,Apple,停辦煙火？柯P：防空汙要整體規畫,2018,1,2,"【張潼／台北報導】

不少縣市都會舉辦晚會或放煙火慶祝跨年，但因空汙問題嚴重，有 環保團體認為應該停辦，避免大批民眾騎車、開車湧入會場，讓空汙 更嚴重。台北市長柯文哲被問到，會不會停辦跨年因應空汙？他持反 對意見，強調自己「反對表態性的行為」，空汙是每天的問題，要整 體規畫，而不是只在處理某件事。

柯文哲認為，自己不喜歡表態性的行為，呼吸是每分每秒的事，例 如放不放煙火，一年365天但不放煙火頂多是300秒，空汙問題還是要 有整體、長期規畫處理。

柯文哲參加跨年晚會前，透過臉書直播「許願」，希望2018年能夠 每天睡滿6小時，1日參加元旦健走時他再許第二個願望，希望新的一 年「認真過每一天，可以的話更要快樂的過每一天，如果真的沒辦法 ，至少要裝得快樂。」

只不過，活動行程滿滿，睡滿6小時的願望在新年第一天隨即「破 功」，柯文哲苦笑說，錢很難賺、實在是太辛苦了，不過，為鼓勵民 眾健康生活、延續2017世大運所營造的運動風氣，柯文哲1日也現身 力挺希望基金會董事長紀政舉辦的元旦健走活動。

柯致詞時說，用健行開啟新的1年，也是用充滿希望的態度面對新 的1年，既然每年參與元旦健走的人很多，代表熱愛運動的市民也很 多，希望這股風氣不要結束、可以繼續用各種方式延續下去，讓台北 市成為更健康的城市。

 "
717,Apple,北京迎新年 首由解放軍升旗 分著海陸空軍服 代表全軍官兵,2018,1,2,"【記者蔡浩祥／綜合報導】

迎接2018年，北京天安門元旦升旗儀式1日舉行，有別以往36年傳 統，今年首次由人民解放軍負責升旗儀式。綜合陸媒報導歸納，相較 以往武警執行，今年升旗儀式共有7個不同之處，包括升旗組人員、 分著海陸空軍服及新創作《升旗號角》音樂，為新的一年拉開序幕。

新華社報導，今年北京天安門元旦升旗儀式1日早上7時36分許登場 ，儀式首次由解放軍儀仗隊和軍樂團執行。不同往年由隸屬人民武裝 警察部隊北京市總隊、武警天安門國旗護衛隊負責，改由人民解放軍 操刀。

創作《升旗號角》音樂

儀式開始時，首先，升旗組由4人調整為3人，分別著陸海空軍禮服 ，代表全軍官兵。著陸軍禮服的升旗手執行展旗任務，另2名著海軍 、空軍禮服的護旗兵持槍行注目禮。

報導指出，每月第一天升旗護旗隊員由36名增加至96名，平日升旗 護旗隊員由36名增加至66名；原升旗時演奏「國歌」3遍，時長2分7 秒，現演奏一遍，升旗時長為46秒，並新創作《升旗號角》音樂。

最後，調整軍樂團出場和演奏位置及《歌唱祖國》演奏時間點；調 整護旗隊動作，護旗隊進場正步行進時由肩槍改為端槍，升旗時增加 3名分隊長下達「向國旗敬禮」口令、行舉刀禮。

府前升旗 蔡柯出席

報導指出，今後每月第一天升旗按126人編隊方案實施，其中護旗 隊員96人、禮兵30人，分別著14式陸海空軍禮服。護旗隊由前至後依 次為國旗組配3人、陸海空軍分隊長3人、陸海空軍隊員90人。其中， 隊員90人編為6路15列行進隊形，分準備、迎旗、護旗、升旗和返回 5個步驟，全程10分鐘。

中華民國2018元旦升旗典禮昨天在總統府前展開，總統蔡英文、副 總統陳建仁、台北市長柯文哲早上6時許抵達現場。參與領唱國歌的 中華男足，難得的經驗讓隊員大呼緊張，卻也展現超人氣。

 "
214,Apple,三貓計畫難產 違建問題卡關,2018,1,3,"【陳燕珩／台北報導】

台北市長柯文哲上任後，繼續推動整合貓空、貓纜和大貓熊的「三 貓計畫」，計畫將貓空地區打造成台北休閒後花園，不過，2年多來 ，除了產發局畫設「休閒農業區」有進展，店家違建合法化問題依舊 卡關，市府尚未提出新方案，加上貓纜運量持續下滑，短期內恐難振 興貓空經濟。

貓空1970年指定為保護區，只有8戶是合法房舍，山上60多戶茶館 、民宿和土雞城等店家多是既存違建，柯市府依循2004年訂下的都市 計畫變更方案，協助店家將違建變更用地取得合法使照，但相關程序 繁雜，市府又提不出新的解套方案，導致柯任內進展緩慢，至今無店 家合法化。

都發局都市規劃科長葉家源說，很多申請案還在程序中，中間有很 多道關卡，包括送都市設計審議、個別都市計畫變更，還要送內政部 審議，府內仍在作業中，有相關進度或新方案會再對外說明。

另外，產發局去年向中央提出申請，在貓空山上道路旁劃設100公 頃的「休閒農業區」，農業發展科長劉永修說，預計這周會收到正式 核准函，未來既有合法房舍可經營民宿，能帶動當地產業發展，區內 店家也可提出相關產業計畫，向中央和市府申請經費補助，以社區概 念推動產業發展。

至於貓空商圈振興部分，商業處商業輔導科長蔡立韋說，這幾年有 舉辦豐茶祭，搭配導覽、遊程等活動，除了店家和茶攤本身，也針對 周邊步道、壺穴等特色景點，規畫5條小旅行路線，希望帶動造訪人 潮。

 "
289,Apple,拚財務平衡 出現反效果 貓纜漲價2年 人次少61萬,2018,1,3,"【陳燕珩／台北報導】

貓空纜車連年虧損超過1億元，2016年初起調漲票價，外地遊客最 高票價從50元漲到120元，儘管因此減少5000多萬元虧損，漲價後運 量卻持續下滑，去年總運量約210萬人次，比2015年漲價前的271.3萬 人次共減少61萬人次。議員何志偉認為，市府不能只想著貓纜財務平 衡，需考量貓空整體發展，採創新作法開拓商機。

貓纜啟用邁入第11年，過去每年虧損約1億元，多數搭乘者為外縣 市、外國遊客，北市民使用比例僅2成，營運虧損卻由市民納稅錢埋 單。為此，台北市長柯文哲上任後，將貓纜定位為「休閒交通工具」 ，採市民和外地遊客差別費率，2016年2月起將3站全票從50元調高到 120元，市民則維持單程50元。

去年虧損恐會增加

北捷統計，2015年貓纜漲價前，全年運量為271.3萬人次，2016年 總運量220.1萬人次，共下滑19％、約51萬人次，去年運量再降，只 剩下210萬人次。

不過，由於外地遊客票價漲2.4倍，2016年營收增加8500萬元，扣 除營運成本後，讓貓纜每年虧損減少5500萬元，去年財務統計尚未出 爐，但搭乘人數較漲價第一年減少10萬人，虧損恐會增加。

北捷貓纜主任趙宗威表示，去年運量再降10萬人次，主要是因魯冰 花季開得不好，加上年底一直下雨，天候因素影響大。近2年運量下 滑不完全是票價因素，陸客限縮也有影響，且漲價後票收增加68％， 對貓纜永續經營有助益。

創新行銷三貓觀光

趙宗威說，現在多數旅客都是為搭纜車而搭，體驗後短期內不會回 流，長遠還是要提升「三貓」地區吸引力，北捷會持續行銷活動、與 周邊店家合作、推動深度旅遊。

何志偉認為，貓纜漲價後運量下滑，服務水準相對要提升，且也須 思考創新方式行銷，否則若每年都減少10萬人，長遠營運還是會出狀 況。另外，三貓計畫喊半天，仍看不到成效，市府不能只會數銅板， 應加強貓空整體經濟發展。

 "
356,Apple,蔡賴共同體 還能共多久,2018,1,3,"【李正修】

偏綠營的台灣民意基金會在去年底公布最新民調結果，蔡英文總統 的年度聲望平均值只有35.33%，比歷屆總統第1年的平均值51.65%還 低，顯示蔡總統已不再是多數國人肯定的領袖，主持人游盈隆說：「 這無疑是難以吞嚥的數字」。

對好勝心強的蔡總統來說，這樣的民調確實是難堪的年度成績，尤 其面對企圖心旺盛、來勢洶洶的行政院長賴清德及台北市長柯文哲， 她固然有在位者的執政優勢，但政策也成了尋求連任的包袱。

由於今年年底的地方選舉被各界視為蔡政府的期中考，已成「命運 共同體」的蔡英文及賴清德都有輸不得的壓力。有瑜亮情結的兩位領 導人是拋開心結，還是繼續勾心鬥角，將影響民進黨的後續選情。

根據報導，內閣可能在春節後進行局部改組，被點名換人的有外交 部長李大維、財政部長許虞哲、教育部長潘文忠、內政部長葉俊榮及 勞動部長林美珠等。前兩者被獨派視為「老藍男」，早該被踢出蔡政 府，而潘文忠和葉俊榮則是因業務爭議而可能遭撤換。至於蔡總統表 姊林美珠則可能藉養病為由，順勢離開「一例一休」的爭議。

總統府及行政院立即矢口否認，強調目前沒有任何異動。然而，無 風不起浪，有如此傳聞不外乎兩個原因。其一，在《促進轉型正義條 例》過關、黨產會與婦聯會達成協議後，葉俊榮原先承擔的角色已經 削弱，是可以換將的時機。潘文忠及林美珠也可在完成階段性任務後 功成身退。

第二個原因就是賴清德已上任3個多月，內閣裡卻沒有他自己的人 。有強烈政治企圖心的他不可能繼續接受蔡英文指派的內閣人選，至 少要在一些閣員位子照顧自己的親信。賴既然想有一番作為，當務之 急當然就是清除內閣障礙，換上自己人馬，希望能在台灣政壇帶起一 股「台南旋風」，好為自己更上層樓做準備。

相較於被國人當作政策箭靶的蔡英文總統，賴清德目前正站在「進 可攻、退可守」的有利局面，民意基礎已成為他向蔡叫牌的本錢，至 少能逼使總統放手，讓他有機會進行內閣人事更動，全力施展抱負。

賴清德眼前仍有「一例一休」的後續爭議，還有產業缺電、缺工問 題有待解決，更不用說其他隨時可能出包的行政疏失責任等。身為行 政首長，賴清德必須謹慎處理蔡政府目前面臨的所有難題，稍一不慎 有可能賠上自己前途，況且民進黨其他派系也不願新潮流系成為黨內 獨霸，這是賴無法迴避的。

以目前的態勢而言，賴清德應會選擇與蔡總統合作，發揮兩人共同 體的最大效益，既可有效穩固蔡的執政，又能讓自己成為未來的唯一 接班人，何樂而不為。這也是國民黨想重返執政，必須面對的重要關 卡。

不過，理想終究是理想，派系利益向來是民進黨的首要考量，蔡與 賴的衝突是否會成為執政失敗的主因，年底就可見真章。（作者為國 家政策研究基金會副研究員）。

 "
426,Apple,伊藤忠表態 爭101五席董事 向公股釋善意，不搶董總，僅盼指派一位代表了解業務,2018,1,3,"【朱漢崙／台北報導】

伊藤忠最快今年首季接手頂新集團的台北101持股，知情人士透露 ，伊藤忠並已向公股陣營表明三大立場，一是擬在台北101取得5席董 事席次；二是董事長、總經理將續由財政部指派；三是伊藤忠也希望 能指派一位「代表」來了解台北101的業務。

知情人士透露，為慎重起見，伊藤忠已經趕在去年12月中旬獲經濟 部同意完成設立新公司「台灣伊藤忠投資公司」，作為其持股台北1 01的控股公司。

據指出，這家台灣伊藤忠投資公司，是由日本伊藤忠總部的「日商 伊藤忠商事株式會社」直接100％投資，包括董事長等在內的三位董 事、一位監察人，全由日籍人士出任，董事長為井上健司，其他董事 及監察人則分別為山下浩昭、三上英知及吉田利弘，其中，山下浩昭 是台灣伊藤忠公司的董事長。

伊藤忠對本次投資台北101非常謹慎，除了透過由民進黨大老邱義 仁出任會長的台日交流文化協會，居中牽線爭取拜會相關單位及有力 人士的機會，並且已拜會過台北市長柯文哲（台北市政府為台北101 的地主），與民進黨立法院總召柯建銘。至於財政部，知情人士指出 ，伊藤忠去年11月間就擬拜訪財政部高層，但之後財政部認為時機尚 未成熟，加上台北101的公股董事長是由兆豐金所指派，並且以兆豐 金為台北101的公股陣營之首，因此指派兆豐金作為窗口，由兆豐金 經營高層出面代表財政部，了解伊藤忠投資台北101的意向。據指出 ，伊藤忠方面去年11月已有大隊人馬，包括台灣伊藤忠董事長山下浩 昭等日方高層全體出面，為入股台北101一事拜會兆豐金高層。

公股人士指出，伊藤忠已直接表明，投資台北101「不會用境外公 司方式持股」，而是直接以在台灣新成立投資控股公司的方式持股台 北101。據悉，這家公司就在伊藤忠正式向經濟部投審會遞件申請， 半個月之前已取得經濟部同意完成設置，就是「台灣伊藤忠投資公司 」，一直等到完成設立該公司後，才向投審會申請投資台北101。

 "
