"","time","post","share","like","love","haha","sad","wow","angry"
"1","2018-06-16T02:00:45+0000","捏麵人初體驗！
捏個小叮噹<f0><U+009F><U+0098><U+0081>
台北市長小丁當(疑？

#丁守中
#黨員慶生會
#生日快樂
#小叮噹  #哆啦A夢",54,1258,25,16,0,1,1
"2","2018-06-15T07:03:13+0000","今天適逢警察節，先向各位人民保姆說聲「辛苦了！」。對於大家冒著生命危險，站在打擊犯罪的最前線，保護人民生命財產安全，我更要向大家表達最高敬意與衷心感謝！

前幾天剛好有機會，與幾位退警朋友，以及警察的眷屬對談，瞭解基層員警血汗過勞的處境相當嚴重，40歲左右就有身體上的病痛，也沒辦法兼顧家庭，身心都疲憊。而蔡政府上任後，執政無能，經濟疲弱不振，使陳情、抗議案件數飆高，倒楣的還是基層警力。

根據資料，蔡英文去年的陳抗案件數為2747件，更動員了高達16萬人次的警力維持秩序，讓台北市的拒馬不但愈來愈多、管制區也愈劃愈大。警察人員停休也越來越多。

警察不但是人民保姆，更是我們的家人。而陳抗案件最多、最疲累的臺北市，基層已有龐大缺額沒補齊，面對政府背離民意的政策，卻要警察站在第一線與民眾對立，保護坐在冷氣房的無能無為官員，絕對不合理。

我相信，只要政府施政有感，經濟獲得提升，陳抗事件就會相對減少，除了體諒警察的辛勞外，執政者也要負起責任，將國家建設得更繁榮宜居，讓人民都能過上好日子。",73,2191,20,2,0,0,2
"3","2018-06-14T10:19:21+0000","同仁說要去運動酒吧看世界盃，順便舉行辦公室的聚餐，雖然平常對足球沒有研究，但想跟年輕人一起跟風、熱鬧一下。決定這週六晚上挑間餐廳，坐下來和他們一起看阿根廷vs.冰島的比賽。

聽說買運彩會讓比賽更好看，同仁推薦買阿根廷，我也小賭怡情，過個乾癮，反正輸了可以做公益，小贏兩百塊就當做競選經費哈哈。

2018世足賽，可能是阿根廷的梅西的最後一場世界盃，同時今年底的選舉，也是我的最後一戰，希望梅西可以衝出好成績，我們一起加油！

#丁守中  #世界盃
#世足賽  #阿根廷 #冰島
#梅西  #跟年輕人一起湊熱鬧
#六月十六晚上九點
#要不要跟我一起看球

楊植斗 Steven Tien 詹為元",60,2976,27,24,1,1,0
"4","2018-06-14T02:22:54+0000","臺北市是六都人口高齡化最嚴重的城市，未來我們的長輩們也都會面臨少子化、請不起看護的處境，我向衛生署前署長楊志良請益，他長期推動「時間銀行」，我們可以趁身體還硬朗時多幫助別人，未來就會有人來照顧我們，這麼好的構想，未來的市長一定要多宣導，協助民間推用，並提供必要的資源來鼓勵。

我也向楊署長承諾，未來會身體力行，去上滿120小時的課程，並接受30小時的實作訓練，人都會變老，善待這個國家的長輩，就是善待我們自己。

#丁守中  #楊志良
#時間銀行 
#善待這個國家的長輩
#就是善待我們自己",113,1331,15,2,0,0,1
"5","2018-06-13T00:23:00+0000","護航吳音寧
也是總統亂政

蔡英文總統自己二年任期表現都很「落漆」了，成績單滿江紅！妳一個「文青總統」治國成績都被質疑，卻去背書一個台北市長轄下，離總統府三個層級單位的「神隱少女」總經理，總統背書有多少公信力？（聯合報5月調查，總統就職滿二週年滿意度29%，不滿意度56%）。

吳音寧是否是一個人才，我們不武斷論定。她的公職生涯，只擔任過鄉公所秘書，專業經理能力根本不足，至少說明她是空降部隊，是民進黨跟柯文哲合謀的政治酬庸產物，並不是造福農民實至名歸的人選，這些也是客觀事實。

民進黨的問題在於讓完全不適任的人坐領高薪，吳音寧若願意蹲二年北農公司課長，歷練基層。再當二年北農公司經理，了解果菜批發管理實務，了解農民辛苦，然後，再二年歷練副總經理，了解政策，練習看財務報表。或許民眾的反彈也不會那麼大。

總統放著國家大事不顧，外交斷交、燃煤空汙、缺電危機都缺乏「一個專業團隊」來確保政策執行。卻下令「組織一個團隊」來護航一個童子軍沒經驗的三級單位總經理（行政院～農委會-北農公司），這也算是總統亂政。

圖片來源：中時電子報",224,1556,2,73,11,11,152
"6","2018-06-12T01:19:28+0000","#丁守中 #拚台北驕傲 #內湖垃圾山 #城市之恥
內湖科技園區旁有垃圾山   城市之恥!

我前幾天與李明賢及多位國民黨新生代市議員參選人一同到水岸會勘，特別提到為了環保，為了都市發展，占地15公頃的內湖垃圾山應予以剷平，沒想到，遭到北市環保局反對，甚至認為再清垃圾山反而引起污染，所以作為都市水岸之瘤的垃圾山只要靜靜地保留就好。我只能說，市府心態可議，在寸土寸金的內湖高科技園區邊的基隆河畔保留垃圾山，根本是城市的恥辱。

尤其環保局違背專業，消極不作為，坐視內湖垃圾山每逢下雨就吸飽雨水，繼續嚴重滲漏污染基隆河，遲滯葫蘆洲及東湖地區發展，衹為討好臺北市長柯文哲。這樣的環保局主管已經失職失能。

內湖垃圾山占地15公頃，又侵佔基隆河行水區50公尺，卻從未完整清除，造成長年滲漏嚴重，污染基隆河水源，所謂內湖復育園區，大家只要一到現場，就能明顯地感受到臭味四處飄溢，散落的垃圾撲滿地，地上坑坑疤疤，自然無法吸引更多民眾使用，形成土地資源嚴重浪費。

市府刻意不處理內湖垃圾山，已嚴重失職。想想看，內湖垃圾山緊臨內科，如果能夠順利剷平，絕對有助改善基隆河下游水質，用途上最起碼可開闢為水岸綠地公園，並成為內科園區休憩廊帶，更能大幅促進葫蘆洲及東湖地區發展。

內湖垃圾山處理也非如環保局所言耗費，因垃圾山堆積時未做垃圾分類，包含大量瓶瓶罐罐、腐植土，餘下才是垃圾。未來可以將瓶瓶罐罐及腐植土處理後賣掉，垃圾再就近由內湖焚化爐焚燒即可。",42,1246,14,13,0,3,2
"7","2018-06-10T07:05:13+0000","#丁守中 #拚台北驕傲 #清除內湖垃圾山
今天一早風和日麗，我與李明賢、李柏毅、張斯綱、葉元之等多位新生代雙北市議員參選人一同到基隆河右岸騎乘協力車，一方面我們期待「齊心協力，雙北大勝利」。更重要的是，我宣示未來要移除占地15公頃的內湖垃圾山!!!

大家知道嗎?內湖垃圾山其實從未完整移除，預估還有90萬平方米垃圾量，因此河段狹窄，深入基隆河行水區達50公尺，不僅影響市民使用，民眾也不斷反映長期雨水沖刷滲漏更汙染水質。我們今天早上實地現場觀察，南湖大橋水面就是比復育公園四周乾淨很多。

內湖垃圾山清除乾淨，絕對能改善基隆河水質，並可規畫大型綠帶公園，同時仿效波士頓、邁阿密等城市經驗，沿基隆河岸設置多處藝文觀光沙龍專區，作為年輕族群與藝文團體活動場域，也是內科園區休憩廊帶。

世界各大都會河岸、山邊都曾設置掩埋場，當今潮流是將垃圾處理回收後清出大片土地，提供社區設置鄰里公園、綠地或提供周邊都市發展運用。

尤其內湖垃圾山成形時未做垃圾分類，因此未來可以將瓶瓶罐罐及腐植土處理後賣掉，垃圾就近到內湖焚化爐焚燒，這樣就可以替內湖多出10幾公頃土地可供利用，或另開闢道路疏解在地交通，加上基隆河沿岸興闢藝文沙龍區，內湖、內科與我們的城市，絕對能更美更有活力!

#李明賢 #李柏毅 #張斯綱 #葉元之 #河濱廊帶 #藝文沙龍 #內科園區 #基隆河 #水質改善",33,1541,23,2,0,2,0
"8","2018-06-10T01:42:57+0000","齊（騎）心協力，雙北大勝利。",62,2133,53,3,0,3,0
"9","2018-06-09T08:10:05+0000","#丁守中 #拚台北驕傲
今早連趕兩場大型活動為黨員慶生，先跟馬英九前總統同台，又和蔣萬安立委聯合造勢，不但所有市議員參選人幾乎全員到齊，展現無比戰力，更難得的是，所有到場朋友們的熱情，求新求變的期待，讓我們對年底選舉充滿希望!

#馬英九 #蔣萬安 #市黨部 #黨員慶生 #文山區 #中山區",227,6080,75,9,0,1,3
"10","2018-06-08T13:46:03+0000","#丁守中 #拚台北驕傲 #團結 #勝選
今天非常高興能與馬前總統、吳主席，以及數百位姊妹們一同誓師，尤其大家一起高聲合唱「愛拚才會贏」，真讓人感動!

民進黨執政兩年，大家太悶了!
民眾對民進黨只顧鬥爭，搞政治清算，不顧民生發展，不顧經濟的做法，早就不耐煩了。尤其情勢惡化下去，族群只會越來越撕裂，社會越來越對立，經濟越來越蕭條，兩岸越來越緊張，是大家都不願見到的事。民心思變，中華民國要止跌回升、台灣振衰起敝，撥亂反正，就從贏回首都開始!

#指南宮 #馬英九 #吳敦義  #市長勝選 #議員過半 #里長全壘打 #女性後援會
(照片引自風傳媒)",59,1605,22,6,0,1,0
