"","V1","V2","V3","Yao_MarAprlink$."
"t_time","2018-05-02 14:44","丁守中初選勝出 藍雙北市長參選人底定"," 國民黨台北市長初選民調上午出爐，確定由丁守中迎戰現任市長柯文哲。 記者胡經周／攝影分享  facebook    國民黨台北市長初選結果今天出爐，五度角逐國民黨台北市長提名的前立委丁守中以初選民調47.63%領先其他三位參選人。國民黨表示，台北市長參選人最快下周中常會後提名，由丁守中代表國民黨迎戰現任台北市長柯文哲。 國民黨台北市黨部主委黃呂錦茹表示，丁守中初選民調，結果雖不如預期高，但與柯文哲對比民調，3家民調公司的民調結果，丁守中都領先柯約一至兩個百分點，一直都在正負3%伯仲間，有信心丁能打贏年底台北市長選戰。 國民黨台北市長初選，是以與柯文哲對比民調占85%、參選人間互比民調占15%方式進行，最後加權結果，丁守中47.63%，孫大千18.21%，張顯耀17.24%、鍾小平16.93%，丁守中領先其他三位。 丁守中表示，已邀請孫大千、鍾小平與張顯耀加入輔選陣營，一起為年底台北市長的勝選打拚，在初選辯論過程，得到其他參選人很多的政策建議，都會納入後續市政藍圖。之後也會一一拜訪與柯文哲私交不錯的親民黨主席宋楚瑜，以及藍營基層要角，尋求泛藍最大的團結整合，拜託大家一起幫忙打贏選戰。 他說，初選過後，艱困的選戰現在才要開始，將鞏固深藍選民，爭取泛藍大團結，用好的公共政策爭取中間選民支持，用扎實做事與優質的市政擘畫，與柯文哲對比，爭取泛綠支持。 丁守中表示，柯文哲施政表現在媒體評價中是放牛班，沒有想像中這麼強，這次初選結果也證明，不是所有市民都喜歡講幹話，打高空的市長。這是一場艱困的選戰，但丁守中在基層反應非常強，後續會讓大家看到爆發力，知道丁守中的利害。 對於外界建議管中閔參選台北市長，丁守中說，管中閔應該不會參選，沒有這個可能。黃呂錦茹說，管已說他不想參選，過去也有人拱張善政、蔣萬安，但個人沒有意願，不能勉強。 國民黨台北市長候選人初選民調結果上午出爐，結果由前立委丁守中（右）勝出，兩位參加初選的鍾小平（中）、孫大千（左）也出席恭賀丁守中。 記者胡經周／攝影分享  facebook    domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3119083"
"t_time1","2018-05-02 12:17","影／五次挑戰終於成功 藍北市長初選 丁守中勝出","   國民黨年底台北市長初選民調今天上午出爐，確定由五度角逐國民黨提名參選的前立委丁守中勝出，迎戰現任市長柯文哲。根據國民黨北市黨部民調結果，丁守中47.63%、孫大千18.21%、張顯耀17.24%、鍾小平16.93%。丁守中相對於三位競爭對手，民調大幅領先約30個百分點，輕鬆獲勝。 丁守中勝出後表示，這是一場艱困的選戰，柯文哲掌握所有的行政資源和優勢，「這是一場不對稱的選戰」，會邀市民與另外三人加入團隊，以公共政策鞏固藍軍，並說「柯沒這麼強，只有媒體與網路強，基層不喜歡這種講幹話、打高空的人」，將與議員、里長共同組成團隊，贏回大選。國民黨年底台北市長初選民調今天上午出爐，確定由五度角逐國民黨提名參選的前立委丁守中勝出。記者陳聖文／攝影分享  facebook   ","https://udn.com/news/story/10958/3118932"
"t_time2","2018-05-02 11:45","丁守中民調勝出 藍議員：母雞不重要"," 丁守中黨內民調勝出，將代表國民黨參選台北市長。記者楊正海/攝影分享  facebook     國民黨台北市長黨內初選結果揭曉，確定由前立委丁守中出線，代表國民黨打首都選戰。上午台北市黨部公布民調，到場的藍營台北市議員不多，另有部分新人到場，對於丁是否能有母雞帶小雞的效應，議員指出，選舉受大環境影響，台北市長參選人是否是明星，並不一定重要。 台北市議員徐弘庭認為，母<U+9DC4>光環或許對新人不可或缺，過去陳水扁、馬英九、郝龍斌選市長，有個人明星光環，受中央執政成績影響不大，不過今年可能不同，就算母雞不強，選舉受大環境影響，台北市長參選人是否是明星，能否扛母雞的責任，並非一定重要。 也有黨務人士說，市長參選人不是明星，也有不是明星的戰法，例如台北市議員都深耕地方，和其他都會區民代相比，知名度也比較高，若能「眾星拱月」，也是雙贏局面。 國民黨台北市士林北投區市議員擬參選人張斯綱說，時代不同了，政治明星、母<U+9DC4>帶小<U+9DC4>，動<U+8F19>大規模造勢掃街，或許已不適合現在的選戰，他認為參選人的特質，才是最重要的。   domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3118838"
"t_time3","2018-05-02 11:34","黨內初選奪第二 孫大千：要讓國民黨成為數位政黨"," 國民黨台北市長黨內初選結果揭曉，選時選戰以網路平台為主的孫大千，拿下列第二名。記者楊正海/攝影分享  facebook     國民黨台北市長黨內初選結果揭曉，確定由前立委丁守中出線，代表國民黨打首都爭奪戰。根據民調，支持率為 丁守中 47.63%，初選時選戰以網路平台為主的孫大千，拿下18.20%，名列第二，孫大千認為，他打了一場理想的選戰，這只是他改造國民黨的開始，接下來會善用在這場選舉中累積的經驗和能力，協助各縣市黨部推動數位化的工作，讓國民黨成為一個數位政黨。 孫大千說，他也會我也會開始全面結合志同道合的夥伴，成立在數位平台上面的「次品牌」，希望能夠透過次品牌的努力，全面拉抬國民黨這個「主品牌」。 孫大千在這次黨內初選中，政見理念都在數位平台上操作，強調要打一場不一樣的選戰，還有笑他民調可能會掉到最後一名，但他不以為意，認為改革總得有人嘗試。民調結果今天出爐，孫大千排名第二，頗出乎意料。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3118792"
"t_time4","2018-05-02 11:30","丁守中初選勝 邀鍾、孫、張加入輔選團隊","   國民黨台北市長候選人初選民調結果出爐，結果由前立委丁守中勝出，兩位參加初選的鍾小平、孫大千也出席恭賀丁守中，只有張顯耀沒有現身。 丁守中當場邀請其他三位參選人加入輔選團隊，也獲得鍾、孫二人首肯，他表示，除了泛藍選民，也要爭取淺綠台北市民認同。國民黨台北市長候選人初選民調結果上午出爐，結果由前立委丁守中（右）勝出，兩位參加初選的鍾小平（中）、孫大千（左）也出席恭賀丁守中，只有張顯耀沒有現身。記者胡經周／攝影分享  facebook   國民黨台北市長候選人初選民調結果上午出爐，結果由前立委丁守中勝出。記者胡經周／攝影分享  facebook   ","https://udn.com/news/story/10958/3118773"
"t_time5","2018-05-02 11:25","柯文哲等著被禮讓？ 姚文智：是等著被分手吧"," 民進黨立委姚文智上午出席台北松山慈惠堂的台北母娘文化祭。記者魏莨伊／攝影分享  facebook     國民黨台北市長人選今出爐，確定由前立委丁守中代表國民黨迎戰台北市長柯文哲，民進黨選對會今天也將啟動台北市長布局，討論要與現任市長柯文哲合作或自提人選的可能。 對此，有意爭取黨內提名的立委姚文智表示，大家都把焦點放在要不要和柯文哲合作，但其實只是一個選項，選對會應該是針對民進黨本身這場選舉到底要扮演什麼角色，自己也會充分表達想法，希望選對會做出決定，堅定提出自己的候選人。 不過若是選對會最後決定禮讓柯文哲，該如何因應？姚文智說，今天應該是討論程序，希望有機會到選對會和大家討論說明，首都市長選舉不僅包括民進黨對選民的責任，也有價值的考量、選戰的策略等，希望討論是很全面的。 姚文智強調，直球對決很重要，如果考慮很多，放棄理念價值，將得不償失，有時候考慮非常多，最後就會發現一本初衷，回到初心就能絕地，也能應付任何挑戰。 實際上，為了修補和深綠獨派的關係，柯文哲本周六出席凱達格蘭基金會募款餐會致詞時，不排除發表重要談話，被外界解讀是要修補和獨派的關係。 對此，姚文智表示，柯文哲要怎麼做，我們尊重，不過一個人是要看他的言行、政策，3年來柯文哲的政策背離台灣價值，這不是最後回答一張考卷、參加活動就可以解決的。 對於民進黨即將討論台北市長提名政策時，柯文哲卻回「靜待通知」，似乎是在等著被禮讓。姚文智則笑說，那是你們的解讀，也可能是等著被分手、等著say goodbye啊。 姚文智表示，自己的意志很清楚，也會向選對會表達強烈意願，422大遊行後，很多民進黨支持者態度堅定，也希望選對會清楚考慮。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3118765"
"t_time6","2018-05-02 11:20","姚文智：民進黨北市不自提人選 15％支持者不投票"," 民進黨立委姚文智上午出席台北松山慈惠堂的台北母娘文化祭。記者魏莨伊／攝影分享  facebook     國民黨今公布台北市長參選人由前立委丁守中勝出，民進黨今日也啟動選對會，討論提名人選，或者禮讓現任市長柯文哲，結果最快下周出爐。民進黨立委姚文智今上午表示，黨內會請他去說明，但目前還沒有收到通知，對於會經過怎樣的程序他一無所知，但經過422大遊行後，許多民進黨支持者態度堅定，希望選對會也能夠很清楚的考量。 姚文智上午出席台北松山慈惠堂的台北母娘文化祭後接受媒體聯訪，被問及提名一事，表示今天是啟動程序黨內將討論各種可能性，下禮拜會請他去說明，說明後會經過什麼樣的協調、要不要民調、採用何種程序，這他一無所知，但他們的意志非常清楚，表達強烈的意願 媒體詢問，有北市議員很希望自提人選，還說如果最後是禮讓，他們只能承擔。姚文智說，大家想了太多技術的層面，其實很多議員也是堅定信仰認為，參與民主進步黨，實踐台灣價值，能夠在這個城市、這個國家實踐理想。民進黨提出候選人是天經地義的，不管從價值考量或選戰，選戰考量。 姚文智說，民進黨如果可以提人，投票率才會提高，議員當選機率才會高，民進黨如果不提人，相信有15%的人不會出來投票，第一個影響的就是議員，他們很清楚。 姚說，422有九成議員站出來，這是一個行動，不要講站出來是一回事、心裡想的是一回事，大家都把政治人物想得太複雜，不會，我了解的很多議員，他們接地氣，長期投入民主運動，他們也非常清楚，民進黨應該堅持理念，提出候選人，這也對他們選情有幫助。 此外，新北市長朱立倫今日也出席台北母娘文化祭並擔任主祭官，他會後受訪被問及台北選情，僅說國民黨目前正在辦初選，雙北合作過去幾年也很順利，未來持續雙北繼續合作。新北市長朱立倫今日也出席台北母娘文化祭。記者魏莨伊／攝影分享  facebook   ","https://udn.com/news/story/10958/3118742"
"t_time7","2018-05-02 11:18","【即時短評】丁守中獲提名 挑戰才要開始"," 丁守中獲提名 挑戰才要開始。記者楊正海/攝影分享  facebook     國民黨台北市長黨內初選結果揭曉，確定由1994年來四度角逐黨內提名、三敗一退的前立委丁守中出線，代表國民黨打這場首都爭奪戰。儘管丁守中達成自已規劃20多年參選台北市長的人生目標，但不管對丁或是國民黨來說，挑戰才剛剛開始。 4年前台北市長柯文哲對戰連勝文，以平民對權貴之戰，大贏20多萬票，柯陣營今年若以這種打法對來對付丁守中，很難易引起共鳴，不過，當今年輕人依然抑鬱，國民黨還未獲得青年族群青睞，對手柯文哲卻已長期經營青年世代選票，丁守中要如何突破，是選戰的重中之重。 丁守中沒有明星光環，或許母<U+9DC4>帶小<U+9DC4>的戰略已成過去式，但台北市長選情特殊，首都是媒體焦點所在，選情連動，甚至有外溢效應，母雞有沒有功效，還很難說，丁守中曾說每名參選人都應該是「戰鬥雞」，但過去藍在台北市，沒有母雞光環，選戰都打得辛苦。 例如黃大洲參選，黨部動員小<U+9DC4>帶母<U+9DC4>，眾星拱月;連勝文選情陷低迷時，變成嫩<U+9DC4>帶小<U+9DC4>，無法發揮功能。 另外，國民黨在歷經執政失利，不少深藍選民對投票意興闌珊，丁守中該如何催出深藍選民投票外，丁還得面對黨內自行宣布參選的最狂教授錕P李錫錕和無黨籍的台北市前副市長邱文祥瓜分票源。 新黨的態度，也影響整個戰略。過去的友黨親民黨，雖然「橘子變綠」，但能否變回小藍莓，丁守中都要盡力一試，否則只要泛藍不能整合，市長之路就不會樂觀。 面對對手柯文哲，丁守中這場選戰並不好打，但上屆台北市長選舉，國民黨之所以敗選，除了藍營不滿施政不投票外，民進黨傾全黨動員投票，也是原因之一。但今年這樣的選戰結構反轉，柯文哲年底選舉要守住85萬票，並不容易。 另根據近期綠軍和藍營的民調，丁守中和柯文哲的差距有拉近之勢，丁守中年底選戰，沒有一定會輸的道理，泛藍如何整合、黨的大戰略，影響甚鉅。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3118741"
"t_time8","2018-05-02 11:17","丁守中獲提名 邱文祥：會不會晚了點？"," 曾經擔任台北市政府副市長的邱文祥，參選明年台北市長選舉。 圖／聯合報系資料照片分享  facebook     國民黨台北市長黨內初選結果揭曉，確定由1994年來四度角逐黨內提名、三敗一退的前立委丁守中出線，代表國民黨打這場首都爭奪戰。以無黨籍身分參選台北市的台北市前副市長邱文祥說，選民是否認識丁守中？他說，丁是前立委 ，不是現任立委，現在來選，選民會不會認為已經晚了點。 邱文祥說，丁守中追求台北市長已經好多次，他和丁是好朋友，對他的決心予以肯定，但畢竟市政是多元且變化很多，和20年前不一樣，且丁沒有市政經驗，這是丁要儘快補足的地方。且聽丁的政見，對對市政闡述不多，只有<U+99E1>柯文哲比較多。 邱文祥說，這是他為何要去參選台北市長的原因，因為他有市政的經驗，但丁守中沒有， 沒有在市政府工作過一天。邱說，他當過衛生局長、北市副市長，丁沒有市政經驗，並非刻意批評，而是就事論事。台北市民需要的市長是儘快能夠了解市政、整個團隊儘快解決問題的市長。對於丁獲提名，邱也說「我祝福他」。 邱文祥認為，台北市長不能有政黨包袱，他做過議會總聯絡人，柯文哲沒有政黨包袱，照理應該比較好做，誰知道變成「變色龍」，想兩邊討好，做事情就很困難。台北市市政應該是溝通協調往前走，不是溝通後仍停滯不前。","https://udn.com/news/story/10958/3118739"
"t_time9","2018-05-02 11:13","北市長初選民調輸落敗 孫大千：此生最滿意的一場選舉"," 國民黨台北市長黨內初選結果揭曉，選時選戰以網路平台為主的孫大千，拿下列第二名。記者楊正海/攝影分享  facebook     國民黨年底台北市長初選民調今上午出爐，確定由五度角逐國民黨提名參選的前立委丁守中勝出。對此，爭取參選的前立委孫大千表示，從一開始，這就是一場不太容易獲勝的挑戰，但這是一個必須嘗試的過程，一場完完全全在手機上的選戰，為了改變自己，為了改變國民黨，為了改變台灣政治。 孫大千表示，在他過去5次立委選舉中，因為有著不可以輸的使命，所以必須去做很多心理不認同的事情。掛看板買廣告，掃街站路口，開支票騙選票，造勢動員等，他當然知道怎麼做有機會贏，但是這些事對改革政治一點幫助也沒有。 孫大千說，這是他有生以來第一次，可以打一場沒有輸贏壓力的選舉，可以開心的做自己，可以實現一次自己的想法，「不論結果如何，這都會是我此生中最滿意的一場選舉。謝謝各位好朋友，陪伴我任性了一次。」 孫大千說，這只是他改造國民黨的開始，接下來，他會善用在這場選舉中累積的經驗和能力，協助各縣市黨部推動數位化的工作，讓國民黨成為一個數位政黨。同時，他會開始全面結合志同道合的夥伴，成立在數位平台上面的「次品牌」，希望能夠透過次品牌的努力，全面拉抬國民黨這個「主品牌」。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});","https://udn.com/news/story/10958/3118723"
