"Media","V1","bindtext"
"1","LTN","丁丁反嗆姚文智選到底：要不要賭吞曲棍球！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者郭安家／台北報導〕台北市長柯文哲競選總幹事姚立明說，只要謝系立委姚文智參選台北市長到底，他願意擔任總幹事。姚文智今回應，「我本來就有這個決心」，還說有姚立明的加入，有把握把國民黨的丁守中打成第三名。不料，姚文智此番說法引起丁守中貼臉書，丁還反嗆，「真的要參選到底歐」、「要不要也來賭吞曲棍球！」 丁守中下午於臉書表示，聽說姚文智獲得姚立明力挺後士氣大振，不但再度表態會參選台北市長，並稱有把握「把丁守中打成第三名」；他只能說，請姚文智不要自嗨！既然說要參選到底，就要說到做到！ 丁守中還酸說，民進黨已經被柯文哲綁架，身為執政黨，竟然在首都提不出市長候選人，已經被柯看扁了，連市民都在看笑話；所以他真希望姚文智在內的民進黨朋友，拿出骨氣參選，更要說到做到。他唯一目標是打敗柯，也請姚有點志氣，還沒選就立志爭第二名，難怪柯根本不把民進黨放在眼裡啊！ 台北市長參選人、前立委丁守中。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"2","LTN","姚立明願任競選總幹事 姚文智：能不能明天開始上班
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者蘇芳禾／台北報導〕欲爭取民進黨內提名台北市長的民進黨立委姚文智昨透露，曾任柯文哲競選台北市長總幹事的姚立明，願意擔任他的競選總幹事。姚文智表示，有姚立明的加入，有把握把國民黨的丁守中打成第三名。 表態參選台北市長的民進黨立委姚文智昨於節目中表示，曾經擔任柯文哲競選總幹事的姚立明願意擔任他的競選總幹事，而姚立明也在節目上說，只要姚文智確定要選，他就會加入姚文智的團隊，也代表未來將會對打柯文哲。 姚文智說，姚立明昨在節目上突然宣布願意擔任他的競選總幹事，他也很意外，之前在節目或其他場合，他有遇過姚立明，幾個月前也曾約姚立明聊過，當時姚立明是說整個情勢還不明朗，這陣子兩人都沒碰到，昨天這消息很意外，他認為姚立明是鼓勵他。 對於姚立明說，只要姚文智參選到底，他願意擔任總幹事，姚文智則表示，「我本來就有這個決心」，只是他在這階段要爭取民進黨的提名，還有一段時間要努力，他會跟民進黨基層、高層溝通，這是他現在努力的方向。也會跟姚立明討論佈局，「看能不能明天開始上班。」 姚文智表示，姚立明在誰能實現台灣價值、民進黨對首都責任、選舉是否能勝出都做出評估，國民黨現在是丁守中，有機會把丁守中打成第三名。 他認為，民進黨基層有80％、90％，認為不應該禮讓柯文哲，基層態度很清楚，所以她們希望民進黨自提市長候選人，如果黨內有人民調贏過他，他就退選。民進黨在首都這戰不能棄守，要重視基層聲音，民進黨不能未戰先敗。 姚文智說，今天下午他就會請姚立明開始擔任總幹事的工作，看他能不能明天就來上班，有人說姚立明的加入是如虎添翼、遙遙領先，他認為是扶搖直上。 姚文智最後說，姚立明2012、2016年都幫過小英總統，如果姚立明被稱為國師的話，兩代國師現在都在幫他，第一代國師李鴻禧幫他錄廣告，第二代國師姚立明宣布要當他的總幹事，他何其有幸，和大家共同努力。 姚文智今天上午受訪表示，有姚立明的加入，有把握把國民黨的丁守中打成第三名。
（記者蘇芳禾攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"3","LTN","「藍扶不上牆、綠內部分裂」 中國網友近8成挺柯P
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕9合1選舉今年底將到來，其中台北市長寶座一向是兵家必爭之地，除已宣布要競選連任的現任市長柯文哲外，藍綠兩黨分別有立委姚文智、前立委丁守中及鄭麗文宣布要參選。而沒有投票權的中國網友也想湊熱鬧，在《天涯論壇》舉辦「你認為下一任的台北市長會是誰」的票選活動，截至今下午3時，柯文哲以近8成的得票數遙遙領先其他人，有中國網友對此分析，原因就是「藍扶不上牆、綠內部分裂」。 中國網友昨（29日）在《天涯論壇》舉辦「你認為下一任的台北市長會是誰」的票選活動，截至下午3時，柯文哲以77％（350票）的得票率遙遙領先，排在第二的是鄭麗文8％（36票）、第三名為丁守中的6％（30票）、第四則是其他的4％（21票）、而姚文智獲2％（11票）則在選項中敬陪末座。 柯文哲得票數遙遙領先也讓中國網友好奇其中原因，就有人分析表示，「柯文哲勝在：KMT實在扶不上牆，DPP內部的畏首畏尾，以及內部分裂；柯文哲的反『藍綠統獨的意識形態』口號，（或叫淡化意識形態），確實贏得部分中間選民的認可」。 也有人認為「實在沒得選了，乾脆隨便選個政治素人，所以柯P100％當選毫無任何懸念」、「柯文哲是現任，知名度就不用說了，還有行政資源可用」、「KMT明顯的是爛泥扶不上牆 不看好KMT」、「國民黨分裂渙散，沒有理想沒有思想」。 另外也有台灣網友把票選活動轉貼到PTT上，許多人看到沒有投票權的中國網友如此關心台灣的選舉，紛紛留言酸「到底要多可悲才會玩這種遊戲？他們國家不能投票？」、「要是問他們中國人領導人問題，應該馬上中離」、「去關心你們的黨內選舉再來講 阿（啊）抱歉 你們根本沒的（得）選」、「這群太監在管人家正常的性生活，笑死了一群井蛙」、「別人吃麵中國人在喊熱」。 中國《天涯論壇》舉辦「你認為下一任的台北市長會是誰」的票選活動，台北市長柯文哲至今下午3點得票率第一。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"4","LTN","東森主播犀利訪問！姚文智：不再禮讓柯P"," 姚文智（左）接受主播徐湘華快問快答。（東森提供）〔記者蕭方綺／台北報導〕表態要爭取民進黨提名參選台北市長的立委姚文智，今天上東森新聞《看誰說實話》，接受主播徐湘華快問快答挑戰，說出對柯文哲的不滿。姚文智強調3年前是他提議兩階段民調，所以當他第2階段民調不如柯文哲，他選擇禮讓，並當柯文哲的後援會總會長全力輔選。時隔三年，現在的他實在不能接受柯文哲的言行和市政成績，決定這次選到底。  他指出：「如果黨中央再度選擇和柯文哲合作，那麼我寧可脫黨參選，因為民進黨多數支持者和我一樣，已經受不了柯文哲。」  接著問及蔣萬安退出台北市長選戰，是否讓他鬆口氣，他認真回道：「不會，只是沒這麼有趣。」他認為蔣萬安有蔣家話題，可以帶動許多討論，炒熱台北市長選戰；另外，目前表態參選的有丁守中和前行政院發言人鄭麗文，姚文智也分析兩人戰力，指出和丁守中對戰，「就像打水漂一樣，他努力20幾年，第五次挑戰，但民調其實頗高，別小看他。」並認為鄭麗文太晚宣布參選，期盼她加油。 相關影片：（影片取自YouTube，如遭移除敬請見諒）"
"5","LTN","〈台北都會〉〈黨部主委急溝通安撫〉市長人選推太慢 藍議員反彈
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者鍾泓良、蕭婷方／台北報導〕國民黨北市黨部主委黃呂錦茹日前向外宣布藍營市議員提名策略，包含「N+1」（即每選區至少提一名新人），且至少提名三十三席，目標議員當選過半。但北市基層對此雜音多，認為市長參選人出線時機頻往後延、基層整合難，恐掉更多席，讓黃呂錦茹連日赴議會與議員溝通、安撫情緒。有意參選台北市長的前國民黨立委丁守中及前行政院發言人鄭麗文昨出席活動異口同聲說，參選人應提早定調，較利於整體選戰。 丁守中受訪表示，不解國民黨中央黨部在拖甚麼，直說等到市長柯文哲與民進黨整合以後再提名是錯誤戰略；鄭麗文則表示，目前黨部訂定三月下旬完成初選。 國民黨議員陳永德受訪時表示，市長參選人遲未拍板，憂參選人難帶動議員選情，基層人人自危，日前召開北市黨團大會時，就曾向市黨部建議應召集各選區議員進行提名席次討論，但至今沒下文；議員都是從媒體得知選戰策略，十分不受尊重，「既有選戰策略非黨內共識」。 黃呂錦茹受訪時說明選戰策略原則上不變，赴議會是為蒐集意見。她說，國民黨現任議員有廿五席，要再增加提名八至九席、提名過半還是有這個空間，此次為了宣示國民黨改革決心，原則上還是要「一區至少一新人」。但她也表示，要是無增席空間，就會將原任議員與新人做初選民調，一切還在協調中，將會精算票數做適當的提名。 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"6","LTN","出席活動  丁守中、鄭麗文互動良好
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者鍾泓良／台北報導〕九合一選舉年底將至，前國民黨立委丁守中及前行政院發言人鄭麗文均表態有意要代表國民黨出戰北市。北市議員秦慧珠今天舉辦寒冬送暖活動，丁與鄭兩人同時出席活動，彼此互動良好。 鄭麗文於台上致詞時，突然爆料有意參選新北市長的台北市副市長陳景峻可能不會去新北市選，讓台下一陣錯愕。而隨後她又改口說是自己誤會，指民進黨在新北市要徵召而非初選，並非說陳不選。 陳景峻受訪時也澄清，自己還是要選新北市長。他說，自己同時是台北市副市長、燈節負責人跟新北市參選人，所以根本一個人當三個人用。他解釋，因為新北市是非執政縣市，所以比的不是初選而是徵召，而綠營現在都是天王在高來高去，笑說「我也是天王啊」 但近期有國民黨議員指出，因為國民黨市長參選人很晚才會確定，擔心影響到「母雞帶小雞」的氣勢。這點丁守中也認同，國民黨現在是在野黨，應該要越早產生市長參選人越好。他不解國民黨中央黨部在拖甚麼，直說等到市長柯文哲與民進黨整合以後再提名是錯誤戰略，應及早進行選舉。 丁守中受訪表示，他與鄭麗文都有在好多場合碰過面；鄭麗文受訪也說，她與丁守中兩人都有很清楚的使命感、意願參選市長，願意把重責大任扛起來的心情就是國民黨要勝選的基礎，希望快點辦完初選，一致對外。 而外傳前台北縣長周錫瑋若是在新北市初選未出線將會轉戰北市。丁守中說，自己沒有聽說，但認為雙北選民結構、需求不同，「不是跨來跨去可以的吧！」鄭麗文則說，她有在市議員間耳聞，但認為周應該有評估，「這樣一個重大選舉，還是要讓人覺得說有一定的認真、嚴肅跟責任感。」 前國民黨立委丁守中及前行政院發言人鄭麗文均表態有意要代表國民黨出戰北市。北市議員秦慧珠今天舉辦寒冬送暖活動，丁與鄭兩人同時出席活動，彼此互動良好。（記者鍾泓良攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"7","LTN","初選很多「吠吠」揚揚  丁守中：只擔心黨內到處找無人
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕國民黨立委蔣萬安日前宣布將繼續留在立院，不選台北市長後，最近藍營又再度頻點許多「奇兵」，讓5度宣布參選台北市長的前立委丁守中很不是滋味，日前受訪時也抱怨，「有人躲在後面三不五時唱衰我」。丁守中今稍早則在臉書PO文，表示初選時難免有很多「吠吠」揚揚，但認為自己挺得住初選的壓力。 丁守中表示，黨內初選有很多「吠吠」揚揚的情形也難免，他也借用最近受到獨董與論文事件的台大準校長管中閔說過的一句話「I am fine.」，指出自己「風吹雨打，早習慣了」。 丁守中說，不管黨外，還是黨內來的拳頭，他都挺得住，甚至意有所指的說「我不怕黨內到處找人，我只擔心黨內到處找不到人」。 前總統府副秘書長羅智強（右）15日宣布棄選台北市長，表示機會是留給準備好的人，支持有意參選台北市長的前立委丁守中（左），並出任丁守中的青年及網路總策畫。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"8","LTN","國民黨誰選台北市長？ 傳出這3+1人會宣布參選
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕國民黨因立委蔣萬安宣布不選台北市長後而士氣低迷，不過國民黨副主席郝龍斌日前受訪時指出，除檯面上已宣布要參選的丁守中、鄭麗文外，保守估計至少還有3人會參選，傳出這些人選分別是北市前副市長邱文祥、前內政部長李鴻源及立委李彥秀等人，甚至前台北縣長周錫瑋也有可能因過不了新北市長黨內初選，轉而投入台北市長的選戰。 據《中時電子報》報導，國民黨黨內人士表示，曾在郝龍斌時期擔任副市長、泌尿科權威醫生邱文祥有意參選台北市長，若邱代表藍營對決柯文哲，有望形成「醫生PK醫生」的選戰策略，也看好他能透過「柯P模式」以無黨籍身分和國民黨合作來對決柯。 報導指出，國民黨內部也希望能推出「奇兵」來參選，但在前行政院長江宜樺及前交通部長葉匡時表達沒有參選意願後，「奇兵」人選可能只剩下李鴻源，也看好他有和柯文哲對決的爆發力；另有黨內人士推敲，國民黨若推出熟悉市政、人氣也很高的李彥秀，也是個不錯的選擇，加上身為女性也有加分的效果。 而藍營基層傳出，有意參選新北市長的周錫瑋若無法在初選民調贏過現任副市長侯友宜，也可能轉而去選台北市長，因為以周的年齡與資歷來看，不一定會比柯文哲差，甚至他懂得要怎麼對決柯，看來勝算也不小。 國民黨副主席郝龍斌（右）日前表示，保守估計至少還有3人會參選。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"9","LTN","被點名出馬選北市長 趙少康回應這4個字！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  中廣董事長趙少康。（資料照） 〔即時新聞／綜合報導〕年底選戰在即，媒體報導，國民黨立委蔣萬安聲明不參選台北市長後，有國民黨基層勸進中廣董事長趙少康出馬角逐，不過趙少康晚間在節目上表示：「沒有計畫。」 趙少康在今晚播出的節目「少康戰情室」上，談到有媒體報導他被點名要參選台北市長一事，趙表示，沒有辦法一個一個對媒體回應，於是在這邊（節目上）和大家講，「4個字，沒有計畫」。 另外，針對趙少康被點名參選一事，台北市長柯文哲今天下午表示，自己只能管好自己的事，沒辦法管別人，但看趙少康媒體做得不錯。 對於柯文哲的說法，趙少康也在節目上說，這是他最近、少見覺得柯文哲回答得還不錯的。 在趙少康回應之前，已經表態參選台北市長的前立委丁守中曾對媒體表示，他不清楚趙少康的黨籍狀況，也沒聽過趙要選台北市長的說法，認為越多人出來參選更好，產生出來的候選人會更有競爭力，對此事樂觀其成，若趙有意參選，歡迎他一起參加國民黨初選。 有關被點名選台北市長一事，趙少康在節目上表示：「4個字，沒有計畫」。（圖擷取自TVBS） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"10","LTN","傳藍營拱趙少康選北市長 丁守中：歡迎來初選
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕年底選戰在即，媒體報導，立委蔣萬安不選台北市長後，有國民黨基層勸進中廣董事長趙少康出來參選台北市長，對此，已宣布參選北市長的前立委丁守中表示，歡迎趙少康一起參加國民黨初選。 綜合媒體報導，國民黨基層傳出不少勸進趙少康出馬角逐台北市長的聲音，藍營人士認為，趙少康熟悉北市選情，和前總統馬英九等人關係良好，若參選又有團結友黨效果，更傳出國民黨內部曾評估，趙少康比檯面上的國民黨參選人強，若參選，選情將有戲劇性發展。相關消息傳出後，引起外界討論。 對此，已經表態參選的丁守中表示，他不清楚趙少康的黨籍狀況，也沒聽過趙要選台北市長的說法，但國民黨選舉開大門、走大路，就像比武大會；丁認為，越多人出來參選更好，產生出來的候選人會更有競爭力，對此事樂觀其成，若趙有意參選，歡迎他一起參加國民黨初選。 已表態要爭取國民黨提名參選台北市長的行政院前發言人鄭麗文則表示，她和趙少康很熟，趙參選台北市長的意願幾乎等於0，不可能參選，並反問趙少康「有國民黨籍」嗎？ 台北市議員鍾小平表示，當初馬英九做滿8年台北市長後，也有人點名趙少康出來參選，但當時趙的妻子強力反對，最終就沒選；鍾認為，這次趙就算要出來選，趙的妻子也不會同意。 趙少康1994年曾代表新黨參選台北市長，對上民進黨提名的陳水扁和國民黨提名的黃大洲，不過由於藍營分裂的關係，趙少康僅獲得42萬4905票、得票率30.17%，不敵陳水扁的61萬5090票、得票率43.67%，敗選後趙少康逐漸淡出政壇，投身媒體工作。 外傳藍營基層拱中廣董事長趙少康出馬參選台北市長。（資料照） 前立委丁守中表示，歡迎趙少康一起參加國民黨初選。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
