"Media","month","date","V2","V3"
"1","UDN","01","01","國民黨升旗／吳敦義：2018 國民黨要勇敢挑起來"," 國民黨主席吳敦義上午出席在國民黨中央黨部前廣場舉行的元旦升旗典禮。 記者蘇健忠／攝影分享  facebook    不參加總統府前升旗，國民黨今天上午7時在中央黨部前自己辦起「革新 團結 重返執政」升旗活動，主席吳敦義發表元旦談話宣示，國民黨一定要勇敢挑起來，2018一定要比現有執政的縣市有明顯的進步，2020年更要全力以赴，重返執政。 吳敦義上午率副主席曾永權、郝龍斌出席升旗典禮，日前宣布參選台北市長的國民黨前立委丁守中、行政院前發言人鄭麗文、有意爭取參選新北市長的前縣長周錫瑋，以及立委曾銘宗、費鴻泰、中央委員連勝文等人都到場參加，展現團結氛圍。 吳敦義發表元旦談話表示，希望國民黨能夠展開革新、團結、重返執政的目標，一定同心協力在2018年革新有成、團結有力，就能夠在全國各地方選舉重大的考驗當中贏得更多民眾支持，「在2020我們要全力以赴，重返執政」。 吳敦義表示，政黨輪替是民主法治國家正常的狀況，只不過當國民黨再度失去執政的責任，眼看著一個真能夠締造繁榮均富的經濟、廉能有為的政府、公益和諧的社會，和平穩定發展的兩岸，在這一年多來的確遭到極大的磨損。 吳敦義感嘆，全民健康因當前政府能源政策的矛盾，無法受到保護，PM2.5已經使得全台灣許多同胞，面臨肝、肺遭受癌症威脅的恐懼，在全台各地已經有許多憂心不已的國民走上街頭。他希望國民黨在2018年團結一致，展開革新、團結、重返執政的目標，在全國各地方選舉中贏得更多民眾支持，2020年全力以赴，重返執政，讓中華民國重新締造一個廉能而有效率的政府。 "
"2","UDN","01","01","臉書按讚未破百萬 羅智強不選北市長"," 前總統府副秘書長羅智強。圖／報系資料照分享  facebook    前總統府副秘書長羅智強今天表示，臉書粉絲專頁按讚數未突破百萬，他兌現承諾不選下屆台北市長，至於接下來是否參選台北市議員或立法委員，他沉澱後再思考。 羅智強105年12月24日宣布3階段投入台北市長選舉，106年底前，臉書粉絲專頁衝破100萬按讚門檻，爭取社群認同，達標就參選。 不過，經過1年來的衝刺，羅智強臉書粉絲專頁只有91萬多個按讚數，未突破100萬。羅智強告訴中央社記者，他兌現承諾，不選下屆台北市長。 羅智強表示，之前面臨低潮，如果沒有這麼多粉絲，他無法堅持到現在，讓台灣更好、讓台北更好是他的理念，不管未來選擇哪一種人生鋪排，他都會為這個理念努力。 國民黨內目前已表態參選台北市長有前國民黨籍立委丁守中、前行政院發言人鄭麗文；因為民主進步黨與台北市長柯文哲競合關係尚未確定，國民黨不急著提名，確定的提名人選要等過完農曆年後才會明朗。"
"3","UDN","01","01","國民黨升旗跳健康操 吳敦義跟郝龍斌在講悄悄話"," 國民黨主席吳敦義（中）上午在國民黨副主席郝龍斌（左）與曾永權（右）陪同下出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，與民眾一起跳健康操。記者蘇健忠／攝影分享  facebook   國民黨今天上午7時在中央黨部前辦理107年元旦「革新 團結 重返執政」升旗活動，由中華擎天合唱團開場，全體黨員唱國歌、升旗敬禮，在黨主席吳敦義致詞後一起跳健康操，不過吳敦義和副主席郝龍斌不時交頭接耳，跳操零零落落，倒是副主席曾永權非常投入。 國民黨主席吳敦義、國民黨副主席曾永權、郝龍斌，日前宣布參選台北市長的前國民黨立委丁守中，前行政院發言人鄭麗文，以及有意爭取參選新北市長的前縣長周錫瑋，立委曾銘宗、費鴻泰，與中央委員連勝文等皆出席升旗典禮。 吳敦義發表元旦談話表示，希望國民黨能夠展開革新、團結、重返執政的目標，一定同心協力在2018年革新有成、團結有力，就能夠在全國各地方選舉重大的考驗當中贏得更多民眾支持，「在2020我們要全力以赴，重返執政」。"
"4","UDN","01","01","影／吳敦義元旦升旗 高喊重返執政","  國民黨主席吳敦義上午在國民黨副主席曾永權與郝龍斌陪同下出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，唱國歌、國旗歌與愛國歌曲，致詞時高喊重返執政，並與民眾一起跳健康操。有意角逐台北市長的丁守中與有意角逐新北市長的周錫瑋兩人也都出席元旦升旗典禮。國民黨主席吳敦義（中）上午在國民黨副主席曾永權（左）與郝龍斌（右）陪同下出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，唱國歌、國旗歌與愛國歌曲，致詞時高喊重返執政。記者蘇健忠／攝影分享  facebook   有意角逐台北市長的丁守中（左）與有意角逐新北市長的新北市長周錫瑋（右）兩人上午都出席國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮。記者蘇健忠／攝影分享  facebook   國民黨主席吳敦義（中）上午在國民黨副主席郝龍斌（左）與曾永權（右）陪同下出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，與民眾一起跳健康操。記者蘇健忠／攝影分享  facebook   國民黨主席吳敦義（右）上午出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，唱國歌、國旗歌與愛國歌曲，有意角逐台北市長的丁守中（中）與有意角逐新北市長的新北市長周錫瑋（左）兩人也都出席元旦升旗典禮。記者蘇健忠／攝影分享  facebook   國民黨主席吳敦義上午出席在國民黨中央黨部前廣場舉行的「革新、團結、重返執政」元旦升旗典禮，唱國歌、國旗歌與愛國歌曲，致詞時高喊重返執政，並與民眾一起跳健康操。記者蘇健忠／攝影分享  facebook   "
"5","UDN","01","02","搶攻北市年輕票 丁守中組青年軍","  表態參選台北市長的國民黨前立委丁守中，昨公布4位競選辦公室發言人陣容，平均年齡約30歲，爭取年輕選票。宣布參選的民進黨立委姚文智說，丁守中要選市長很久了，堅持不懈的精神也算是可敬的對手，「我們各自加油」。 台北市長選舉逐漸加溫，為爭取國民黨提名的前立委丁守中（中）昨天公布競選辦公室發言人陣容，4人平均年齡約30歲左右。 記者曾吉松／攝影分享  facebook    藍綠目標都鎖定台北市長柯文哲，台北市政府發言人劉奕霆表示，參選是每位國民的權利，尊重外界對市府的意見。 丁守中競選辦公室發言人，分別是立委蔣萬安的前法案助理詹為元、國民黨中央委員田長沛、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗。他還公布3支「青年看市政」短片，呼籲對市政不滿、有意見的年輕人，都可以向他反映。 34歲的詹為元是政大東亞研究所博士班學生，先後曾任丁守中、蔣萬安的法案助理。31歲的田長沛是前立委潘維剛的兒子，擁有美國會計師資格。30歲的劉思吟是台科大建築碩士。25歲的楊植斗是台大政治系高材生。 對於民進黨台北市黨部主委黃承國曾說，不管民進黨是和柯文哲合作，還是派姚文智參選，「都會選贏國民黨」。丁守中昨說，民進黨因為擔心柯文哲出來選總統，根本不敢推出台北市長人選；柯文哲就任以來，台北市政建設停緩，他有信心勝出。 宣布參選台北市長的行政院前發言人鄭麗文表示，希望國民黨人選早點推出來，這點是大家的共識，至於細節該怎麼執行，黨部應該找大家來當面討論比較好。 "
"6","UDN","01","02","協會改革／邱義仁、蔡明忠、辜仲諒 傳選理事長"," 據網路媒體《上報》於今天報導指出，這一波體育署主導各單項運動協會改革，傳出有重量級政商人士包括綠營大老邱義仁、中信金控集團負責人辜仲諒，以及富邦金控集團負責人蔡明忠均積極布署，分別有意投入足協、棒協及籃協理事長選舉，由於這三個單項協會最受民眾關注，因此對於他們加入競選，政府高層樂觀其成。     邱義仁。 報系資料照分享  facebook    報導指出，曾於2005年扁政府時期擔任足協理事長的邱義仁，將有意回鍋角逐協會改革後的足協理事長。現任足協理事長原名林振義的林湧成，雖官司纏身，但如今任期屆滿後，更積極爭取連任。然而國內足球界為了一新風氣，不斷勸進邱義仁參選足協理事長。  目前這件事也在網路上流傳，正反意見兩極。   辜仲諒。 報系資料照分享  facebook     擁有中信兄弟棒球隊的辜仲諒被指有意參加棒協理事長選舉，報導中說，棒協現任理事長廖正井已兩屆8年任期即將屆滿，必須卸任，辜仲諒此次有意參選棒協理事長，已獲得彭誠浩支持，同時身為中職球團老闆，辜仲諒也將挺彭誠浩爭取中華職棒聯盟會長之位。  如此一來，中職與棒協的對立情勢有可能化解，這也是體育署所樂見。    蔡明忠。 報系資料照分享  facebook     富邦金控集團，近年來積極投入國內運動，如今接手有中職富邦悍將隊，以及SBL超級籃球聯賽富邦勇士隊，其中在籃球隊方面積極引進包括林書緯、包提傑、張宗憲等著名球員及前國家隊教練許晉哲，也贊助大專籃球聯賽。報導指出，蔡明忠將投入籃協理事長選舉。  現在籃協理事長丁守中，已擔任兩屆理事長，不過，籃協對於體育署開放會員直選方式有意見，仍準備以會員代表制的方式來因應。  另外《上報》還報導「棒協『萬年祕書長』林宗成不甩國體法規定」，指棒協組織新章程，「其協會理監事投票欲採取以『贏者全拿』的全額連記法，不甩《國體法》採無記名限制連記法的規定。」並說林宗成，「棒球協會祕書長林宗成始終立於不敗之地，擔任祕書長近20年之久，即使曾因抄襲被起訴、歷年球員賽訓紛爭、獎金分紅等爭議也沒離開過。」 "
"7","UDN","01","02","影／丁守中搶攻青年選票 正妹發言人好吸睛","   2018台北市長國民黨究竟派誰上陣，備受外界關注，前立委丁守中2號搶先公布發言人陣容，企圖用青年軍展現新風貌，其中包括立委蔣萬安的前法案助理詹為元，還有國民黨中央委員田長沛、國民黨代表劉思吟以及台北市議員王鴻薇法案助理楊植斗，4人平均年齡約30歲左右，搶攻青年選票的意味相當明顯。 除此之外，丁守中還拋出打造河畔藝文沙龍的議題。丁守中說：「像東門市場、我們去看到的木新市場、很多啊像是四平街，很多地方都可以合作，那加蓋(頂蓬)也可以變成大馬路，跟大馬路之間的通路，也可以變成優質的人行步道，對採購的環境都大幅的提升。」 不僅如此，丁守中火力全開，左打柯P右K民進黨。丁守中：「民進黨現在已經被柯P綁架了，因為蔡英文現在為了選總統，而且柯P現在民間的聲望，甚至超越蔡英文，那我相信 她很擔心，她絕對不會要柯P將來出來選總統鬧場。用對比式民調，我跟柯文哲比，我們其他候選人跟柯文哲比，這樣子才有意義，我們希望能在過年後，就馬上能舉行我們的民調，能夠確定我們的人選。」力拚2018台北市長選戰，前立委丁守中率先公布發言人陣容。分享  facebook   "
"8","UDN","01","02","丁守中發言人群亮相 平均30歲"," 爭取國民黨台北市長提名的前立委丁守中（中）上午公布競選辦公室發言人陣容，其中包括國民黨中央委員田長沛（左起）、立委蔣萬安的法案助理詹為元、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗。 記者曾吉松／攝影分享  facebook    2018台北市長選舉逐漸加溫，國民黨究竟派誰上陣，備受外界關注，前立委丁守中今天搶先公布競選辦公室發言人陣容，其中包括立委蔣萬安的法案助理詹為元、國民黨中央委員田長沛、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗，4人一字排開，平均年齡約30歲左右，搶攻青年選票意味濃厚。 現年34歲的詹為元，為政大東亞研究所博士班，曾任蔣萬安的法案助理，如今出任丁守中競選辦公室一職，被外界視為是在挖蔣萬安的「牆腳」，不過丁守中今解釋，詹為元最早是自己的立院的法案助理，如今是「歸隊」，而非「挖牆腳」。 31歲的田長沛，則是國民黨立委潘維剛的兒子，畢業於南加大公共政策碩士，擁有美國會計師認證資格，現為國民黨中央委員。30歲的劉思吟，則是台科大建築碩士；25歲的楊植斗，為台大政治系，目前是王鴻薇的法案助理。 由於青年選票向來都是台北市長柯文哲的大票倉，要在2018勝出，青年選票絕對不容小覷。為此，丁守中不僅找來青年擔任發言人，今上午還發表「青年看市政」影片，呼籲台北市的年輕人若對市政所有不滿、有意見，都可以向他反映。 對於國民黨人選的出線，丁守中認為，應該要採對比式全民調，因為若只做全民調，卻沒有排藍排綠，很容易被操縱，且應該要辦電視辯論，讓市民知道大家的政策主張才能選出最好的人選。 丁守中強調，國民黨如今在野，人選越早選出越好。 對於原本要參選的前總統府副秘書長羅智強，因為臉書粉絲未破百萬，昨宣布退選，丁守中表示，尊重羅智強的決定，也相信羅智強將來從政的決心沒有改變。 丁守中表示，民進黨因為擔心柯文哲出來選總統，所以被綁架，根本不敢自推人選，不過實際上柯文哲就任以來，台北市政建設停緩，支持民調下滑，自己有信心會勝出。"
"9","UDN","01","02","丁守中青年看市政影音短片暨競選辦公室發言人發表會"," 台北市長選舉逐漸加溫，為爭取國民黨提名的前立委丁守中上午公布競選辦公室發言人陣容，其中包括國民黨中央委員田長沛、立委蔣萬安的法案助理詹為元、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗，4人一字排開，平均年齡約30歲左右，搶攻青年選票意味濃厚。台北市長選舉逐漸加溫，為爭取國民黨提名的前立委丁守中上午公布競選辦公室發言人陣容，搶攻青年選票意味濃厚。記者曾吉松／攝影分享  facebook   爭取國民黨提名的前立委丁守中（中）上午公布競選辦公室發言人陣容，其中包括國民黨中央委員田長沛（左起）、立委蔣萬安的法案助理詹為元、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗。記者曾吉松／攝影分享  facebook   爭取國民黨提名的前立委丁守中（中）上午公布競選辦公室發言人陣容，其中包括國民黨中央委員田長沛（左起）、立委蔣萬安的法案助理詹為元、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗。記者曾吉松／攝影分享  facebook   "
"10","UDN","01","02","搶攻青年選票 丁守中霸氣籲：對台北市政不滿都來告訴我"," 為了搶攻青年選票，前立委丁守中不僅找來青年擔任發言人，今上午還發表「青年看市政」影片，呼籲台北市的年輕人若對市政所有不滿、有意見，都可以向他反映。記者邱瓊玉／攝影分享  facebook     2018台北市長選舉逐漸加溫，國民黨究竟派誰上陣，備受外界關注，前立委丁守中今天搶先公布競選辦公室發言人陣容，其中包括立委蔣萬安的法案助理詹為元、國民黨中央委員田長沛、國民黨代表劉思吟及台北市議員王鴻薇法案助理楊植斗，4人一字排開，平均年齡約30歲左右，搶攻青年選票意味濃厚。 現年34歲的詹為元，為政大東亞研究所博士班，曾任蔣萬安的法案助理，如今出任丁守中競選辦公室一職，被外界視為是在挖蔣萬安的「牆腳」，不過丁守中今解釋，詹為元最早是自己的立院的法案助理，如今是「歸隊」，而非「挖牆腳」。 31歲的田長沛，則是國民黨立委潘維剛的兒子，畢業於南加大公共政策碩士，擁有美國會計師認證資格，現為國民黨中央委員。30歲的劉思吟，則是台科大建築碩士；25歲的楊植斗，為台大政治系，目前是王鴻薇的法案助理。 由於青年選票向來都是台北市長柯文哲的大票倉，要在2018勝出，青年選票絕對不容小覷。為此，丁守中不僅找來青年擔任發言人，今上午還發表「青年看市政」影片，呼籲台北市的年輕人若對市政所有不滿、有意見，都可以向他反映。 對於國民黨人選的出線，丁守中認為，應該要採對比式全民調，因為若只做全民調，卻沒有排藍排綠，很容易被操縱，且應該要辦電視辯論，讓市民知道大家的政策主張才能選出最好的人選。 丁守中強調，國民黨如今在野，人選越早選出越好。 對於原本要參選的前總統府副秘書長羅智強，因為臉書粉絲未破百萬，昨宣布退選，丁守中表示，尊重羅智強的決定，也相信羅智強將來從政的決心沒有改變。 此外，對於丁守中日前宣稱「對手只有柯P」，民進黨內不滿回嗆，不管是和柯文哲合作，還是派出立委姚文智參選，都會贏國民黨，丁守中回酸「最好是他們(民進黨)派人」。 丁守中表示，民進黨因為擔心柯文哲出來選總統，所以被綁架，根本不敢自推人選，不過實際上柯文哲就任以來，台北市政建設停緩，支持民調下滑，自己有信心會勝出。"
