"Media","V1","bindtext"
"1","LTN","蔡英文點名姚文智：我如果偏心 一定偏著你
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  總統兼民進黨主席蔡英文今日出席民進黨中央黨部年終餐敘，逐桌舉杯向黨工致意。（記者廖振輝攝） 〔記者蘇芳禾／台北報導〕民進黨今天舉辦尾牙，在加薪3％又抽iphone X之下，全場嗨翻天。而民進黨與台北市長柯文哲競合關係微妙，民進黨主席蔡英文今天也對著希望爭取台北市長黨內提名的民進黨立委姚文智說，「我如果偏心，一定偏著你。」引起全場尖叫。 民進黨今天在台北市舉辦尾牙，今年不但加薪3％，抽獎獎品也不斷加碼，讓黨工們氣氛超嗨，尖叫聲不斷。蔡英文聽到司儀說中央黨部目前黨工平均年齡不到30歲，也直呼「這真是太恐怖了！」代表這個黨生生不息，也有很多年輕朋友加入。 蔡英文去年最大獎為3萬元禮金，今年的最大獎則未公布內容，在黨工喊加碼下，又送出2包各1萬元禮金。 蔡英文致詞時前，一一點名前主席姚嘉文、許信良、前總統呂秀蓮等重要人士，同時也點名綠委姚文智，她說「我一定要提（到）他，如果我不提，他一定要說我偏心！」接著蔡英文更加碼說「但是我如果有偏心，一定是偏著你」，讓現場黨工直呼「這是撩妹吧！」  民進黨立委姚文智。（記者廖振輝攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"2","LTN","花媽出書後首次電視專訪 對小英民調低坦言「很難受」"," 〔記者粘湘婉／台北報導〕高雄市長陳菊日前上壹電視《十點上新聞》接受主播陳雅琳專訪，這也是她出書後，首次接受電視專訪，被問到總統蔡英文民調低落，可能影響六都選情，她也幫總統緩頰，「執政不到兩年的時間，要一下全然解決台灣40幾年的問題不容易，不過她知道這是她的責任，大家都很努力在做，給她一點時間，希望大家不要失望這麼快，我覺得給她加油和公平的掌聲這樣才做得下去。」對年底縣市長選舉的選情，則表示：「很憂心，但沒有悲觀。」 陳菊也坦言「看到民調很難受」，但也認為民調相當程度反映人民意見，如果改革步伐跟人民期待有所距離，這也是政治人物必須要承擔，若以年金改革為例，「蔡英文跟歷任總統一樣，她忍一下四年就過去，也可以不動」，但一個負責任的國家領導者，必須有長遠的規劃 所以她勇敢地承擔大家對她的期待，做不容易的改革，當然被改革對象會對她極端不滿，不過她認為其實整個社會應該多給蔡英文掌聲。 年底縣市首長選舉陷入僵局，民進黨是否會派出賴清德選台北市長？陳菊表示，現在賴清德做行政院長認真又專業，跟團隊還在磨合期，努力解決台灣的問題，才做幾個月換角色這樣不好。此外，近來台北市長柯文哲與民進黨關係緊張，主持人陳雅琳在節目中犀利提問，詢問陳菊是否贊成民進黨繼續挺柯P？只見她四兩撥千斤地表示：「現在不到最後決策，假設問題無法回答。」成功避開敏感問題。高雄市長陳菊日前接受主播陳雅琳專訪。（壹電視提供）  "
"3","LTN","國台辦「拉柯打蔡」 楊偉中呼籲柯文哲嚴正回應
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕中國國台辦發言人馬曉光今天在例行記者會上，被問到「台灣價值」一事，意外提及台北市長柯文哲，黨產會委員楊偉中認為，柯文哲在客觀上已經成為中國牽制蔡英文維持現狀路線的工具，難道柯文哲還要「被扮演」成這個工具的角色嗎？楊偉中呼籲柯文哲應對此嚴正回應。 馬曉光今日在例行記者會中，被問到對於「台灣價值」有何看法，馬曉光說，「蔡英文的『台灣價值』就連柯文哲都『丈二和尚摸不著頭腦』。」 楊偉中認為，中國官方要來定義「台灣價值」，已經極其荒謬，國台辦發言人還拿「柯文哲先生」的發言來敲打蔡英文。 楊偉中認為，不管柯文哲的「兩岸一家親」、「建構兩岸命運共同體」發言的主觀意圖為何，但在客觀上，這已經成為中國官方分化台灣、牽制蔡英文維持現狀路線的工具，楊偉中質疑，難道柯文哲還要「被扮演」成中共制台工具這種角色嗎？ 楊偉中強調，面對國台辦這種「拉柯打蔡」的言論，呼籲人在歐洲的柯文哲必須對此嚴正回應，才能展現台灣內部團結、一致對外的意志。 黨產會委員楊偉中強調，面對國台辦這種「拉柯打蔡」的言論，他呼籲人在歐洲的柯文哲必須對此嚴正回應。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"4","LTN","批蔡英文的台灣價值 國台辦打柯文哲牌
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕總統蔡英文與台北市長柯文哲近期因「台灣價值」一詞引發熱烈討論，中國國台辦發言人馬曉光今天在例行記者會上也被問到此事，甚至還特別提到柯文哲。 在場記者詢問馬曉光對於「台灣價值」有何看法，馬曉光說，蔡英文口中的「台灣價值」是什麼，就連「柯文哲先生」都「丈二和尚摸不著頭腦」；他表示，如果「台灣價值」，是要「將台灣文化與中華文化割裂開來，是將台灣民眾的利益福祉與中華民族的整體利益割裂，是將台灣的前途、命運拱手交於外人之手，而甘做遏制中國的棋子，那麼這樣的價值不是台灣之福，而是台灣之禍。」 中國國台辦發言人馬曉光今日在例行記者會上被問到「台灣價值」，特別點名台北市長柯文哲也「丈二和尚摸不著頭腦」。（資料照，中央社） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"5","LTN","丁丁反嗆姚文智選到底：要不要賭吞曲棍球！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者郭安家／台北報導〕台北市長柯文哲競選總幹事姚立明說，只要謝系立委姚文智參選台北市長到底，他願意擔任總幹事。姚文智今回應，「我本來就有這個決心」，還說有姚立明的加入，有把握把國民黨的丁守中打成第三名。不料，姚文智此番說法引起丁守中貼臉書，丁還反嗆，「真的要參選到底歐」、「要不要也來賭吞曲棍球！」 丁守中下午於臉書表示，聽說姚文智獲得姚立明力挺後士氣大振，不但再度表態會參選台北市長，並稱有把握「把丁守中打成第三名」；他只能說，請姚文智不要自嗨！既然說要參選到底，就要說到做到！ 丁守中還酸說，民進黨已經被柯文哲綁架，身為執政黨，竟然在首都提不出市長候選人，已經被柯看扁了，連市民都在看笑話；所以他真希望姚文智在內的民進黨朋友，拿出骨氣參選，更要說到做到。他唯一目標是打敗柯，也請姚有點志氣，還沒選就立志爭第二名，難怪柯根本不把民進黨放在眼裡啊！ 台北市長參選人、前立委丁守中。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"6","LTN","稱台灣應向荷蘭學習 柯P大讚：根本是科學聯合國！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  柯文哲認為荷蘭是台灣很好的學習對象，並大讚荷蘭的科技園區根本是「科學聯合國」。（圖取自柯文哲IG doctorkowj） 〔即時新聞／綜合報導〕台北市長柯文哲27日率團訪歐，今（31）日結束荷蘭行程，接下來將前往比利時參訪，並於歐洲議會發表演說。柯文哲在荷蘭視察交通與公宅政策後，曾感嘆「台灣落後太多」，而柯文哲今日也表示，荷蘭的人口、土地與經濟情況與台灣相似，是台灣很好的學習對象，並大讚荷蘭的科技園區根本是「科學聯合國」。 據《蘋果》報導，柯文哲今日參訪荷蘭恩荷芬市（Eindhoven）的科技工業園區，認為台灣在「國際化」上還是差人一截，因為園區內有來自85個國家的員工，對此柯文哲大讚根本是「科學的聯合國」，未來必須得思考如何吸引更多外國人才來台合作。 柯文哲指出，荷蘭雖然科技層面領先台灣，但人口、土地與經濟狀況與台灣相近，會是非常好的學習對象。而針對有沒有自信增加創新產業基地的招商，柯文哲則老實指出，台灣在荷蘭投資不多，但荷蘭對台投資高達200多億美元，「招商是互相的」。 針對吸引外國人才，柯文哲也進一步補充，認為很多事必須得花數十年的時間準備，例如過去自己曾提出「南洋北流」的計畫，增設獎學金吸引馬來西亞與印度人才來台，但不要幻想一年就會有成績，必須做長期準備。 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"7","LTN","無國界批不尊重新聞專業 柯反批：不查證何來專業？
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者沈佩瑤／台北報導〕日前傳出台北市長柯文哲因不滿網媒報導台北燈節內幕，下令封殺特定記者，國際著名非政府組織「無國界記者組織」30日發出聲明譴責，表示不應該藐視對於台灣民主發展有貢獻的新聞記者。 對此，人在荷蘭市政考察的柯文哲受訪重砲回擊，指記者也要遵守平衡報導與查證的義務，記者若不查證也不平衡報導，「我認為這個連專業都沒有」，不應當再去多要求其他。 柯文哲補刀表示，記者有採訪自由，但是作為被採訪者，應該也有拒絕被採訪的自由，這件事情細節回去再處理。 針對無國界批評不尊重新聞專業，台北市長柯文哲表示，記者若不查證也不平衡報導，「我認為這個連專業都沒有」 （資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"8","LTN","預告都更審議火速過關 斯文里3期排5月中旬開拆
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者鍾泓良／台北報導〕位於台北市大同區的蘭州、斯文里整建住宅興建至今約50年，環境窳陋老舊，市長柯文哲上任後宣布啟動公辦都更，率先啟動的斯文里3期預計2月5日進入都更審議委員會審議，副市長林欽榮今天也宣布5月中旬就要動工拆除。但根據市府期程，拆除前會安排長達3月的都更核定及拆遷公告，等於須在2月中旬前就通過都更會審議，預告將火速通關。對此，林欽榮緩頰說，委員會不能控制，但他還是希望可以盡速通過。 都更處說，斯文里3期都更計畫去年9月已報核、今年1月29日完成聽證，接下來將會2月5日排入都更會，希望能夠盡速核定公告，預計5月中旬拆除，約安排90天給民眾準備拆遷。都更處表示，斯文里3期共有260戶，其中125戶屬於租戶，目前已有29戶向市府確認媒合租屋，其餘均表示自行租屋。 而對於是否將等待所有住戶安置好才拆屋，林欽榮說，「我們不會等他們」，但是有把握滿足每一戶的需求。他說，希望市府幫民眾安排安置時，還是優先選擇大同的公宅或是包租代管。 然而根據市府所排定期程，若要在5月中旬拆除，至少須在2月中旬就通過都更會審議，是否已預告該案將火速通關都更會？林欽榮解釋，委員會還是不能操控，但市府一定要做好準備，因此，還是期待可以順利通過。 率先啟動公辦都更的斯文里3期預計2月5日進入都更審議委員會審議，台北市副市長林欽榮今天也宣布5月中旬就要動工拆除。（記者鍾泓良攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"9","LTN","與姚立明決裂？ 柯P：就算不當朋友，也不能當敵人
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕原為前柯文哲台北市長競選團隊總幹事，國會觀察基金會董事長姚立明近日頻繁批評柯文哲，日前更表態稱願意幫助民進黨立委姚文智競選2018台北市長。對於未來是否會再請姚立明相助，柯文哲回應，「就算不能當朋友，也不能當敵人」。 日前姚立明表態，願意擔任民進黨立委姚文智競選2018台北市長的競選總幹事，柯文哲已就此回應，稱「很多事情等到發生再煩惱」。據《蘋果日報》報導，柯文哲今（31）再度被問及，未來是否會再請姚立明協助？柯文哲表示，「基本戰略是朋友要多、敵人要少」，並稱「就算不能當朋友，也不能當敵人」。 柯說明，選戰過程中，競選集團一定會擴大，「過程當中最重要的是不要撕破臉，永遠要留下日後還是可以合作的空間」。媒體又問柯文哲，最近與姚立明關係如何，柯稱「也還好啦！吃飯沒問題」。 柯文哲目前正訪問歐洲，預計將訪波蘭、比利時、土耳其與荷蘭4國。 對於未來是否會再請姚立明相助，柯文哲回應，「就算不能當朋友，也不能當敵人」。（資料照，記者姚介修攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月13日‧星期三‧戊戌年四月卅 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 新版身分證票選出爐 設計師魯少綸奪首獎！ 3 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 4 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 5 連俞涵超正弟媳曝光…根本巨乳林志玲！"
"10","LTN","雙姚脫鉤柯文哲 名嘴驚狂問出這問題"," 〔記者洪素津／台北報導〕當時姚立明任台北市長柯文哲競選市長時的總幹事，近日他宣布將替綠委姚文智爭取民進黨台北市長提名的助選，而此舉等於宣告柯文哲與姚立明的關係正式決裂。據POP Radio《POP搶先爆》主持人黃光芹電訪姚文智提到，姚立明之所以會願意為他作嫁、作為他的競選總幹事，最大的原因是因為姚立明認為柯市長已不再適任台北市長，話講得直接。 而他們姚立明和姚文智兩人過去在2014年皆曾為柯文哲輔選，如今卻都與柯文哲脫鉤，姚文智形容這是柯市長的「內部政變」，姚文智在節目中澄清，目前沒有要脫黨參選的打算，但當主持人黃光芹問到「是否畢生都不會離開民進黨？」，姚文智曖昧地回答「這個問題等（民進黨提名）形勢比較確定再來回答」。黃光芹電訪姚文智。（POP Radio提供）"
