"Media","V1","bindtext"
"1","LTN","蔡英文點名姚文智：我如果偏心 一定偏著你
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  總統兼民進黨主席蔡英文今日出席民進黨中央黨部年終餐敘，逐桌舉杯向黨工致意。（記者廖振輝攝） 〔記者蘇芳禾／台北報導〕民進黨今天舉辦尾牙，在加薪3％又抽iphone X之下，全場嗨翻天。而民進黨與台北市長柯文哲競合關係微妙，民進黨主席蔡英文今天也對著希望爭取台北市長黨內提名的民進黨立委姚文智說，「我如果偏心，一定偏著你。」引起全場尖叫。 民進黨今天在台北市舉辦尾牙，今年不但加薪3％，抽獎獎品也不斷加碼，讓黨工們氣氛超嗨，尖叫聲不斷。蔡英文聽到司儀說中央黨部目前黨工平均年齡不到30歲，也直呼「這真是太恐怖了！」代表這個黨生生不息，也有很多年輕朋友加入。 蔡英文去年最大獎為3萬元禮金，今年的最大獎則未公布內容，在黨工喊加碼下，又送出2包各1萬元禮金。 蔡英文致詞時前，一一點名前主席姚嘉文、許信良、前總統呂秀蓮等重要人士，同時也點名綠委姚文智，她說「我一定要提（到）他，如果我不提，他一定要說我偏心！」接著蔡英文更加碼說「但是我如果有偏心，一定是偏著你」，讓現場黨工直呼「這是撩妹吧！」  民進黨立委姚文智。（記者廖振輝攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"2","LTN","丁丁反嗆姚文智選到底：要不要賭吞曲棍球！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者郭安家／台北報導〕台北市長柯文哲競選總幹事姚立明說，只要謝系立委姚文智參選台北市長到底，他願意擔任總幹事。姚文智今回應，「我本來就有這個決心」，還說有姚立明的加入，有把握把國民黨的丁守中打成第三名。不料，姚文智此番說法引起丁守中貼臉書，丁還反嗆，「真的要參選到底歐」、「要不要也來賭吞曲棍球！」 丁守中下午於臉書表示，聽說姚文智獲得姚立明力挺後士氣大振，不但再度表態會參選台北市長，並稱有把握「把丁守中打成第三名」；他只能說，請姚文智不要自嗨！既然說要參選到底，就要說到做到！ 丁守中還酸說，民進黨已經被柯文哲綁架，身為執政黨，竟然在首都提不出市長候選人，已經被柯看扁了，連市民都在看笑話；所以他真希望姚文智在內的民進黨朋友，拿出骨氣參選，更要說到做到。他唯一目標是打敗柯，也請姚有點志氣，還沒選就立志爭第二名，難怪柯根本不把民進黨放在眼裡啊！ 台北市長參選人、前立委丁守中。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"3","LTN","與姚立明決裂？ 柯P：就算不當朋友，也不能當敵人
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕原為前柯文哲台北市長競選團隊總幹事，國會觀察基金會董事長姚立明近日頻繁批評柯文哲，日前更表態稱願意幫助民進黨立委姚文智競選2018台北市長。對於未來是否會再請姚立明相助，柯文哲回應，「就算不能當朋友，也不能當敵人」。 日前姚立明表態，願意擔任民進黨立委姚文智競選2018台北市長的競選總幹事，柯文哲已就此回應，稱「很多事情等到發生再煩惱」。據《蘋果日報》報導，柯文哲今（31）再度被問及，未來是否會再請姚立明協助？柯文哲表示，「基本戰略是朋友要多、敵人要少」，並稱「就算不能當朋友，也不能當敵人」。 柯說明，選戰過程中，競選集團一定會擴大，「過程當中最重要的是不要撕破臉，永遠要留下日後還是可以合作的空間」。媒體又問柯文哲，最近與姚立明關係如何，柯稱「也還好啦！吃飯沒問題」。 柯文哲目前正訪問歐洲，預計將訪波蘭、比利時、土耳其與荷蘭4國。 對於未來是否會再請姚立明相助，柯文哲回應，「就算不能當朋友，也不能當敵人」。（資料照，記者姚介修攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"4","LTN","雙姚脫鉤柯文哲 名嘴驚狂問出這問題"," 〔記者洪素津／台北報導〕當時姚立明任台北市長柯文哲競選市長時的總幹事，近日他宣布將替綠委姚文智爭取民進黨台北市長提名的助選，而此舉等於宣告柯文哲與姚立明的關係正式決裂。據POP Radio《POP搶先爆》主持人黃光芹電訪姚文智提到，姚立明之所以會願意為他作嫁、作為他的競選總幹事，最大的原因是因為姚立明認為柯市長已不再適任台北市長，話講得直接。 而他們姚立明和姚文智兩人過去在2014年皆曾為柯文哲輔選，如今卻都與柯文哲脫鉤，姚文智形容這是柯市長的「內部政變」，姚文智在節目中澄清，目前沒有要脫黨參選的打算，但當主持人黃光芹問到「是否畢生都不會離開民進黨？」，姚文智曖昧地回答「這個問題等（民進黨提名）形勢比較確定再來回答」。黃光芹電訪姚文智。（POP Radio提供）"
"5","LTN","「碰兩岸嚇我一大跳！」姚立明批柯P：沒價值觀只有功利
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕曾幫助柯文哲當選2014年台北市長的國會觀察基金會董事長姚立明，今天下午再度評論柯文哲，是個「沒有價值觀的人」！ 姚立明今天下午到政論節目《前進新台灣》時表示，柯文哲有太多問題，有人從大巨蛋講起，有人從誠信開始說起，有人說「兩岸一家親」...這太多了，「我只想說明價值觀，他心中沒有價值觀，他有的只有個人政治利益，隨之調整」。 姚立明再度提起價值觀一事，他說，柯P曾表示「兩岸一家親」，不過當總統蔡英文回答時，柯立刻不回應，「柯發覺那個嚴重，原來民進黨員都在乎這個，立刻躲在台北市府下面，稱台北市的立場不用有這高度，那是中央問題」；姚立明質疑柯P怎麼又縮回去，「你講那麼多兩岸的話，今天回答時又說是中央問題，『我同意你的話，那你早該如此』」。 姚立明說，當初柯文哲在選舉時，他曾經和柯說不要提及兩岸問題，「凡是提到兩岸問題，你就設定在台北市長這個位子，你本來就不該碰，不要碰就不會有爭議、也不會受傷害。」 「選舉時柯文哲沒有碰兩岸問題，但他開始碰時嚇了我一大跳！」姚立明強調，我從未說過、也不相信柯是紅的、或是共產黨員，這是個汙衊，但柯卻是個沒有價值觀，為了自己利益調整的人，「這點我就不能再配合」。  挺姚文智參選幫忙操盤？ 姚立明有條件！  姚立明強調，他從未說過、也不相信柯文哲是紅的、或是共產黨員，這是個汙衊，但柯卻是個沒有價值的人。（記者方賓照攝）
 （圖擷取自三立新聞台） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"6","LTN","挺姚文智參選幫忙操盤？  姚立明有條件！
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  姚立明向姚文智喊話，應該要先有作為，不該只是憑空講要參選。（資料照） 〔即時新聞／綜合報導〕曾幫助柯文哲當選2014年台北市長的國會觀察基金會董事長姚立明，昨天表示若民進黨立委姚文智參選北市長，願任他的競選總幹事，消息一出後，引起各界討論，姚立明今天下午也再度上節目說明此事，並強調「姚要參選到底，我才可能參與幫忙，若他不被提名，就不選，我當然沒有人可幫」。 姚立明今天下午到政論節目《前進新台灣》說明，他昨天答應替姚文智操盤之過程，他表示，當時他有說明，若候選人沒有決心，支持者就沒有熱情，所以昨天他鼓勵姚文智，「必須先有決心、意志力，大家就會幫助你」，隨後主持人也詢問他是否幫忙，他一口答應，「不過要先有候選人才有總幹事，姚文智要參選到底，我才可能參與幫忙，若他不被提名，就不選，我當然沒有人可幫，若不提名他仍然選擇參選，我當然義無反顧繼續幫他」。 姚立明說，他的觀察，民進黨基層有一股不滿柯P的聲音，「他們的選票無處去，就要有人承接這些選票，我覺得這是民進黨本身不能辜負的對象，這群人是死忠的民進黨支持者，他們卻無所適從，姚文智曾說過不惜脫黨參選，這增加這群人很大的意志」。 姚立明向姚文智喊話，應該要先有作為，不該只是憑空講要參選，有了作為才會讓人覺得「幫你是值得的，因為你大概會選到底，否則人家捐錢也不會捐給你」、「你要下定決心，參選到底，我們就力挺到底！」  「碰兩岸嚇我一大跳！」姚立明批柯P：沒價值觀只有功利  姚立明今天下午再度上節目說明。（圖擷取自三立新聞台） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"7","LTN","姚立明願任競選總幹事 姚文智：能不能明天開始上班
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者蘇芳禾／台北報導〕欲爭取民進黨內提名台北市長的民進黨立委姚文智昨透露，曾任柯文哲競選台北市長總幹事的姚立明，願意擔任他的競選總幹事。姚文智表示，有姚立明的加入，有把握把國民黨的丁守中打成第三名。 表態參選台北市長的民進黨立委姚文智昨於節目中表示，曾經擔任柯文哲競選總幹事的姚立明願意擔任他的競選總幹事，而姚立明也在節目上說，只要姚文智確定要選，他就會加入姚文智的團隊，也代表未來將會對打柯文哲。 姚文智說，姚立明昨在節目上突然宣布願意擔任他的競選總幹事，他也很意外，之前在節目或其他場合，他有遇過姚立明，幾個月前也曾約姚立明聊過，當時姚立明是說整個情勢還不明朗，這陣子兩人都沒碰到，昨天這消息很意外，他認為姚立明是鼓勵他。 對於姚立明說，只要姚文智參選到底，他願意擔任總幹事，姚文智則表示，「我本來就有這個決心」，只是他在這階段要爭取民進黨的提名，還有一段時間要努力，他會跟民進黨基層、高層溝通，這是他現在努力的方向。也會跟姚立明討論佈局，「看能不能明天開始上班。」 姚文智表示，姚立明在誰能實現台灣價值、民進黨對首都責任、選舉是否能勝出都做出評估，國民黨現在是丁守中，有機會把丁守中打成第三名。 他認為，民進黨基層有80％、90％，認為不應該禮讓柯文哲，基層態度很清楚，所以她們希望民進黨自提市長候選人，如果黨內有人民調贏過他，他就退選。民進黨在首都這戰不能棄守，要重視基層聲音，民進黨不能未戰先敗。 姚文智說，今天下午他就會請姚立明開始擔任總幹事的工作，看他能不能明天就來上班，有人說姚立明的加入是如虎添翼、遙遙領先，他認為是扶搖直上。 姚文智最後說，姚立明2012、2016年都幫過小英總統，如果姚立明被稱為國師的話，兩代國師現在都在幫他，第一代國師李鴻禧幫他錄廣告，第二代國師姚立明宣布要當他的總幹事，他何其有幸，和大家共同努力。 姚文智今天上午受訪表示，有姚立明的加入，有把握把國民黨的丁守中打成第三名。
（記者蘇芳禾攝） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"8","LTN","考察荷蘭循環經濟建築 柯P考慮引進台北公宅
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔記者沈佩瑤／台北報導〕台北市長柯文哲持續在荷蘭市政考察，昨前往「Park 20/20」參觀循環經濟建築，會後受訪時被問及有何啟發，柯表示共享經濟世界潮流，正在思考台北市的公宅是否要引進這個概念。 柯文哲指出，循環經濟和共享經濟是整個世界的經濟潮流，將來有一天建築要拆除，是否可以重新利用及回收，因此他在想，台北市目前正在興建公宅，如何把這種新的經濟模式引進台灣。 另針對姚立明有可能加入民進黨立委姚文智的競選團隊當總幹事？柯文哲表示，這種消息每天都有，他還是那個態度，「我們可以控制的，我們可以要求自己；我們沒有辦法控制的，那你每天煩惱幹什麼!」。柯文哲說，只是說「可能」，又不是說「一定」，所以很多事情就發生再去煩惱，我們還是照自己的步驟做。 記者追問有人認為姚立明加入姚文智的團隊，是為了幫監察委員楊芳玲報仇，柯文哲表示，聽聽就好，這沒辦法評論。 台北市長柯文哲持續在荷蘭市政考察，昨前往「Park 20/20」參觀循環經濟建築。（圖由台北市政府提供） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
"9","LTN","姚文智不爽被說「藍綠都是垃圾」 鄭弘儀幫腔嗆柯P"," 〔記者鍾智凱／台北報導〕姚文智決心選台北市長，不惜脫黨因為已受不了柯文哲，昨他與競選總幹事姚立明上《鄭．知道了》，姚文智火力全開，嗆到連鄭弘儀都幫腔嗆柯P。 姚文智說最受不了柯P把藍的跟綠的打在一起，說要推倒藍綠高牆，而抹煞了權威時代民進黨所拚出的改革理想，還說「藍綠都是垃圾」，鄭弘儀聽到這句，激動說：「藍是你的理想，綠也是啊！要說服別人啊！那是你的靈魂，什麼藍綠都是垃圾，騙肖耶，這樣有比較高級嗎？！」語氣激動。姚文智（左三）上鄭弘儀（左）節目談政治理念。（翻攝三立iNEWS）"
"10","LTN","姚立明將任姚文智競選總幹事？ 柯文哲：發生再煩惱
        
            
        
    "," 為達最佳瀏覽效果，建議使用 Chrome、Firefox 或 Internet Explorer 10(含) 以上版本的瀏覽器。 爆  〔即時新聞／綜合報導〕針對姚立明表態願意擔任民進黨立委姚文智未來競選北市長的總幹事，台北市長柯文哲回應，指「很多事情等到發生再煩惱」，並說若自己沒辦法控制，每天煩惱幹什麼。對於這是否與姚立明妻子有關，柯文哲則回「聽聽就好」。 曾在2014年擔任柯文哲競選團隊總幹事的姚立明30日在政論節目上表態，指「只要（姚）文智參選到底，我願意擔任他的總幹事！」引發外界關注。消息傳出後，北市府稍晚則表示，市長多次強調，參選是國民的權利，不論是誰要參選或誰要加入競選團隊，北市府都尊重，市長仍認為把市政做好，就是連任最好的準備。 《中央社》報導，對於姚立明有可能擔任姚文智的競選總幹事，目前人在歐洲的柯文哲回應說，每天都有各種消息，他的態度還是一樣，自己可以控制的事情就要求自己，若自己沒辦法控制，每天煩惱幹什麼。他也指出「目前只是說可能，又不是一定，很多事情發生再煩惱」，目前還是先按自己的步調進行。 針對媒體詢問，有傳聞姚立明加入姚文智團隊，是與姚立明妻子楊芳玲在擔任台北市法務局長時，與柯文哲曾有過不愉快有關。對此，柯文哲在聽到後頓了3秒回應「聽聽就好，這無法評論」。 針對姚立明表態願意擔任民進黨立委姚文智未來競選北市長的總幹事，台北市長柯文哲回應，指「很多事情等到發生再煩惱」，並說若自己沒辦法控制，每天煩惱幹什麼。（資料照） 新聞送上來！快加入自由電子報APP、LINE好友  2018年6月12日‧星期二‧戊戌年四月廿九日 注目新聞 1 中國卡車罷工延燒 司機高喊「打倒共產黨」！ 2 洋腸又來！夜店外帶18歲妹 網站取名「台女很容易」... 3 侯友宜妻1塊土地99個門牌 蘇貞昌：太荒唐 4 突破中國封鎖打入國際！台灣成為ICH會員 5 G7峰會氣氛有多糟？ 梅克爾PO照片說明一切！"
