"","V1","V2","V3","Di_JanFeblink$."
"t_time","2018-03-04 14:47","國民黨已提名12縣市長人選 雙北桃園辦初選"," 中國國民黨布局縣市長選戰，截至目前，共通過5波、12個縣市提名。新北市、桃園市已展開黨內初選，台北市也預計3月中旬啟動初選；台南市與高雄市則在協調整合階段。 國民黨已通過苗栗縣徵召徐耀昌、南投縣徵召林明溱、連江縣徵召劉增應、彰化縣提名王惠美、新竹市提名許明財、雲林縣提名張麗善、宜蘭縣提名林姿妙、台東縣提名饒慶鈴、花蓮縣提名徐榛蔚、基隆市提名謝立功、台中市提名盧秀燕、嘉義市提名黃敏惠。 6個直轄市方面，台中市已通過提名，目前正展開黨內初選的有新北市與桃園市。新北市表態參選者包括已宣布辭去新北市副市長的侯友宜、前台北縣長周錫瑋和前新北市議員金介壽；明天開始領表登記，初選結果25日揭曉。 桃園市部分，國民黨籍立委陳學聖、前立委楊麗環、桃園市議員魯明哲登記參選，初選及提名時間將於3月中旬前完成。 至於台北市，國民黨內表態參選者眾，包括前國民黨籍立委丁守中、前行政院發言人鄭麗文、前大陸委員會副主任委員張顯耀、前國民黨籍立委孫大千，以及台北市議員鍾小平。 中國時報報導，基層拱前國民黨主席洪秀柱選台北市長，洪秀柱辦公室發言人李昶志說，參選台北市長不在洪秀柱的規劃內，希望黨內可以趕快找發揮母雞帶小雞作用的候選人。 國民黨台北市黨部主委黃呂錦茹表示，預定3月15日啟動初選，提名人選預計5月初出爐，最快4月下旬可揭曉。 台南市方面，國民黨內已表態參選有前台南大學校長黃秀霜，前立委高思博尚未鬆口；無黨籍的前台南市警察局長陳子敬也已表態競逐。 國民黨目前思考2個做法，包括直接將泛藍與代表國民黨的正藍一起做民調；另一個方式是分兩階段，願意參加第一階段的國民黨員出線後，再整合泛藍參選人。至於採行哪個做法，國民黨還在徵詢陳子敬是否加入、整合泛藍。 高雄市部分，國民黨籍立委陳宜民表態參選，國民黨高雄市黨部主委韓國瑜雖是熱門人選之一，不過遲未鬆口，韓國瑜打算在3月7日擔任主委工作半年表態是否參選。 新竹縣方面，國民黨籍立委林為洲、新竹縣副縣長楊文科、新竹縣副議長陳見賢等人有意參選。國民黨組織發展委員會主任委員李哲華表示，因為民進黨尚未推出人選，國民黨不急，若太早決定恐讓民進黨有因應策略。 李哲華說，嘉義縣與屏東縣長選舉，國民黨已有目標人選，還在整合階段。金門縣方面，7日將邀黨籍立委楊鎮浯、縣議員陳玉珍協調。至於澎湖，提名前縣長賴峰偉參選不變，待整體布局完成後，再通過提名。","https://udn.com/news/story/10958/3011457"
"t_time1","2018-03-04 00:18","蘇煥智退黨選北市長 民進黨低調"," 前台南縣長蘇煥智（左）昨天宣布退出民進黨，投入台北市長選舉，他表示台灣不能再等。 記者曾吉松／攝影分享  facebook    前台南縣長蘇煥智昨天宣布退出民進黨參選台北市長，並批評蔡英文政府對台灣當前經濟困局及少子化、高齡化、貧窮化問題沒有具體有效對策；蘇煥智說，留在黨內已無法再對台灣有所貢獻，所以退出加入廿七年的民進黨。 蘇煥智說，離開民進黨大家還是朋友，在照顧台灣弱勢者道路上，永遠是同志；退黨非不滿民進黨不推參選人，是他個人決定，朋友都不忍心，但台灣不能停滯，要有新想法突破、活化台北，黨現在很忙，沒時間關心這問題。 台北市長柯文哲說，蘇煥智宣布參選不意外，脫黨他覺得奇怪。外傳綠營評估，蘇會瓜分柯百分之十至十五票源，柯文哲說，不曉得，但好的選舉就是不用選舉，最好的評估就是不用評估，每天做好自己的事情就好；蘇煥智也說，中間遊離選民比例已擴增，若還停留在藍綠思考就是停滯，應創造新格局，而非看過去藍綠的版塊。 已宣布參選台北市長的民進黨立委姚文智說，很驚訝，蘇煥智是資深前輩，非常尊重他，期待能再挽留；蘇退黨參選對民進黨初選提名會產生變數，會再和黨溝通，找到應對方式；民進黨對首都的責任無法迴避，必須提名自己的候選人，不管能否整合或五路齊發，只要堅定自己的價值就可勝選。 國民黨台北市長參選人丁守中表示，這是民進黨權謀、沒把市民福祉放在眼裡的結果，以及民進黨基層反彈的冰山一角。 民進黨中央對此保持低調，黨發言人鄭朝方僅表示，「尊重，沒有評論。」不過與蘇煥智相識多年的前副總統呂秀蓮說出重話，她表示，若黨中央最終仍選擇禮讓柯文哲，「黨會付出嚴重代價。」 民進黨內最近不斷呼籲提名自己人應戰，這股「反柯」情緒讓黨中央相當棘手。呂秀蓮認為，黨中央應對台北市長人選考慮「開放一段時間」，讓大家各自努力，而非由黨強制決定。 呂秀蓮也提醒，對於蘇煥智退黨，黨中央應認真看待，蘇很有改革的看法，也和她一樣憂心台灣的前途，「知道今後會有起很大變化。」 ","https://udn.com/news/story/10958/3010982"
"t_time2","2018-03-03 13:08","批蔡背離創黨初衷 蘇煥智退黨參選台北市長"," 前台南縣長蘇煥智上午宣布退出加入27年的民進黨，投入台北市長選舉，他表示台灣不能再等，很多鄉親到場支持。 記者曾吉松／攝影分享  facebook    前台南縣長蘇煥智上午宣布參選台北市長，並退出加入27年的民進黨。他批評蔡英文政府上任後，對於台灣當前經濟困局及少子化、高齡化、貧窮化的問題，仍然沒有提出具體有效的對策。 蘇煥智說，蔡英文接任總統已經1年9個多月。他跟蔡英文都是1974年進台大，原本對蔡英文帶領台灣人民走出困局，有一些期許。照理應該朝向經濟小政府，愛心大政府的方向，但目前政府卻仍然抱持過往威權體制心態，太多不合理不合宜的限制，正綑綁著台灣經濟的手腳。這與他重視經濟自由，善用民力的理念衝突。 至於對於少子化、高齡化、大量貧窮化，他表示，需要政府聞聲救苦，提出更具體完整的政策，照顧這些弱勢，可惜這部份也沒看到政府提出可行的解決方案。這跟他個人一貫弱勢優先，建立完整社會安全網的理念有距離，也與民進黨創黨的初衷相背離。 蘇煥智說，他如果繼續留在民進黨內，已無法再對台灣有所貢獻。台灣真的不能再等，人民也不能再等，他宣布退出參加了27年的民進黨。 對於台北市長柯文哲，蘇煥智表示，柯是聰明人，但市政績效大家感受是政績平平，台北應該可以更好，他未來會把市政藍圖，包括都更、社會住宅、城市重新定位、經濟發展、青年創業、面對高齡化社會的議題，都會陸續推出。 退黨參選是否會讓國民黨在北市選舉得利，蘇煥智說，中間遊離的選民比例已經擴增，若停留在藍綠思考就是停滯，思考應該有開創，創造新的格局，而非看過去藍綠的版塊。 蘇煥智表示，退黨是他個人決定，沒有公開講，朋友都說不忍心，但台灣不能停滯在此 ，要有新想法要去突破，活化台北，這些才是民主應該關心的課題，但黨現在很忙，沒時間關心這個問題。  【記者魏莨伊／台北報導】蘇煥智上午宣布退出民進黨，參選台北市長，台北市長柯文哲表示，不意外。他說，市場決定一切，產品不弄好，整天想把對手幹掉也沒用。那麼他是不是好產品？柯文哲說，他倒覺得他這個產品愈來愈好，倒是蘇脫黨，他覺得很奇怪。  【記者楊正海╱台北報導】蘇煥智退出民進黨參選台北市長，爭取國民黨提名參選台北市長的丁守中說，這是民進黨權謀，沒把市民福祉放在眼裡的結果，這只是民進黨基層反彈的冰山一角。 丁守中說，蘇煥智宣布不惜脫黨參選，只是民進黨基層反彈的冰山一角，相信這股風潮不會停歇，最後會導致民進黨更大的權力鬥爭風暴。但顯然只算計自己權謀利益的民進黨，還是只會支持柯文哲上陣。  【記者周佑政／台北報導】蘇煥智退出民進黨，投入台北市長選舉。前副總統呂秀蓮上午表示，一年多來，她與蘇煥智有一定的聯繫，她知道今天蘇要宣布參選，很敬佩蘇的思考與決心，蘇煥智是很有改革看法，也很憂心台灣前途。祝福蘇心想事成。參選台北市長人選，民進黨應考慮開放一段時間，讓大家各自努力，而非由黨強制決定。 呂秀蓮說，台北市長人選要到最後才決定，過去也有特殊的狀況，特殊的選區，採取開放，她覺得台北市也不妨考慮開放。高雄、台南進行相當長久的黨內競爭，後來好像滿負面的，有點可惜，但我們台北不會，她與他們幾位參選人都是好朋友，不會有這樣的事情發生。 對於民進黨若最終還是要禮讓柯文哲參選，呂秀蓮表示，黨會付出嚴重的代價。 ","https://udn.com/news/story/10958/3010061"
"t_time3","2018-03-03 11:17","蘇煥智退黨參選 丁守中：基層反彈冰山一角"," 針對蘇煥智退黨參選，台北市長擬參選人丁守中說，這是民進黨權謀，沒把市民福祉放在眼裡的結果，這只是民進黨基層反彈的冰山一角。 針對民進黨籍前台南縣長蘇煥智批評蔡英文總統背離創黨初衷，丁守中表示，這說明民進黨內部矛盾重重，民進黨高層只謀略地考慮蔡英文的總統大選得失，卻失掉黨格、壓抑黨內同志，強力要去支持一個理念完全不相同，又毫無建樹的白目市長柯文哲，已激起黨內嚴重反彈，同時更沒有把台北市民的福祉放在眼裡。 丁守中強調，他從大數據還有網路的分析發現，青年族群對民進黨這種高層權謀利益交換的手法非常反感。大多數的民眾都認為，身為執政黨的民進黨應該在首都市長選戰自推人選。 丁守中也說，今天蘇煥智宣布不惜脫黨參選的情形，只是民進黨基層反彈的冰山一角，相信這股風潮不會停歇，最後會導致民進黨內更大的權力鬥爭風暴。但他仍預估，顯然年底選戰，只算計自己權謀利益的民進黨，還是只會支持柯文哲上陣。台北市長擬參選人丁守中。記者楊正海／攝影分享  facebook   ","https://udn.com/news/story/10958/3009914"
"t_time4","2018-03-01 19:59","被酸悲劇人物、哀兵必勝 丁守中回嗆洪耀福：可悲","  民進黨秘書長洪耀福今評台北市長選戰時，他說滿同情前立委丁守中，大家都不看好，丁應該利用「哀兵必勝」，引起別人的同情，但悲劇人物可以把它演得很精彩。丁守中晚間則回嗆洪耀福可悲，令人根本瞧不起。 丁守中說，他不會用同情這個字，而是根本看不起民進黨黨主席及秘書長，只考量自我總統大選利益，卻壓抑自我同志，在台北市怯戰。 丁守中表示，面對台北市長柯文哲，國民黨有好幾個人磨刀霍霍，民進黨黨中央卻只會算計總統大選，而自失黨格，不敢表明派不派人選，洪秘書長只服務黨主席一人，壓抑同志，「可悲啊，可悲到令人根本瞧不起！」被酸悲劇人物、哀兵必勝，丁守中回嗆洪耀福可悲。圖／報系資料照分享  facebook   ","https://udn.com/news/story/10958/3007108"
"t_time5","2018-03-01 18:22","孫大千自稱台北人 洪耀福：以前投你的人是笨蛋嗎？"," 民進黨備戰台北市長選舉，是否與現任市長柯文哲合作仍是未知數。民進黨秘書長洪耀福今天表示，雙北徵召會最後處理，「我們不急。」至於國民黨最近冒出多人喊聲要參選台北市長，對此他說，國民黨一堆人擠在北部，連前立委孫大千也突然說自己從小在台北長大，孫在桃園當立委那麼久，卻突然說自己是台北人，「難道以前在桃園投給你的人是笨蛋嗎？」 目前藍營有意參選台北市長的人選包括前立委丁守中、孫大千、張顯耀及台北市議員鍾小平。對此洪耀福說，他最近還是很同情丁守中，因為立委蔣萬安宣布不選台北市長之後，大家還是看不起丁守中，「丁守中應該要用哀兵政策，哀兵必勝。」 洪耀福也替自家立委姚文智講話，他說，光看姚對市政的想像力，就知道姚是有未來性的政治人物。民進黨秘書長洪耀福今天表示，對連前立委孫大千也突然說自己從小在台北長大，孫在桃園當立委那麼久，卻突然說自己是台北人，「難道以前在桃園投給你的人是笨蛋嗎？圖為孫大千。圖／孫大千提供分享  facebook    ","https://udn.com/news/story/10958/3006932"
"t_time6","2018-03-01 17:39","慈湖靈柩潑漆事件 丁守中怒：228成政治攻擊、無政府日"," 桃園慈湖陵寢228當天發生台獨團體潑漆棺柩事件，台北市長擬參選人、前立委丁守中指出，政府不應縱容，應予嚴懲。並痛批228假期已經變成「政治攻擊」的「無政府日」。 台北市長候選人丁守中發表聲明，對民進黨政府這兩年來挑動政治仇恨、撕裂社會互信，表達強烈譴責。並指出，去年底，民進黨利用「一例一休」爭議做掩護，通過「促進轉型正義條例」，全面完成醜化蔣中正總統、醜化中華民國在台灣合法性，是當前社會對立難以化解的<U+3FC2>結。 聲明中指出，出生在台灣，身為中國國民黨黨員，他肯定蔣總統是中華民國現代史上有功勳的政治人物。大陸失守有過，建設台灣有功。某些媚日人士「認賊作父」，但台灣人絕對不該「忘恩負義」，國民黨如果重返執政，應該全面檢視歷史、廢除轉型正義條例、重建蔣總統的歷史評價。 丁守中說，蔣總統是中國國民黨的總裁。中國國民黨在總裁的帶領下來到台灣，建設台灣。中國國民黨不能縱容總裁遺體任人羞辱，既然蔡政府已經不能保護在慈湖靈柩暫厝。他呼籲，中國國民黨應該立即與蔣家後人積極推動、斡旋「兩蔣」移靈安葬事宜。 此外，「兩蔣」建設台灣有功。五指山國軍公墓早已規劃有兩蔣特勛墓園。他主張「兩蔣」就應該及早下葬，長眠於台灣，永受台灣後人的紀念。「兩蔣」身後事，也是中國國民黨無可逃避的歷史責任。慈湖靈柩潑漆事件，丁守中發表聲明指出228成了政治攻擊的無政府日。圖／報系資料照分享  facebook   ","https://udn.com/news/story/11849/3006832"
"t_time7","2018-02-28 17:14","影／北市選戰民調3人對決 柯P壓倒性領先"," 台灣民意基金會28日舉行「天龍國選民眼中的柯文哲」民調發表會，結果顯示，儘管台北市長柯文哲在重大政策有過半數選民不滿，但是依然吸引許多淺藍、淺綠及中性選民的支持。因此，無論台北市長選舉是兩人對決，還是三人局面，柯文哲的支持度都還是第一名，外界也研判，民進黨推不推人迎戰，將牽動民進黨2020總統大選布局。2018年台北市長選舉，到底民進黨是不是真如前總統李登輝所說的，黨內沒有人可應戰，台灣民意基金會公布最新民調，其中，如把浮出檯面的柯文哲、民進黨姚文智和國民黨丁守中3人，當作主要競選對象，47.6%支持柯文哲，25.2%支持丁守中，15.6%支持姚文智，顯示柯文哲依然贏面最高，而如果民進黨不推人的話，柯文哲更是以54.7%大幅領先丁守中的31.1%，擁有壓倒性的優勢。 東華大學教授施正鋒指出：「柯文哲在學歷高的支持度也是蠻高的，但民進黨傳統支持者學歷是比較低的，你原本20到30歲就是講話kuso就可以了，但目前看來不止這樣，我會詮釋，在這個政黨體系下的選民，與傳統的政黨認同有脫鉤。」 柯文哲：「 選舉還很久，我對這次選舉的想像是，我們這種連任的努力把事情做好就好，也不用去做甚麼廣告，就把市政做好就是最好的廣告。」柯文哲出席 二二八事件71周年中樞紀念儀式。記者林洧旭／攝影分享  facebook   ","https://udn.com/news/story/10958/3004849"
"t_time8","2018-02-28 17:47","陳菊指柯文哲隨藍營踹 柯：也常被民進黨踹"," 高雄市長陳菊（圖）27日接受中央社專訪時說，政壇上很少有台北市長柯文哲這樣非典型的政治人物，講話比較直白，很多發言「如果是我們，不會這樣表達」，當然這樣和柯文哲比起來，「就不是那麼可愛」。中央社分享  facebook    高雄市長陳菊接受中央社專訪時說，台北市長柯文哲常跟著藍營「踹」民進黨與高雄市，讓她感到奇怪；對此，柯文哲今天說，他也常被民進黨踹，還好。 柯文哲多次批評民進黨，引起綠營基層反彈。陳菊接受中央社專訪時說，「當國民黨若干議員罵我們，他就順著也踹我們一下，我都覺得好奇怪。」 柯文哲今天下午出席二二八中樞紀念儀式，會後受訪時說，「可是我也常常被民進黨踹啊！這也還好。」 針對台灣民意基金會公布台北市長選舉民調，若民進黨自推人選，柯文哲獲47.6%支持、前國民黨籍立委丁守中25.2%、民進黨籍立委姚文智15.6%。柯文哲說，如今離選舉還很久，而他對選舉的想像是連任的人努力把市政做好，就是最好廣告，不用多做其他宣傳。 壹週刊報導，民進黨高層私下找姚文智談話，思考是否再度禮讓柯文哲的時間點在5月初，關鍵是姚文智的民調表現，若姚文智民調低於20%，就會禮讓柯文哲；若高於25%，提名機會非常大。 柯文哲說，民調一說他完全不知情；至於確定要不要禮讓的時程，他說，2014年選舉時，民進黨到6月才全盤底定與他聯盟，只要今年確定時間在6月中，也不算特別慢。","https://udn.com/news/story/10958/3004818"
"t_time9","2018-02-28 13:55","民調輸柯文哲 丁守中：最近曾只差4%"," 台灣民意基金會發布台北市長民調，柯P保持領先，對此，台北市長擬參選人、前立委丁守中說，民調高高低低，最近也有民調顯示他與柯P之間的差距只有4%，且國民黨至今還沒有正式提名，離選舉時間還很長，他全力以赴，贏得勝選。 丁守中上午參加國民黨士林區黨部活動時，媒體提問，民調顯示他獲得藍營60%支持，明顯領先其他表態參選者，丁守中說，他早已鎖定柯文哲作為對手，將全方位檢驗柯P施政不力的缺點，一定會全力以赴，幫市民找回台北的驕傲。 至於媒體追問退役軍人昨天赴立院抗議年改爭議，丁守中也強調，軍人犧牲奉獻、保家衛國，世界各國均對退伍軍人高度尊崇，同時給予特別優渥的禮遇。如今民進黨政府嚴重違反信賴保護原則，每天汙名化軍公教，導致保家<U+885E>國的退伍軍人走上街頭，各軍校招生不足，絕對是很大的警訊，民進黨政府真的要徹底檢討，更一定要給予退伍軍人特別的照顧。台北市長擬參選人、前立委丁守中。記者楊正海／攝影分享  facebook   ","https://udn.com/news/story/10958/3004518"
