"","X","V1","V2","bindtext"
"1","t_title","呂秀蓮勸市民選「有品味的市長」 柯文哲：還可以啦","2018-06-01 11:58"," 前副總統呂秀蓮日前拋出Bye bye民進黨的論調，被外界解讀可能要脫黨參選台北市長。台北市長柯文哲今日被問及會不會擔心呂脫黨參選？綠營分裂對他有利嗎？柯說他不曉得，也想不出來，但擔心也沒有用，做好自己的事就好。 呂日前發表一篇與民進黨「道不同不相為謀」的聲明，昨日晚間結束訪問馬來西亞行程返台，在桃園機場受訪時說她再也不需要再關心民進黨；至於會不會以無黨籍身分參加台北市長選舉，她表示自己的心念沒有改變，未來不排除任何可能，還提醒台北市民要選出一個「有品味的市長」台北才可能成為一個有品味的首都。 對此，柯文哲今上午參加「社區整合石頭湯 長照服務新主張」記者會後接受媒體聯訪，柯說參選是每一個國民的權利，他的答案都一樣，做好自己的事情就好。 追問是不擔心嗎？柯說不是不擔心，而是擔心也沒有用；呂會吸引中間選票嗎？柯說他不知道；至於呂說要選一個有品味的市長，他有沒有，柯說「還可以啦」，媒體追問柯覺得自己哪裡有品味，柯說「拜託，當過台大外科教授，你也差不多」。 此外，民進黨秘書長洪耀福說藍綠對決後柯文哲就不重要了。柯今說，他在想有沒有機會讓台灣走出藍綠對抗的思維；至於自己是否會積極40歲以下爭取7成、40歲以上爭取3成的選票？柯說，不同年齡層都要去爭取支持。"
"2","t_title1","訪察高雄被爆吃魚翅宴？ 吳音寧：基於理念我沒有吃","2018-05-31 17:19"," 北農總經理吳音寧送菜風波剛落幕，又遭爆料去魚翅餐廳。吳音寧下午至議會總質詢，面對議員童仲彥質詢時澄清，她在5月11日去高雄產區視察，產區人員請她去一間餐廳，但事先不知道菜色，上桌的魚翅，基於個人理念，她沒有吃。 吳音寧說，餐廳不是她們找的，事先不知道會被帶去哪一間，菜色也不知道 。童仲彥反問，妳是最聽話的250萬實習生嗎，吳說，不是這樣的，北農與產區保持密切關係，但基於個人理念，「我沒有吃」。  柯文哲則表示，市府規定是菜單沒有魚翅， 宴會不會點魚翅，但人家請的比較麻煩，無法先審核菜單，且他吃東西太快，常吃完都不知道是魚翅。  吳音寧的送菜風波後，柯文哲請曾是萬華區公所區長、戶政事務所主任的顧問黃國彥，當「保母」盯緊吳音寧。童仲彥說，要怎麼教才好？柯文哲聽完在一旁笑說黃會盡力，黃當過萬華區長，對地方生態了解，會教得很好。北農總經理吳音寧(中)訪察高雄產區被爆吃魚翅宴，吳音寧在議會總質詢時澄清沒有吃。記者楊正海／攝影分享  facebook   "
"3","t_title2","柯文哲喊起薪50K較合理 北市府約聘竟有人僅23K","2018-05-30 23:51"," 台北市長柯文哲曾為年輕人低薪抱屈，認為4萬5至5萬元較合理，除非過「苦行僧」生活。記者黃義書／攝影分享  facebook    台北市長柯文哲曾為年輕人低薪抱屈，認為4萬5至5萬元較合理，除非過「苦行僧」生活。根據北市府勞動局公告，大多數市府約聘人員職缺月薪低於4萬5000元，還有10個職缺不到3萬元，最低薪僅23K。北市府表示，市府人員薪資均依相關規定聘用。 不過，市府勞動局本月28日公告市府各機關約聘雇人員暨公立幼兒園契約人員簡章，總計26個機關、釋出53個職缺，其中43個職缺的月薪不到4萬5000元，其中有10個職缺的月薪連3萬元都不到，最低薪是社會局約聘工友月薪僅2萬3693元。 台北市議員陳彥伯表示，公務體系下，職缺、職等、職務代理人等都有一定給薪，不是柯文哲喊價要多少就多少；柯文哲根本就搞不清楚人事制度，隨便喊話，才會被年輕人打臉，質疑是在「講幹話」。 陳彥伯說，若柯文哲真有心提高年輕人薪資，應公開對企業界喊話，例如市府工程標案，創造不少就業機會，就可規範得標廠商的新進人員起薪3萬元以上；另外像是約聘的清潔隊員可透過預算編列，透過行政手段為年輕人加薪，這才有魄力，否則只是講講而已。 北市府發言人劉奕霆說，市府各機關約聘人員薪資，均依照相關規定予以聘用，並依照工作內容需要給予相對應薪資；約聘人員的薪點，是全國統一規定，一切依行政院主計總處的規定辦理。 "
"4","t_title3","是否和柯文哲整合 蔡英文未回應","2018-05-30 14:15"," 民進黨今天下午舉行中執會，討論台北市長人選徵召案，姚文智將成為民進黨台北市長提名人，迎戰現任市長柯文哲。 蔡英文總統下午也出席民進黨中執會，面對媒體詢問「總統，台北市長是否和柯文哲整合？」，蔡英文總統先是愣了一下，隨即快步進入會議室，沒有回應。蔡英文總統下午出席民進黨中執會，面對媒體詢問「總統，台北市長是否和柯文哲整合？」，沒有回應。記者陳柏亨／攝影分享  facebook   蔡英文總統下午出席民進黨中執會，面對媒體詢問「總統，台北市長是否和柯文哲整合？」，沒有回應。記者陳柏亨／攝影分享  facebook   蔡英文總統下午出席民進黨中執會，面對媒體詢問「總統，台北市長是否和柯文哲整合？」，沒有回應。記者陳柏亨／攝影分享  facebook   "
"5","t_title4","都是孩子都要愛 伊甸攜手陳佩琪關懷慢飛天使","2018-05-29 17:19"," 台北市長柯文哲夫人陳佩琪今以醫師身份出席伊甸基金會舉辦的「愛孩童幸福節」記者會。聯合報系記者陳靖宜／攝影分享  facebook   6月1日是國際兒童節，伊甸基金會即日起至6月3日舉辦「愛孩童幸福節」活動，更邀請陳佩琪共同推廣「都是孩子都要愛」理念，盼透過活動，鼓勵更多慢飛天使飛翔，替孩子們發聲。 台北市長柯文哲夫人陳佩琪今天下午受邀出席活動，並分享照顧大兒子的經驗，她說，大兒子3歲時診斷出是自閉症，還拿到重大傷病卡，讓她完全無法接受，索性帶兒子上幼兒園，第一天就被「退貨」，直到去台大兒童精神科日間留院治療部治療，小孩終於學會開口說話，她的心情也逐漸平復。 陳佩琪說，在照顧大兒子的過程中，有過憂鬱、低潮情緒，除了她是小兒科醫師，在診斷方面比別人厲害一些，其他的過程都感同身受，建議家中有慢飛天使的家長，要掌控自己的情緒，接受孩子的情形，調整生活步調，與孩子一同成長。 陳佩琪舉例，大兒子幼小時坐、站、爬都沒問題，甚至有點皮，但與其他小孩的人際互動關係不好，比較活在自我世界，不喜歡互動的結果就是語言發展遲緩。 她說，兒子對特殊物體有過度執著，像是愛玩旋轉物體、喜歡唸字卡、玩飛機玩具時只玩輪子，不愛讓飛機飛行，強調若家中孩子有這樣的情形，家長要注意。 伊甸基金會資源發展處長張炎玉說，台灣0至6歲的孩子中，每年有10萬名要接受早期療育，希望透過今天的活動，替孩子們發聲。"
"6","t_title5","民進黨推出姚文智 蔡正元神分析：目的不是為了勝選","2018-05-29 09:49"," 前國民黨政策會執行長蔡正元。聯合報系資料照分享  facebook   昨(28)日民進黨選對會建議徵召民進黨立委姚文智為台北市長參選人，消息一出，蔡正元隨即在臉書上貼文發表意見，他分析這次民進黨派出姚文智參選，最主要的目的並不是為了勝選，而是為了拉柯文哲下來。他也預言，最後台北市投票結果即使姚文智得票率不會太好，但卻可以「剛好讓柯文哲落選」。  民進黨將提名姚文智代表參選台北市長，台北市選情形成姚文智、丁守中及柯文哲的三角局面，蔡正元也在臉書上貼文分析北市戰況。  他首先表示，這次民進黨提名姚文智，民進黨在台北市的得票率必定遠遠落後丁守中及柯文哲，然而即使如此，姚文智卻很有可能「剛好讓柯文哲落選」，蔡正元表示，這正是民進黨提名姚的主要目的。  蔡正元也因此呼籲，支持柯文哲的白色力量應該團結起來，壓制民進黨在全台的縣市長提名人選，「尤其台中市盧秀燕的民調已經以39%勝過32%的林佳龍，你們白色選民要順勢讓林佳龍徹底慘敗。」他表示唯有如此，民進黨才會分心去營救林佳龍選情，他也說只有讓民進黨在這次選舉「徹底輸一次」，柯文哲才有辦法「脫困險勝」。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v502"";var actCode = ""v502"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});    "
"7","t_title6","影／綠營推姚文智出戰 丁：非最強投手教練團打假球？","2018-05-28 16:05","   民進黨選對會決議推派同黨立委姚文智出征台北市長選戰，國民黨台北市長參選人丁守中表示，姚文智並非民進黨最強投手，並質疑民進黨打假球，真禮讓柯文哲。並認為姚文智參選後，綠營基本盤將會回歸，讓這場選仗打起來更加艱困。民進黨徵召姚文智選台北市長，丁守中認為綠營基本盤會歸隊。記者江煜文／攝影分享  facebook   "
"8","t_title7","冷眼集／分裂的一方敗多贏少 喊棄保也沒有用","2018-05-28 14:22"," 民進黨選對會今建議提名立委姚文智為台北市長參選人，該提案只待主席蔡英文同意，周三隨即召開中執會通過提名，一旦通過提名也形成台北市藍白綠三足鼎立局面。但依據過往的經驗，分裂的一方敗多贏少，喊棄保也沒有用，民進黨若想防止國民黨奪回北市，除了全力挺姚文智，沒有第二條路。 四年前挾著民進黨全力奧援，柯文哲才從國民黨手中奪下台北市長，四年後局勢不同以往，民進黨原本還想為了防止國民黨奪回北市，再與柯文哲合作，但基層壓力不斷，經一番掙扎、慎思後不得不自提人選，這樣的結果也讓民進黨無退路，只能全力力挺姚文智，若一味喊棄誰保誰，恐最後民進黨與柯文哲是雙輸。 從過往台北市得票數來看，1994年台北市長選戰中，雖然代表新黨的趙少康打出「棄黃保趙」的訴求，但代表國民黨的黃大洲仍拿下二成五的選票，導致代表民進黨的陳水扁以四成得票當選市長。2000年總統大選，雖然泛藍支持者喊出「棄連保宋」，但代表國民黨參選的連戰，在台北市仍拿到超過二成的選票。 至於民進黨，就算面對中央執政不利的壓力，在2002年台北市長選舉中，代表民進黨參選的李應元對上當時意氣風發的馬英九，得票率仍有三成五。2014台北市長選舉，就算國民黨氣勢最低迷，但代表國民黨的連勝文還是能拿下四成選票，顯示大環境再如何不利，再如何被操作棄保，掛著政黨招牌的候選人，仍會有一定的基本盤。 從基本盤看來，這次台北市長選舉三強鼎立的情況，就算姚文智被操作棄保，還是可能有三成的民進黨死忠票，國民黨維持四成以上也是必然，最後勢必壓縮柯文哲的得票，讓丁守中得利。因此，民進黨如果想得是要防止國民黨奪回北市，除了力挺姚文智衝第一，不能再有其他雜念。 "
"9","t_title8","民進黨台北市黨部主委改選 陳正德勝出","2018-05-27 20:22","  民進黨今改選縣市黨部主委、全國黨代表及各縣市黨代表，其中台北市黨部因現任主委黃承國以兩任屆滿，不再參選連任，改由民進黨組織部副主任陳正德、民進黨台北市黨部前執行長朱政騏出馬角逐，最後由陳正德以7013票勝出。 曾任3屆市議員的陳正德，還曾在藝人楊烈參選北市議員時，出任競選總幹事，輔選經驗豐富，這次選舉黃承國及英系人馬力挺。 有趣的是，由於投票者多為深綠支持者，外界認為，黃承國率先在選對會上高喊「不禮讓」台北市長柯文哲，多少也和黨部改選有關，儘管朱政騏以「自己的主委，挺自己的市長」，公開表態力挺民進黨自提人選，極力爭取深綠選票，最後仍不敵黨內紮根已久的陳正德。 根據市黨部今晚開票結果，陳正德拿下7013票，遠勝朱政騏的4531票，將接任民進黨台北市黨部第17屆主任委員。民進黨台北市黨部今改選黨部主委，最後由民進黨組織部副主任陳正德以7013票勝出。圖／截取自陳正德臉書分享  facebook   "
"10","t_title9","許忠信參選台南市長 金恆煒：台南不要第二個柯文哲","2018-05-27 11:54","  台聯前立委許忠信昨天在台南宣布參選市長，今天北上召開記者會再次宣告。許忠信表示，台南市發展在台灣失衡的政經結構下，淪落成無足輕重的二線城市。他認為，比起藍綠兩黨候選人，自己更具備國際視野，讓產業脫胎換骨與全球接軌，再現台南府城風華。 這場記者會許多獨派要角出席力挺，包括獨派大老辜寬敏妻子王美琇、台灣新世紀文教基金會董事長陳隆志、台灣社社長張葉森、凱達格蘭學校校長金恆煒、人權醫師陳永興到場。 金恆煒認為，民進黨台南市長候選人黃偉哲心態和柯文哲根本如出一轍，「台南市還需要另一個柯文哲嗎？」，民眾也可思考台灣是需要一邊一國還是兩岸一家親的支持者？ 金恆煒說，從民進黨初選時就能看出，黃偉哲與妹妹黃智賢聯手操作，吸引不同陣營票源，讓他支持率遠勝其他候選人。黃智賢也曾對外說「與哥哥立下三個約定」，其中一項就是「不要讓祖先蒙羞」，就此看來黃偉哲的心態和柯文哲根本如出一轍，「台南市還需要另一個柯文哲嗎？」，民眾也可思考台灣是需要一邊一國還是兩岸一家親的支持者？ 許忠信表示，台南過去曾在大航海時代登上世界舞台，曾幾何時發展面臨空前瓶頸。根據統計，台南每人每月平均可支配所得在全台20縣市中排名第14，位居六都之末。不僅如此，年輕人結婚對數、嬰兒出生率、總人口數等名次也均敬陪末座。 許忠信主張，應將台南現有產業園區和環境打造成可吸引歐洲國家企業進駐之地，農漁產業部分則應建立南北國家互補產業聯盟，而非東西國家間低價競爭；觀光產業部分則多善用文化及美食魅力，吸引外國光觀客造訪。「比起藍綠兩黨候選人，自己更具備國際視野，再現台南府城風華」。台聯前立委許忠信上午宣布參選台南市長。記者黃義書/攝影分享  facebook   "
