"","V1","V2","bindtext"
"t_title","歐晉德呼籲台北市應全面都更 柯文哲認同","2018-02-11 12:13"," 年關將至，台北市長柯文哲今天前往榮濱商圈走街發紅包。記者張世杰／攝影分享  facebook   花蓮大地震傷亡慘重，都更議題再度獲熱議，台北市前副市長歐晉德呼籲，台北市應建立防災減災機制，並全面都更；台北市長柯文哲表示「大規模都更我同意」，並強調主要台北市真正會有問題的房子，是921大地震以前蓋的房子。 年關將至，台北市長柯文哲今天前往榮濱商圈走街發紅包，媒體詢問，對於台北市前副市長歐晉德說，台北市90%加蓋問題，要大規模都更防災減災？柯文哲說「大規模都更我同意」，主要台北市真正會有問題的房子，是921大地震以前蓋的房子。 柯文哲接著說，因為建築法規陸續修正，對防震係數要求拉高很多，在921大地震後蓋的房子，現在看起來問題比較少，問題是921之前當時建築法規對防震沒有一定的要求，那部分比較危險。"
"t_title1","國民黨北市長黨內民調 恐等到3月以後才做","2018-02-09 14:03"," 國民黨台中市長參選人江啟臣、盧秀燕。記者陳秋雲／資料照片分享  facebook   國民黨台中市長提名整合民調今天上午出爐，確定由資深立委盧秀燕僅以0.6%些微差距勝出。台北市因已表態參選和被點名的參選人爆炸，對手民進黨是否推出自己人參戰也未定，選情混沌，台北市黨部主和黃呂錦茹表示，黨內民調可能要等到3月以後才會做。 2018縣市長大選，原被看好代表國民黨出戰台北市長的立委蔣萬安，已決定持續留在立法院，確定不參選台北市長，國民黨內除已宣布參選的前立委丁守中，還有日前宣布暫停選舉的行政院前發言人鄭麗文，以及表態要選的台北市議員鍾小平。 此外，外界點名的人選，包括趙少康、台北市前副市長邱文祥、甚至是前第一夫人周美青，可能性不高。黃呂錦茹也表示，就她了解，邱文祥也不確定會選。至於台大政治系教授李錫錕近日也宣布，若要選也不會以國民黨籍參選。 台北市已有共識採初選機制，據了解，除了參選人未定，黨部仍待明年3月民進黨公布北市長參選提名人，是否不推出人選，還是禮讓現任台北市長柯文哲，屆時再進行初選黨內民調。 黃呂錦茹指出，雖然有一些民眾希望國民黨盡快完成提名，即早布局，但考量現任台北市長柯文哲與民進黨間競合，仍要審慎考慮提名策略。至於若最後只有丁守中一人確定要選，其他人都退，還會不會做民調，黃呂講得保守 ，認為可能會也可能不會，這還要再討論。但黨內有機制，民調不得低於30%，她說「這是最不願意見到的狀況」 ，希望不會發生。"
"t_title2","柯文哲送發財金 上香為花蓮災民祈福","2018-02-07 23:14"," 台北市長柯文哲昨晚到霞海城隍為花蓮災民祈福。 記者蘇健忠／攝影分享  facebook    台北市長柯文哲昨依原規畫至迪化商圈及寧夏商圈走街，並發送發財金，但因花蓮強震傳出災情，柯文哲取消原先安排的致詞，並特地前往大稻埕的霞海城隍廟上香，為花蓮民眾及辛苦救災人員祈福與打氣。 柯文哲發放發財金前說，花蓮發生大地震，特別向城隍爺祈求平安，也祝福民眾在2018年平安健康幸福。 他也說，到這個年齡覺得平安健康最重要。 北市府今年製作6種款示共3萬分發財金，昨傍晚柯文哲分別在迪化街及寧夏夜市各發放2千分發財金，另外預計在9日及11日再到商圈發送，排隊時間為9日下午1時30分在台北地下街、下午2時30分在後車站商圈、下午3時10分在華陰商圈。2月11日上午9時在榮濱商圈。 台北市長柯文哲在迪化年貨大街與寧夏商圈發發財金，受到民眾熱情歡迎。 記者蘇健忠／攝影分享  facebook    "
"t_title3","「顧江湖道義」不評柯P 簡余晏2字說明請辭原因","2018-02-06 10:33"," 前台北市觀傳局長簡余晏請辭後，首度上節目評論台北市長選情，並透露請辭原因。 聯合報系資料照分享  facebook     今年一月請辭台北市觀傳局長的簡余晏，辭職後首度上政論節目談論年底的台北市長選舉戰況，談話中也透露了為何辭觀傳局長的原因，其實就是「很累」。  北市前觀傳局長簡余晏，昨日接受政論節目「Online鍾點讚」邀約，和有意參選台北市長的民進黨立委姚文智，一起評論年底台北市長選舉戰況，這是她離職後首度露面上節目。主持人鍾年晃也先聲明不會讓簡余晏講柯文哲，因為「江湖道義要顧」。  目前台北市長選戰，國民黨前立委丁守中表態參選，藍營也力拱酷酷嫂周美青出戰，民進黨方面除了姚文智已宣布參選，前副總統呂秀蓮也表示自己已經準備多時，決定「出征」。簡余晏表示不管藍綠誰出線，目前台灣的選舉，大家都希望能選出「非典型」的人才，尤其40歲以下的選民，對台灣政治感到厭煩，偏好能「語出驚人」勝過柯文哲，但是否對國家、城市發展有正面效果，有待觀察。  若民進黨也提名參選，在「三強鼎立」的情況下，民進黨是否就能奪回台北市長寶座？簡余晏表示，「假設三分天下，三家出來打的時候，就要看誰的議題能力強」，「尤其在柯文哲選市長、蔡英文選總統那年，幕僚是有史以來最強大的」，「從國師到升斗小民，全部都是團結的」，眾人期待國家改變的意志力，決定了誰能出線。  簡表示，自己已離開北市府團隊一個多月了，不想去批判或講過去的老闆，因為柯文哲也給了她非常多的表現機會，但她仍誠懇希望台北市民在下一次抉擇時刻，能找出「感動整個首都的力量、改變整個台灣的力量」，必須由首都帶動全台灣的改變，才是一個快速的方向。  之後又談及台北燈節活動的爭議，簡余晏認為副市長陳景峻批評市長柯文哲不該私下與廠商見面，其實是在抱怨柯文哲身邊的幕僚，因為若是市長要跟業者談，會面時就應該要有陳副市長辦公室及觀傳局的人員在現場，這樣就不會有任何問題。  簡余晏也道出自己離職的原因，其實就是「很累」，而且自己是依政治體制，議會通過了預算案，所以就在當天請辭。 "
"t_title4","周美青選北市長？ 胡志強告白：很喜歡她","2018-02-04 11:27"," 1993年內閣改組，胡志強(左起)、周美青、馬英九出席內閣閣員的晚宴。 報系資料照分享  facebook   國民黨台北市長參選人未定，現在傳出基層要拱前總統馬英九夫人周美青出選台北市長。對此，前台中市長胡志強受訪表示，他非常喜歡周美青，但不相信她會出來選，但她要是肯出來選是個好事情。 對於基層拱周美青，胡志強坦言，應該做不到吧，不過他非常喜歡周美青，也非常尊敬她，他們的交情可以說是很遠很遠。胡志強還開玩笑說，「當時要不是我放一手，馬英九不一定追得過我！」。 胡志強再度強調，他很喜歡周美青，但不相信她會出來選，不過周美青要是肯出來選，他覺得是個好事情，從各方面看周美青為人處事，都非常謙恭禮貌，在外表現出很強的能力跟修養，她是很優秀的人才。 對於周美青是否有能量跟現任台北市長柯文哲抗衡？胡志強說，周美青的能量公平審視的話可以超過柯文哲，她不會講錯話，柯文哲有時候講話太直接，大家不習慣。"
"t_title5","姚文智：請陳景峻棄暗投明 將柯文哲「繩之以法」","2018-02-03 14:15"," 民進黨立委姚文智。圖／聯合報系資料照分享  facebook   台北市副市長陳景峻昨接受廣播專訪時放砲，指台北市長柯文哲日前私下和廠商見面甚至還答應幫忙募款，違反行政體制。對此正在爭取民進黨台北市長提名的民進黨立委姚文智今天呼籲陳景峻「棄暗投明」，並將柯文哲違法之事說清楚，如果不法，就將柯繩之以法。但據了解，其實陳景峻只是因為被主持人問及此事才配合回答，只覺得是解釋「舊案」，與外界所想是否與柯文哲撕破臉毫無關係。 姚文智說，柯文哲不在國內，由其任命的陳景峻指控市長違法，這是天大地大的事，可說是政變也不為過，「想必景峻兄是受到了莫大委屈而必須切割。」但更重要的是，陳景峻應站出來講清楚， 柯文哲是否違法私會廠商，所謂的「攔轎陳情」是發生在簽約前還是簽約後？柯文哲是否有違反公益勸募條例之嫌？ 姚文智說，今年台北燈節標案在發包過程中，發生很多啟人疑竇之事，包括柯文哲封殺風傳媒記者、前觀傳局長簡余晏被指棄職潛逃，連素負清望的紙風車劇團也發出聲明表達未參與。燈節標案在流標三次後，好不容有廠商願意投標也得標了，竟花了一個多月簽約，還傳出「不得異議協議書」的簽署過程，主責的觀傳局長也閃電請辭。而在陳景峻接手後，就傳出柯文哲市長馬上介入的新聞報導。 姚文智說，最諷刺的是，人在歐洲的柯文哲才放話說今年市長選舉不募款，莫非是要靠台北燈節的模式，暗通款曲獲得資源？難道市府的標案都是柯文哲競選的募款管道？呼籲陳景峻勇敢站出來說清楚講明白，在價值的投靠上不能和稀泥，「請景峻兄棄暗投明，應該把柯文哲市長違法的事情說清楚，如果不法，就將他繩之以法。」"
"t_title6","呂秀蓮：我還年輕要出征 參選台北市長已和小英報告","2018-02-02 19:52"," 前副總統呂秀蓮昨（1）日投下震撼彈宣布參選台北市長，她今天特別錄製一段影片放在臉書上，仔細說明她參選的原因。聯合報系資料照分享  facebook    前副總統呂秀蓮昨天投下震撼彈宣布參選台北市長，她今天特別錄製一段影片放在臉書上，仔細說明她參選的原因。她自曝已審慎思考好幾個月，遠在姚文智宣布之前，她已透過正式管道向民進黨主席蔡英文報告，但兩個多月下來，蔡英文沒有回應，她知道全國各縣市初選複雜緊張，蔡需要先處理其他縣市，所以一直耐心、安靜地等待與蔡英文交換意見，也沒有張揚，但消息走漏後，她就坦然承認，她確實認真評估參選。 呂秀蓮批評台北市長柯文哲許多施政不力之處，例如台北市民共同期待的大巨蛋，被搞成大臭蛋，且現在已是民進黨全面執政的黃金時間，這幾年卻走到哪裡都有抗爭，總是有老面孔在滋事。她表示，在台北發生任何小事，都會變成大事，這些事情不是不能處理，自由是有限度的，台北市長對台北市的治安有治理權力，但那麼多抗爭卻沒有處理，反而放縱，才會讓蔡英文非常難堪。 呂秀蓮也提到，去年台北市舉辦世大運的時候，對中國特別禮遇，國內拿國旗的人卻被嚴厲對待，拿著台灣地圖的旗幟一律被隔絕；她呼籲民進黨，「現在已經是攤牌的時候，台北市長是誰的市長，台北市是否是台灣的首都，還是另外一個國家的特別行政區？」她也說，四年前她沒有參選，她感到很遺憾，因為她做好各種準備。 呂秀蓮說，台北市是她的第二故鄉，從就學到出社會，除了擔任桃園縣長之外，都在台北市，她也強調自己還年輕，身心靈一點都不亞於年輕人。她說，社會若要有情理、有溫馨，老中青本來就應該手牽手，而非世代切割、對立，年輕人非常重要，但長輩們過去也很年輕，老中青應該相互扶持，年輕人對每位老人家都要心存感激，絕對不應該世代分割，她代表一生一世為家庭、社會、台灣奮鬥過的長輩，「我要出征，越老越年輕。」 "
"t_title7","抽不到！健康公宅中籤率6.04％ 創台北市新紀錄","2018-02-01 19:59"," 位於松山區的「健康公共住宅」共計507戶。 圖／北市都發局提供分享  facebook   前台北市長任內規劃設計、發包施工的健康公宅，今天下午5點停止受理現場及線上申請，北市都發局已收到7806件申請書，中籤率暫為6.04%，不過，短期恐湧入的郵寄申請，預期中籤率有望下修至5％，創下台北市公宅招租申請件數、最低中籤率新紀錄。 健康公宅地段佳、外觀新穎，自從招租消息釋出後，民眾詢問度熱烈，加上總統蔡英文、台北市長柯文哲前往參觀，話題性十足，日前開放民眾現場看屋，短短3天就超過7000人次。 松山區健康路健康公宅首度試辦35戶「青創計畫」，經扣除後，對外開放招租實際戶數為472戶，今天下午5點已停止現場及線上申請，截止今晚上6點，都發局共收到7806件申請書，中籤率約6.04%，不過都發局評估，仍有少數郵寄申請未收到，中籤率可能降低於5%。 事實上，台北市最近一次全新公宅開放招租，是同樣為郝市府任內規劃、發包的文山區興隆公宅1區，前年正式開放招租時，有3173件申請、搶272戶，中籤率約8.57%；健康公宅的申請數、最低中籤率，則雙雙創下新紀錄，榮登台北市至今最搶手公宅。 北市都發局分析，這次對外招租戶數多，許多民眾也覺得更容易抽中，加上健康公宅地段佳，又是第一個加入租金分級制度的公宅，租金對於許多小家庭相對親民。 根據都發局資料，單房型收到4701件申請，中籤率為7.61%；二房型收到2120件申請，中籤率為4.07%；三房型收到985件申請，中籤率為4.3%，以二房型最搶手。 都發局指出，2月1日截止收件後，預計於2月22日(四)下午1點，於鵬程區民活動中心（健康路399號3樓）舉辦配租順位公開抽籤，當天抽籤作業將提供網路直播服務，無法到場的民眾可至都發局網站（http://www.udd.gov.taipei/）觀看，或於當天晚上10點至都市發展局網站查閱抽籤。前台北市長任內規劃設計、發包施工的健康公宅，今天下午5點停止受理現場、線上申請，北市都發局已收到7806件申請書。記者張世杰／攝影分享  facebook   "
"t_title8","「姚姚配」搶攻台北市長？ 丁守中酸：民進黨請選到底","2018-01-31 18:16"," 已表態參選台北市長的民進黨立委姚文智昨在臉書上宣布，國會觀察基金會董事長姚立明願意擔任他的競選總幹事，今將當面邀請姚立明，看看明天能否上班，姚文智搭配姚立明，更被戲稱是「姚姚來了，殺很大」。 對於「姚姚配」，國民黨擬台北市長參選人、前立委丁守中表示，聽說姚文智獲得姚立明先生力挺後士氣大振，不但再度表態會參選台北市長，並稱有把握「把丁守中打成第3名」。 丁守中還酸說，請姚文智不要自嗨，既然說要參選到底，就要說到做到。 丁守中表示，民進黨已經被柯文哲綁架，身為執政黨，竟然在首都提不出市長候選人，已經被柯P看扁了，連市民都在看笑話。所以我真的希望包括姚文智在內的民進黨朋友，拿出骨氣參選，更要說到做到。 丁守中表示，參選市長一路走來，唯一鎖定目標就是在年底打敗柯文哲，拚台北驕傲！所以也請姚立委有點志氣，還沒選就立志爭第2名，難怪柯P根本不把民進黨放在眼裡啊。對於政壇「姚姚配」，前立委丁守中則是酸說，請姚文智不要自嗨，既然說要參選到底，就要說到做到。圖／擷取自丁守中臉書分享  facebook     "
"t_title9","姚文智：沒說不惜脫黨 全力爭取黨提名參選","2018-01-30 11:57"," 民主進步黨立法委員姚文智今天表示，沒有說出「不惜脫黨」這4個字，自己以身為民進黨員為榮，會全力爭取民進黨提名參選台北市長。 聯合報29日報導，姚文智昨天錄東森新聞「看誰說實話」，接受主播徐湘華快問快答的挑戰，表達對台北市長柯文哲的不滿，並說3年前選擇禮讓柯文哲，但現在對柯文哲的政績和言行實在看不下去，更說「如果黨中央再度選擇和柯文哲合作，那麼我寧可脫黨參選，因為民進黨多數支持者和我一樣，已經受不了柯文哲。」 姚文智今天在立法院受訪時表示，昨天的快問快答是媒體報導加油添醋、邏輯的推演的結果，因為過程非常快速。 姚文智表示，沒有說出「不惜脫黨」這4個字，身為民進黨員，在情感面以身為民進黨員為榮，「全力爭取民進黨提名參選台北市長」。 他說，在台灣價值的實踐上，民進黨已經沒辦法再跟柯文哲合作，長期以來在台灣主體性、尊重民意基礎上，比如說在未經同意柯文哲就提「兩岸一家親」這樣的言論，或是因為一篇報導就對媒體封殺，還有對員工測謊等，都不是尊重自由、人權、民主、開放價值該做的。 姚文智表示，過去所支持的柯市長，現在已經完全不一樣，「沒有什麼理由再跟他（柯文哲）合作」。（編輯:溫貴香）"
